Franchise,Lg,From,To,Yrs,GP,W,L,T,OL,PTS,PTS%,Yrs Plyf,Div,Conf,Champ,St Cup
Anaheim Ducks,NHL,1993,2015,21,1631,757,652,107,115,1736,.532,10,4,2,1,1
Arizona Coyotes,NHL,1979,2015,35,2756,1141,1237,266,112,2660,.483,19,1,0,0,0
Boston Bruins,NHL,1924,2015,90,6146,2966,2260,791,129,6852,.557,69,28,4,6,6
Buffalo Sabres,NHL,1970,2015,44,3467,1627,1328,409,103,3766,.543,29,6,1,0,0
Calgary Flames,NHL,1972,2015,42,3311,1523,1301,379,108,3533,.534,26,6,3,1,1
Carolina Hurricanes,NHL,1979,2015,35,2754,1124,1259,263,108,2619,.475,13,4,2,1,1
Chicago Blackhawks,NHL,1926,2015,88,6081,2577,2574,814,116,6084,.500,59,16,3,5,5
Colorado Avalanche,NHL,1979,2015,35,2755,1266,1130,261,98,2891,.525,22,11,2,2,2
Columbus Blue Jackets,NHL,2000,2015,14,1087,434,517,33,103,1004,.462,2,0,0,0,0
Dallas Stars,NHL,1967,2015,47,3693,1599,1532,459,103,3760,.509,30,9,3,1,1
Detroit Red Wings,NHL,1926,2015,88,6079,2805,2342,815,117,6542,.538,62,29,6,11,11
Edmonton Oilers,NHL,1979,2015,35,2756,1240,1134,262,120,2862,.519,20,6,7,5,5
Florida Panthers,NHL,1993,2015,21,1630,642,696,142,150,1576,.483,4,1,1,0,0
Los Angeles Kings,NHL,1967,2015,47,3692,1527,1623,424,118,3596,.487,28,1,3,2,2
Minnesota Wild,NHL,2000,2015,14,1088,502,429,55,102,1161,.534,5,1,0,0,0
Montreal Canadiens,NHL,1917,2015,97,6306,3247,2109,837,113,7444,.590,81,36,3,25,23
Nashville Predators,NHL,1998,2015,16,1253,596,491,60,106,1358,.542,7,1,0,0,0
New Jersey Devils,NHL,1974,2015,40,3155,1336,1387,328,104,3104,.492,22,9,5,3,3
New York Islanders,NHL,1972,2015,42,3312,1443,1418,347,104,3337,.504,22,7,3,4,4
New York Rangers,NHL,1926,2015,88,6079,2640,2529,808,102,6190,.509,56,7,2,4,4
Ottawa Senators,NHL,1992,2015,22,1713,763,722,115,113,1754,.512,14,4,1,0,0
Philadelphia Flyers,NHL,1967,2015,47,3693,1845,1277,457,114,4261,.577,37,16,4,2,2
Pittsburgh Penguins,NHL,1967,2015,47,3693,1626,1582,383,102,3737,.506,29,9,4,3,3
San Jose Sharks,NHL,1991,2015,23,1797,826,732,121,118,1891,.526,17,6,0,0,0
St. Louis Blues,NHL,1967,2015,47,3693,1662,1485,432,114,3870,.524,38,8,0,0,0
Tampa Bay Lightning,NHL,1992,2015,22,1717,687,803,112,115,1601,.466,7,2,1,1,1
Toronto Maple Leafs,NHL,1917,2015,97,6308,2758,2653,783,114,6413,.508,65,8,0,13,13
Vancouver Canucks,NHL,1970,2015,44,3466,1447,1525,391,103,3388,.489,26,10,3,0,0
Washington Capitals,NHL,1974,2015,40,3156,1401,1334,303,118,3223,.511,24,8,1,0,0
Winnipeg Jets,NHL,1999,2015,15,1173,470,547,45,111,1096,.467,1,1,0,0,0
