
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Antti Aalto,1998,2001,4,C,151,11,17,28,-25,52,8,3,0,1,16,1,0,182,6.0,1643,11:05
2,Bryan Allen,2013,2015,3,D,115,0,17,17,21,113,0,0,0,0,16,0,1,89,0.0,2071,18:00
3,Shawn Antoski,1997,1998,2,LW,11,1,0,1,2,20,1,0,0,0,0,0,0,6,16.7,,
4,Chris Armstrong,2004,2004,1,D,4,0,1,1,-1,0,0,0,0,0,1,0,0,8,0.0,50,12:32
5,Evgeny Artyukhin,2010,2010,1,RW,37,4,5,9,0,41,4,0,0,0,5,0,0,21,19.0,335,9:04
6,Maxim Balmochnykh,2000,2000,1,LW,6,0,1,1,2,2,0,0,0,0,1,0,0,6,0.0,40,6:44
7,Frank Banham,1997,2000,3,RW,27,9,2,11,-8,14,8,1,0,0,1,1,0,48,18.8,20,6:46
8,Drew Bannister,1998,2002,2,D,28,0,6,6,-2,47,0,0,0,0,6,0,0,24,0.0,13,13:19
9,Ken Baumgartner,1996,1997,2,LW,79,0,12,12,0,223,0,0,0,0,12,0,0,25,0.0,,
10,Robin Bawa,1994,1994,1,RW,12,0,1,1,-3,7,0,0,0,0,1,0,0,1,0.0,,
11,Francois Beauchemin,2006,2015,9,D,500,46,123,169,36,321,33,13,0,9,80,40,3,837,5.5,12186,24:22
12,Matt Beleskey,2009,2015,7,LW,320,56,54,110,1,298,50,6,0,14,47,5,2,555,10.1,4033,12:36
13,Mark Bell,2012,2012,1,C,5,0,0,0,0,5,0,0,0,0,0,0,0,0,,32,6:26
14,Brian Bellows,1997,1997,1,LW,62,15,13,28,-11,22,7,8,0,1,10,3,0,151,9.9,,
15,Marc-Andre Bergeron,2008,2008,1,D,9,0,1,1,-2,4,0,0,0,0,1,0,0,12,0.0,116,12:50
16,Todd Bertuzzi,2008,2008,1,RW,68,14,26,40,8,97,10,4,0,2,21,5,0,121,11.6,1119,16:27
17,Maxim Bets,1994,1994,1,LW,3,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,,
18,Jesse Blacker,2015,2015,1,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,,6,6:03
19,Jason Blake,2010,2012,3,LW,147,29,30,59,-15,57,20,9,0,6,24,6,0,365,7.9,2175,14:47
20,Brandon Bochenski,2008,2008,1,RW,12,2,2,4,2,6,1,1,0,0,1,1,0,17,11.8,150,12:28
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Troy Bodie,2009,2011,3,RW,57,5,3,8,-11,87,4,0,1,1,3,0,0,68,7.4,615,10:47
22,Nick Bonino,2010,2014,5,C,189,33,49,82,9,48,24,9,0,2,33,16,0,296,11.1,2685,14:12
23,Rene Bourque,2015,2015,1,RW,27,2,6,8,0,10,1,1,0,0,5,1,0,39,5.1,333,12:20
24,Nick Boynton,2010,2010,1,D,42,1,6,7,1,59,0,1,0,0,5,1,0,39,2.6,704,16:45
25,Kip Brennan,2006,2006,1,LW,12,0,1,1,-2,35,0,0,0,0,1,0,0,5,0.0,51,4:16
26,Tim Brent,2007,2007,1,C,15,1,0,1,-5,6,1,0,0,0,0,0,0,14,7.1,104,6:54
27,Eric Brewer,2015,2015,1,D,6,1,1,2,-5,6,1,0,0,0,1,0,0,5,20.0,102,16:58
28,Aris Brimanis,2002,2002,1,D,5,0,0,0,-1,9,0,0,0,0,0,0,0,2,0.0,48,9:31
29,Sheldon Brookbank,2009,2012,4,D,215,4,23,27,16,300,4,0,0,1,22,0,1,162,2.5,3170,14:44
30,Mike Brown,2009,2010,2,RW,103,8,2,10,-1,166,7,0,1,4,2,0,0,120,6.7,907,8:48
31,Mike Brown,2003,2003,1,LW,16,1,1,2,0,44,1,0,0,1,1,0,0,8,12.5,80,4:58
32,Garrett Burnett,2004,2004,1,LW,39,1,2,3,0,184,1,0,0,0,2,0,0,24,4.2,140,3:35
33,Viacheslav Butsayev,1996,1996,1,C,7,1,0,1,-4,0,1,0,0,0,0,0,0,9,11.1,,
34,Dan Bylsma,2001,2004,4,RW,209,10,22,32,-11,62,9,0,1,2,21,1,0,151,6.6,2304,11:01
35,Kyle Calder,2010,2010,1,LW,14,0,2,2,-7,8,0,0,0,0,1,1,0,20,0.0,198,14:07
36,Jim Campbell,1996,1996,1,RW,16,2,3,5,0,36,1,1,0,0,2,1,0,25,8.0,,
37,Patrik Carnback,1994,1996,3,C,148,24,38,62,-13,120,20,4,0,2,30,7,1,193,12.4,,
38,Keith Carney,2002,2006,4,D,271,13,48,61,30,185,11,2,0,3,38,8,2,282,4.6,5751,21:13
39,Ryan Carter,2008,2011,4,LW,138,12,17,29,-3,141,12,0,0,3,15,1,1,157,7.6,1361,9:51
40,Kyle Chipchura,2010,2011,2,C,95,6,8,14,-1,88,5,0,1,1,7,0,1,66,9.1,1006,10:35
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Stanislav Chistov,2003,2007,3,LW,136,14,34,48,-12,80,9,5,0,2,17,17,0,184,7.6,1768,12:59
42,Marc Chouinard,2001,2003,3,C,159,10,13,23,-12,62,9,0,1,1,11,0,2,118,8.5,1480,9:18
43,Erik Christensen,2009,2010,2,C,26,2,7,9,-5,8,1,1,0,0,5,2,0,41,4.9,306,11:45
44,Mat Clark,2012,2015,2,D,9,0,1,1,0,6,0,0,0,0,1,0,0,4,0.0,111,12:23
45,Andrew Cogliano,2012,2015,4,C,269,56,52,108,18,59,47,2,7,8,49,1,2,453,12.4,4059,15:05
46,Bob Corkum,1994,1996,3,C,168,38,44,82,-3,69,32,3,3,2,38,4,2,368,10.3,,
47,Mike Crowley,1998,2001,3,D,67,5,15,20,-26,44,4,1,0,3,11,4,0,103,4.9,1009,17:05
48,Matt Cullen,1998,2003,6,C,427,65,135,200,-39,168,47,16,2,8,95,38,2,724,9.0,6072,16:35
49,Jim Cummins,2001,2002,2,RW,81,5,6,11,-12,167,5,0,0,1,6,0,0,45,11.1,587,7:14
50,J.J. Daigneault,1997,1998,2,D,66,4,24,28,-5,50,3,1,0,1,10,14,0,87,4.6,,
51,Johan Davidsson,1999,2000,2,C,69,4,5,9,-9,16,3,1,0,2,4,1,0,56,7.1,733,10:37
52,Joe DiPenta,2006,2008,3,D,171,5,16,21,12,110,5,0,0,1,16,0,0,65,7.7,2142,12:31
53,Robert Dirk,1995,1996,2,D,82,2,5,7,5,98,2,0,0,0,5,0,0,35,5.7,,
54,Bobby Dollas,1994,1998,5,D,305,28,61,89,31,213,21,5,2,4,41,19,1,415,6.7,,
55,Ted Donato,2000,2000,1,LW,81,11,19,30,-3,26,9,2,0,3,15,3,1,138,8.0,1181,14:34
56,Peter Douris,1994,1996,3,RW,151,30,40,70,-4,42,27,3,0,8,33,7,0,256,11.7,,
57,Ted Drury,1997,2000,4,C,232,21,26,47,-18,225,19,1,1,2,26,0,0,312,6.7,697,8:06
58,Radek Dvorak,2013,2013,1,RW,9,4,0,4,2,2,4,0,0,1,0,0,0,17,23.5,118,13:08
59,Andrew Ebbett,2008,2010,3,C,53,8,24,32,10,26,2,6,0,0,19,5,0,104,7.7,731,13:48
60,Steve Eminger,2010,2010,1,D,63,4,12,16,1,30,4,0,0,1,10,2,0,45,8.9,1227,19:28
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Emerson Etem,2013,2015,3,RW,94,12,15,27,6,17,10,1,1,2,13,0,2,144,8.3,1136,12:04
