
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Rick Adduono,1976,1976,1,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
2,Johnathan Aitken,2000,2000,1,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,57,18:56
3,Andrew Alberts,2006,2008,3,D,184,1,18,19,-8,231,0,0,1,0,16,1,1,96,1.0,3153,17:08
4,Gary Aldcorn,1961,1961,1,LW,21,2,3,5,,12,,,,,,,,,,,
5,Bobby Allen,2007,2008,2,D,50,0,3,3,-3,12,0,0,0,0,2,0,1,24,0.0,592,11:50
6,Jason Allison,1997,2001,5,C,301,105,189,294,32,242,76,25,4,18,95,91,3,595,17.6,4548,22:37
7,Earl Anderson,1975,1977,3,RW,64,12,16,28,7,10,11,1,0,4,14,2,0,94,12.8,,
8,Dave Andreychuk,2000,2000,1,LW,63,19,14,33,-11,28,12,7,0,2,6,8,0,192,9.9,1249,19:49
9,John Arbour,1966,1968,2,D,6,0,1,1,1,11,0,0,0,0,1,0,0,3,0.0,,
10,Bob Armstrong,1951,1962,11,D,542,13,86,99,,671,,,,,,,,,,,
11,Jamie Arniel,2011,2011,1,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,12,12:26
12,Scott Arniel,1992,1992,1,LW,29,5,3,8,5,20,5,0,0,1,3,0,0,34,14.7,,
13,Barry Ashbee,1966,1966,1,D,14,0,3,3,,14,0,0,0,0,,,,,,,
14,Brent Ashton,1992,1993,2,LW,87,19,24,43,-4,58,12,6,1,1,20,4,0,150,12.7,,
15,Steve Atkinson,1969,1969,1,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
16,Ossie Aubuchon,1943,1944,2,LW,12,4,0,4,,0,,,,,,,,,,,
17,Don Awrey,1964,1973,10,D,543,21,87,108,159,827,19,2,0,1,75,4,2,531,2.4,,
18,P.J. Axelsson,1998,2009,11,LW,797,103,184,287,-26,276,83,10,10,14,154,21,9,1359,7.6,11652,16:17
19,Pete Babando,1948,1949,2,LW,118,42,25,67,,86,,,,,,,,,,,
20,Garnet Bailey,1969,1973,5,LW,232,31,46,77,43,289,26,2,3,3,45,0,1,264,11.7,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Murray Balfour,1965,1965,1,RW,15,0,2,2,,26,0,0,0,0,,,,,,,
22,Stan Baluik,1960,1960,1,C,7,0,0,0,,2,,,,,,,,,,,
23,Darren Banks,1993,1994,2,LW,20,2,2,4,5,73,2,0,0,0,2,0,0,18,11.1,,
24,Ralph Barahona,1991,1992,2,C,6,2,2,4,3,0,2,0,0,0,1,1,0,5,40.0,,
25,Dave Barr,1982,1983,2,RW,12,1,1,2,1,7,1,0,0,0,1,0,0,12,8.3,,
26,Ed Barry,1947,1947,1,LW,19,1,3,4,,2,,,,,,,,,,,
27,Marty Barry,1930,1935,6,C,279,130,88,218,,167,,,,,,,,,,,
28,Ray Barry,1952,1952,1,C,18,1,2,3,,6,,,,,,,,,,,
29,Matt Bartkowski,2011,2015,5,D,105,0,24,24,17,64,0,0,0,0,24,0,0,132,0.0,1838,17:30
30,Jim Bartlett,1961,1961,1,LW,63,15,9,24,,95,,,,,,,,,,,
31,Shawn Bates,1998,2001,4,C,135,14,14,28,-29,44,14,0,0,1,12,2,0,166,8.4,1181,9:40
32,Bobby Bauer,1937,1952,9,RW,327,123,137,260,,36,,,,,,,,,,,
33,Ken Baumgartner,1998,1999,2,LW,151,1,4,5,-20,318,1,0,0,0,4,0,0,43,2.3,354,5:08
34,Red Beattie,1931,1938,8,LW,287,58,79,137,,127,,,,,,,,,,,
35,Bob Beckett,1957,1964,4,C,68,7,6,13,,18,0,0,0,0,,,,,,,
36,Clayton Beddoes,1996,1997,2,C,60,2,8,10,-6,57,2,0,0,0,8,0,0,29,6.9,,
37,Bob Beers,1990,1997,4,D,77,3,11,14,-19,53,2,1,0,0,9,2,0,83,3.6,,
38,Steve Begin,2010,2010,1,C,77,5,9,14,-7,53,4,0,1,2,8,0,1,110,4.5,988,12:49
39,Ken Belanger,1999,2001,3,LW,122,5,8,13,-12,317,5,0,0,1,8,0,0,71,7.0,688,5:38
40,Bill Bennett,1979,1979,1,LW,7,1,4,5,4,2,1,0,0,0,4,0,0,4,25.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Bobby Benson,1925,1925,1,D,8,0,1,1,,4,,,,,,,,,,,
42,Paul Beraldo,1988,1989,2,RW,10,0,0,0,-5,4,0,0,0,0,0,0,0,2,0.0,,
43,Bryan Berard,2003,2003,1,D,80,10,28,38,-4,64,6,4,0,1,16,12,0,205,4.9,1709,21:21
44,Fred Bergdinon,1926,1926,1,RW,2,0,0,0,,0,,,,,,,,,,,
45,Patrice Bergeron,2004,2015,11,C,714,199,334,533,108,259,135,55,9,40,222,99,13,1960,10.2,13305,18:38
46,Phil Besler,1936,1936,1,RW,8,0,0,0,,0,,,,,,,,,,,
47,Sam Bettio,1950,1950,1,LW,44,9,12,21,,32,,,,,,,,,,,
48,Nick Beverley,1967,1974,5,D,82,1,10,11,6,28,1,0,0,0,10,0,0,57,1.8,,
49,Jack Bionda,1957,1959,3,D,80,3,8,11,,95,,,,,,,,,,,
50,Byron Bitz,2009,2010,2,RW,80,8,8,16,-9,49,8,0,0,2,7,1,0,82,9.8,855,10:41
51,Don Blackburn,1963,1963,1,LW,6,0,5,5,,4,,,,,,,,,,,
52,Bob Blake,1936,1936,1,LW,12,0,0,0,,0,,,,,,,,,,,
53,Zdenek Blatny,2006,2006,1,LW,5,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,26,5:07
54,John Blum,1984,1990,5,D,169,5,22,27,7,443,5,0,0,1,22,0,0,85,5.9,,
