
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Luke Adam,2011,2014,4,C,87,15,11,26,-11,32,15,0,0,1,7,4,0,138,10.9,1051,12:04
2,Maxim Afinogenov,2000,2009,9,RW,569,134,200,334,-26,440,101,32,1,20,134,66,0,1376,9.7,8424,14:48
3,Peter Ambroziak,1995,1995,1,LW,12,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,,
4,Ron Anderson,1971,1972,2,RW,111,14,16,30,-21,63,13,0,1,3,16,0,0,174,8.0,,
5,Shawn Anderson,1987,1990,4,D,113,6,26,32,2,66,3,3,0,0,16,9,1,97,6.2,,
6,Mikael Andersson,1986,1989,4,LW,99,4,33,37,4,18,3,0,1,1,30,1,2,65,6.2,,
7,Paul Andrea,1971,1971,1,RW,47,11,21,32,-16,4,9,2,0,3,7,14,0,99,11.1,,
8,Dave Andreychuk,1983,2001,12,LW,837,368,436,804,28,596,207,161,0,38,255,181,0,2342,15.7,887,11:59
9,Joel Armia,2015,2015,1,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,14:47
10,Scott Arniel,1987,1990,4,LW,295,64,74,138,21,243,57,1,6,12,68,4,2,446,14.3,,
11,Mark Astley,1994,1996,3,D,75,4,19,23,-15,92,4,0,0,0,11,8,0,103,3.9,,
12,Steve Atkinson,1971,1974,4,RW,255,49,47,96,-25,96,43,5,1,4,39,8,0,453,10.8,,
13,Donald Audette,1991,2001,9,RW,421,166,131,297,-6,335,100,65,1,30,86,45,0,1103,15.0,209,17:24
14,Terry Ball,1971,1972,2,D,12,0,1,1,-7,6,0,0,0,0,1,0,0,10,0.0,,
15,Matthew Barnaby,1993,1999,7,RW,317,47,79,126,11,1248,43,4,0,6,68,11,0,448,10.5,613,13:56
16,Stu Barnes,1999,2003,5,C,310,67,105,172,-11,98,44,18,5,13,70,32,3,573,11.7,5690,18:21
17,Doug Barrie,1971,1972,2,D,102,6,28,34,-40,213,6,0,0,1,26,2,0,152,3.9,,
18,Milan Bartovic,2003,2004,2,RW,26,2,8,10,1,18,2,0,0,0,8,0,0,35,5.7,326,12:31
19,Andre Benoit,2015,2015,1,D,37,1,5,6,-9,18,0,0,1,0,5,0,0,26,3.8,649,17:32
20,Steve Bernier,2008,2008,1,RW,17,3,6,9,1,2,3,0,0,0,6,0,0,35,8.6,240,14:05
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,James Black,1994,1994,1,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,,
22,Doug Bodger,1989,1996,8,D,479,54,233,287,15,506,20,33,1,4,81,144,8,1032,5.2,,
23,Zach Bogosian,2015,2015,1,D,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,54,27:01
24,Mike Boland,1979,1979,1,D,22,1,2,3,6,29,1,0,0,0,2,0,0,17,5.9,,
25,Jason Botterill,2003,2004,2,LW,36,3,5,8,1,28,1,2,0,0,4,1,0,40,7.5,400,11:07
26,Philippe Boucher,1993,1995,3,D,65,7,16,23,6,43,3,4,0,1,9,7,0,110,6.4,,
27,Bob Boughner,1996,1998,3,D,177,2,11,13,20,494,2,0,0,0,10,0,1,74,2.7,,
28,Eric Boulton,2001,2004,4,LW,172,5,12,17,-3,511,5,0,0,1,12,0,0,94,5.3,1010,5:52
29,Brad Boyes,2011,2012,2,RW,86,13,24,37,4,12,9,4,0,1,16,8,0,146,8.9,1202,13:58
30,Ken Breitenbach,1976,1979,3,D,68,1,13,14,7,49,1,0,0,0,13,0,0,52,1.9,,
31,T.J. Brennan,2012,2013,2,D,21,2,0,2,-1,12,1,1,0,0,0,0,0,32,6.3,303,14:27
32,Daniel Briere,2003,2007,4,C,225,92,138,230,14,219,56,36,0,14,82,55,1,614,15.0,4232,18:48
33,Brad Brown,2004,2004,1,D,13,0,2,2,3,12,0,0,0,0,2,0,0,6,0.0,215,16:32
34,Curtis Brown,1995,2004,10,C/LW,542,109,143,252,76,288,78,22,9,21,115,24,4,941,11.6,7708,17:16
35,Greg Brown,1991,1993,2,D,49,1,3,4,-25,41,1,0,0,0,2,1,0,36,2.8,,
36,Paul Brydges,1987,1987,1,C,15,2,2,4,4,6,2,0,0,0,2,0,0,8,25.0,,
37,Randy Burridge,1996,1998,3,LW,159,39,60,99,17,50,28,8,3,4,38,20,2,279,14.0,,
38,Ron Busniuk,1973,1974,2,RW,6,0,3,3,-1,13,0,0,0,0,2,1,0,4,0.0,,
39,Chris Butler,2009,2011,3,D,155,5,31,36,4,66,5,0,0,1,18,13,0,149,3.4,2857,18:26
40,Mike Byers,1972,1972,1,RW,46,9,7,16,-20,12,6,3,0,1,6,1,0,69,13.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Paul Byron,2011,2011,1,C,8,1,1,2,0,2,1,0,0,0,1,0,0,5,20.0,88,10:57
42,Brian Campbell,2000,2008,8,D,391,32,144,176,-7,113,23,9,0,7,88,55,1,481,6.7,7597,19:25
43,Mike Card,2007,2007,1,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,4:33
44,Keith Carney,1992,1994,3,D,51,4,9,13,-1,77,3,1,0,1,7,2,0,49,8.2,,
45,Larry Carriere,1973,1978,4,D,207,9,43,52,13,284,5,4,0,0,34,9,0,235,3.8,,
46,Peter Ciavaglia,1992,1993,2,C,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,,
47,Real Cloutier,1984,1985,2,RW,81,24,36,60,-3,25,15,9,0,6,20,16,0,175,13.7,,
48,Cory Conacher,2014,2014,1,LW,19,3,3,6,-7,16,2,1,0,1,3,0,0,27,11.1,284,14:57
49,Rob Conn,1996,1996,1,W,28,2,5,7,-9,18,2,0,0,0,5,0,0,36,5.6,,
50,Tim Connolly,2002,2011,8,C,464,94,226,320,-2,174,54,37,3,24,125,96,5,980,9.6,8154,17:34
51,Bob Corkum,1990,2002,4,C,106,10,9,19,-12,67,9,0,1,2,7,1,1,108,9.3,107,10:43
52,Adam Creighton,1984,1989,6,C,172,40,60,100,-3,196,26,14,0,7,39,21,0,249,16.1,,
53,Randy Cunneyworth,1981,1999,3,LW,35,4,6,10,-2,49,4,0,0,1,6,0,0,46,8.7,126,8:58
54,Brian Curran,1991,1992,2,D,20,0,1,1,-3,57,0,0,0,0,1,0,0,8,0.0,,
55,Paul Cyr,1983,1988,6,LW,342,85,111,196,-30,454,64,19,2,8,76,34,1,678,12.5,,
56,Matt D'Agostini,2014,2014,1,RW,49,5,6,11,-14,22,3,2,0,2,6,0,0,99,5.1,756,15:25
57,Zac Dalpe,2015,2015,1,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,8:00
58,Mal Davis,1983,1986,4,LW,89,29,22,51,-7,34,18,11,0,8,10,12,0,111,26.1,,
59,Jason Dawe,1994,1998,5,RW,290,79,79,158,11,132,56,19,4,9,53,25,1,467,16.9,,
60,Butch Deadmarsh,1971,1973,3,LW,56,2,2,4,-16,39,1,1,0,0,2,0,0,32,6.3,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Dale DeGray,1990,1990,1,D,6,0,0,0,-4,6,0,0,0,0,0,0,0,5,0.0,,
62,Andy Delmore,2004,2004,1,D,37,2,5,7,-5,29,0,2,0,0,4,1,0,40,5.0,562,15:11
63,Nicolas Deslauriers,2014,2015,2,LW,74,5,8,13,-24,82,5,0,0,1,7,0,1,79,6.3,893,12:03
64,Gord Donnelly,1992,1994,3,D,134,5,11,16,-1,557,5,0,0,1,10,0,1,65,7.7,,
65,Mike Donnelly,1988,1990,3,LW,74,11,16,27,-6,62,11,0,0,0,12,4,0,114,9.6,,
66,Chris Drury,2004,2007,3,C,234,85,104,189,-2,130,41,38,6,16,59,42,3,523,16.3,4285,18:18
67,Rick Dudley,1973,1981,6,LW,279,70,94,164,56,264,64,6,0,11,82,12,0,526,13.3,,
68,Dick Duff,1971,1972,2,LW,61,9,15,24,-18,12,9,0,0,1,11,4,0,72,12.5,,
