
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Thommy Abrahamsson,1981,1981,1,D,32,6,11,17,-4,16,2,4,0,1,8,3,0,66,9.1,,
2,Craig Adams,2001,2008,7,RW,427,33,44,77,-37,337,28,2,3,4,40,1,3,419,7.9,4518,10:34
3,Greg Adams,1983,1983,1,LW,79,10,13,23,-46,216,9,1,0,1,11,2,0,114,8.8,,
4,Kevyn Adams,2002,2007,5,C,300,38,34,72,-14,168,30,0,8,4,30,2,2,543,7.0,3757,12:31
5,Jim Agnew,1993,1993,1,D,16,0,0,0,3,68,0,0,0,0,0,0,0,3,0.0,,
6,Andrew Alberts,2010,2010,1,D,62,2,8,10,7,74,2,0,0,0,8,0,0,38,5.3,935,15:04
7,Bryan Allen,2011,2012,2,D,101,1,18,19,3,95,1,0,0,1,17,0,1,95,1.1,1872,18:32
8,Steve Alley,1980,1981,2,LW,15,3,3,6,-3,11,3,0,0,0,3,0,0,15,20.0,,
9,Ray Allison,1980,1981,2,RW,70,17,12,29,-4,13,17,0,0,2,12,0,0,85,20.0,,
10,John Anderson,1986,1989,4,RW,215,72,117,189,39,69,54,18,0,9,63,54,0,554,13.0,,
11,Russ Anderson,1982,1983,2,D,82,1,9,10,-50,256,1,0,0,1,9,0,0,42,2.4,,
12,Mikael Andersson,1990,1992,3,LW,165,35,60,95,18,28,28,2,5,3,46,13,1,292,12.0,,
13,Mike Antonovich,1980,1980,1,C,5,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,,
14,Fred Arthur,1981,1981,1,D,3,0,0,0,-5,0,0,0,0,0,0,0,0,3,0.0,,
15,Keith Aucoin,2006,2008,3,C,53,5,10,15,0,14,5,0,0,0,8,2,0,74,6.8,599,11:18
16,Anton Babchuk,2006,2011,4,D,163,24,38,62,1,64,12,12,0,7,24,12,2,267,9.0,2826,17:20
17,Dave Babych,1986,1991,6,D,349,44,196,240,-66,254,11,32,1,8,74,119,3,893,4.9,,
18,Wayne Babych,1986,1987,2,RW,41,11,17,28,1,63,9,2,0,2,11,6,0,65,16.9,,
19,Jergus Baca,1991,1992,2,D,10,0,2,2,-4,14,0,0,0,0,0,2,0,16,0.0,,
20,Reid Bailey,1984,1984,1,D,12,0,0,0,-2,25,0,0,0,0,0,0,0,8,0.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Norm Barnes,1981,1982,2,D,74,2,14,16,-34,101,2,0,0,0,13,1,0,97,2.1,,
22,Dave Barr,1987,1987,1,RW,30,2,4,6,-1,19,1,0,1,0,4,0,0,25,8.0,,
23,Bates Battaglia,1998,2003,6,LW,402,63,87,150,-11,281,51,10,2,10,76,11,0,555,11.4,5792,15:41
24,Ryan Bayda,2003,2009,5,LW,179,16,24,40,-20,94,16,0,0,2,20,4,0,244,6.6,2113,11:48
25,Eric Belanger,2007,2007,1,C,56,8,12,20,-2,14,5,3,0,1,10,2,0,100,8.0,832,14:51
26,Brett Bellemore,2013,2015,3,D,101,2,12,14,-2,72,2,0,0,0,12,0,0,72,2.8,1680,16:37
