
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Calgary Flames,57,32,22,,3,67,.588,0.27,-0.07,2nd,,B. Hartley (32-22-3)
2013-14,NHL,Calgary Flames,82,35,40,,7,77,.470,-0.35,0.04,6th,,B. Hartley (35-40-7)
2012-13,NHL,Calgary Flames,48,19,25,,4,42,.438,-0.65,0.02,4th,,B. Hartley (19-25-4)
2011-12,NHL,Calgary Flames,82,37,29,,16,90,.549,-0.28,0.01,2nd,,B. Sutter (37-29-16)
2010-11,NHL,Calgary Flames,82,41,29,,12,94,.573,0.14,-0.02,2nd,,B. Sutter (41-29-12)
2009-10,NHL,Calgary Flames,82,40,32,,10,90,.549,-0.03,0.04,3rd,,B. Sutter (40-32-10)
2008-09,NHL,Calgary Flames*,82,46,30,,6,98,.598,0.07,0.00,2nd,Lost NHL Conference Quarter-Finals,M. Keenan (46-30-6)
2007-08,NHL,Calgary Flames*,82,42,30,,10,94,.573,0.13,0.10,3rd,Lost NHL Conference Quarter-Finals,M. Keenan (42-30-10)
2006-07,NHL,Calgary Flames*,82,43,29,,10,96,.585,0.51,0.12,3rd,Lost NHL Conference Quarter-Finals,J. Playfair (43-29-10)
2005-06,NHL,Calgary Flames*,82,46,25,,11,103,.628,0.30,0.08,1st,Lost NHL Conference Quarter-Finals,D. Sutter (46-25-11)
2003-04,NHL,Calgary Flames*,82,42,30,7,3,94,.573,0.33,0.04,3rd,Lost Stanley Cup Final,D. Sutter (42-30-7-3)
2002-03,NHL,Calgary Flames,82,29,36,13,4,75,.457,-0.37,0.14,5th,,G. Gilbert (6-13-3-3) A. MacNeil (4-5-2-0) D. Sutter (19-18-8-1)
2001-02,NHL,Calgary Flames,82,32,35,12,3,79,.482,-0.15,0.08,4th,,G. Gilbert (32-35-12-3)
2000-01,NHL,Calgary Flames,82,27,36,15,4,73,.445,-0.37,0.11,4th,,D. Hay (23-28-13-4) G. Gilbert (4-8-2-0)
1999-00,NHL,Calgary Flames,82,31,36,10,5,77,.470,-0.42,0.13,4th,,B. Sutter (31-36-10-5)
1998-99,NHL,Calgary Flames,82,30,40,12,,72,.439,-0.30,-0.02,3rd,,B. Sutter (30-40-12)
1997-98,NHL,Calgary Flames,82,26,41,15,,67,.409,-0.42,0.01,5th,,B. Sutter (26-41-15)
1996-97,NHL,Calgary Flames,82,32,41,9,,73,.445,-0.29,0.02,5th,,P. Page (32-41-9)
1995-96,NHL,Calgary Flames*,82,34,37,11,,79,.482,-0.04,-0.05,2nd,Lost NHL Conference Quarter-Finals,P. Page (34-37-11)
1994-95,NHL,Calgary Flames*,48,24,17,7,,55,.573,0.49,-0.09,1st,Lost NHL Conference Quarter-Finals,D. King (24-17-7)
1993-94,NHL,Calgary Flames*,84,42,29,13,,97,.577,0.48,-0.07,1st,Lost NHL Conference Quarter-Finals,D. King (42-29-13)
1992-93,NHL,Calgary Flames*,84,43,30,11,,97,.577,0.25,-0.22,2nd,Lost NHL Division Semi-Finals,D. King (43-30-11)
1991-92,NHL,Calgary Flames,80,31,37,12,,74,.463,-0.19,-0.08,5th,,D. Risebrough (25-30-9) G. Charron (6-7-3)
1990-91,NHL,Calgary Flames*,80,46,26,8,,100,.625,0.98,-0.03,2nd,Lost NHL Division Semi-Finals,D. Risebrough (46-26-8)
1989-90,NHL,Calgary Flames*,80,42,23,15,,99,.619,1.00,-0.04,1st,Lost NHL Division Semi-Finals,T. Crisp (42-23-15)
1988-89,NHL,Calgary Flames*,80,54,17,9,,117,.731,1.57,-0.03,1st,Won Stanley Cup Final,T. Crisp (54-17-9)
1987-88,NHL,Calgary Flames*,80,48,23,9,,105,.656,1.10,-0.05,1st,Lost NHL Division Finals,T. Crisp (48-23-9)
1986-87,NHL,Calgary Flames*,80,46,31,3,,95,.594,0.39,0.03,2nd,Lost NHL Division Semi-Finals,B. Johnson (46-31-3)
1985-86,NHL,Calgary Flames*,80,40,31,9,,89,.556,0.37,-0.12,2nd,Lost Stanley Cup Final,B. Johnson (40-31-9)
1984-85,NHL,Calgary Flames*,80,41,27,12,,94,.588,0.77,0.01,3rd,Lost NHL Division Semi-Finals,B. Johnson (41-27-12)
1983-84,NHL,Calgary Flames*,80,34,32,14,,82,.513,-0.03,0.01,2nd,Lost NHL Division Finals,B. Johnson (34-32-14)
1982-83,NHL,Calgary Flames*,80,32,34,14,,78,.488,0.07,0.02,2nd,Lost NHL Division Finals,B. Johnson (32-34-14)
