
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Rick Adduono,1980,1980,1,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,,
2,Kenny Agostino,2014,2014,1,LW,8,1,1,2,-2,0,1,0,0,0,1,0,0,12,8.3,89,11:05
3,Peter Ahola,1994,1994,1,D,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,
4,Tommy Albelin,1996,2001,6,D,339,12,59,71,-10,92,6,5,1,3,32,22,5,382,3.1,3641,20:27
5,Akim Aliu,2012,2013,2,RW,7,2,1,3,1,26,2,0,0,0,1,0,0,5,40.0,76,10:54
6,Jamie Allison,1995,2002,4,D,101,3,10,13,-4,163,3,0,0,1,8,0,2,49,6.1,286,7:44
7,Tony Amonte,2006,2007,2,RW,161,24,48,72,-1,83,18,4,2,4,30,16,2,294,8.2,2515,15:37
8,Erik Andersson,1998,1998,1,C,12,2,1,3,-4,8,2,0,0,0,1,0,0,11,18.2,,
9,Niklas Andersson,2001,2001,1,LW,11,0,1,1,0,4,0,0,0,0,1,0,0,8,0.0,123,11:09
10,Chuck Arnason,1974,1974,1,RW,33,7,6,13,1,13,7,0,0,1,4,2,0,62,11.3,,
11,Bill Arnold,2014,2014,1,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,13:35
12,Brent Ashton,1993,1993,1,LW,32,8,11,19,11,41,6,0,2,1,11,0,0,58,13.8,,
13,Adrian Aucoin,2008,2009,2,D,157,20,49,69,5,83,12,8,0,4,24,24,1,247,8.1,3399,21:38
14,Anton Babchuk,2011,2013,3,D,104,10,28,38,19,26,3,6,1,2,20,8,0,140,7.1,1562,15:01
15,Mikael Backlund,2009,2015,7,C,273,47,69,116,-2,109,31,11,5,9,56,12,1,603,7.8,4192,15:21
16,Sven Baertschi,2012,2015,4,LW,66,8,20,28,-5,22,7,1,0,0,17,3,0,79,10.1,829,12:33
17,Carter Bancks,2013,2013,1,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,14:41
18,Robin Bartel,1986,1986,1,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
19,Bob Bassen,1999,1999,1,C,41,1,2,3,-13,35,1,0,0,0,2,0,0,47,2.1,517,12:36
