
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Clarence Abel,1930,1934,5,D,222,8,12,20,,212,,,,,,,,,,,
2,Sid Abel,1953,1954,2,C/LW,42,5,4,9,,10,,,,,,,,,,,
3,Craig Adams,2008,2009,2,RW,71,4,8,12,-11,46,2,1,1,1,8,0,0,70,5.7,732,10:18
4,Kevyn Adams,2008,2008,1,C,27,0,2,2,-7,13,0,0,0,0,0,0,2,32,0.0,295,10:56
5,Stew Adams,1930,1932,3,LW,87,9,24,33,,60,,,,,,,,,,,
6,Rudy Ahlin,1938,1938,1,LW,1,0,0,0,,0,,,,,,,,,,,
7,Johnathan Aitken,2004,2004,1,D,41,0,1,1,-9,70,0,0,0,0,1,0,0,37,0.0,707,17:15
8,Nikita Alexeev,2007,2007,1,RW,15,2,0,2,-3,0,2,0,0,0,0,0,0,15,13.3,173,11:32
9,George Allen,1940,1946,6,LW/D,271,69,95,164,,157,,,,,,,,,,,
10,Jamie Allison,1999,2001,3,D,142,4,8,12,2,217,4,0,0,0,8,0,0,64,6.3,2027,14:16
11,Tony Amonte,1994,2002,9,RW,627,268,273,541,67,468,180,68,20,34,185,82,6,1903,14.1,7178,21:53
12,Alexander Andrievski,1993,1993,1,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
13,Lou Angotti,1966,1973,6,C/RW,370,51,96,147,16,126,37,12,2,8,59,10,5,329,12.5,,
14,Darrel Anholt,1984,1984,1,D,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,,
15,Al Arbour,1959,1961,3,D,180,6,17,23,,192,,,,,,,,,,,
16,Ty Arbour,1928,1931,4,LW,159,21,20,41,,102,,,,,,,,,,,
17,Michel Archambault,1977,1977,1,LW,3,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,,
18,Denis Arkhipov,2007,2007,1,C,79,10,17,27,-13,54,7,2,1,1,9,4,4,112,8.9,1241,15:42
19,Tyler Arnason,2002,2006,4,C,245,57,82,139,-4,80,43,14,0,9,54,28,0,580,9.8,3644,14:52
20,Frank Ashworth,1947,1947,1,C,18,5,4,9,,2,,,,,,,,,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Blair Atcheynum,2000,2001,2,RW,66,6,9,15,-15,8,6,0,0,0,9,0,0,66,9.1,749,11:20
22,Adrian Aucoin,2006,2007,2,D,92,5,17,22,-35,88,2,3,0,3,7,10,0,155,3.2,1987,21:35
23,Pete Babando,1951,1953,3,LW,148,34,38,72,,79,,,,,,,,,,,
24,Anton Babchuk,2004,2006,2,D,22,2,5,7,-6,18,1,1,0,0,2,3,0,35,5.7,346,15:44
25,Ralph Backstrom,1973,1973,1,C,16,6,3,9,0,2,5,0,1,0,2,0,1,36,16.7,,
26,Bob Bailey,1958,1958,1,RW,28,3,6,9,,38,,,,,,,,,,,
27,Doug Baldwin,1948,1948,1,D,5,0,0,0,,2,,,,,,,,,,,
28,Earl Balfour,1959,1961,3,LW,208,16,16,32,,30,,,,,,,,,,,
29,Murray Balfour,1960,1964,5,RW,286,66,87,153,,361,1,1,0,1,,,,,,,
30,Steve Bancroft,1993,1993,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
31,Michal Barinka,2004,2006,2,D,34,0,2,2,-12,26,0,0,0,0,2,0,0,34,0.0,490,14:25
32,Cam Barker,2006,2010,5,D,200,17,63,80,-14,219,6,11,0,2,28,34,1,256,6.6,3376,16:52
33,Doug Barkley,1958,1960,2,D,6,0,0,0,,2,,,,,,,,,,,
34,Matthew Barnaby,2006,2006,1,RW,82,8,20,28,-11,178,8,0,0,1,19,0,1,85,9.4,1101,13:25
35,Milan Bartovic,2006,2006,1,RW,24,1,6,7,0,8,1,0,0,0,6,0,0,35,2.9,212,8:50
36,Bob Bassen,1989,1990,2,C,55,5,13,18,6,70,5,0,0,1,13,0,0,44,11.4,,
37,Nolan Baumgartner,2001,2001,1,D,8,0,0,0,-4,6,0,0,0,0,0,0,0,7,0.0,101,12:39
38,James Bedard,1950,1951,2,D,22,1,1,2,,8,,,,,,,,,,,
39,Mark Bell,2001,2006,5,C,339,72,79,151,-34,454,55,14,3,3,57,22,0,690,10.4,5211,15:22
40,Adam Bennett,1992,1993,2,D,21,0,2,2,-1,20,0,0,0,0,1,1,0,21,0.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Doug Bentley,1940,1952,12,LW,546,217,314,531,,215,,,,,,,,,,,
42,Max Bentley,1941,1948,6,C,235,109,147,256,,32,,,,,,,,,,,
43,Reg Bentley,1943,1943,1,LW,11,1,2,3,,2,,,,,,,,,,,
