
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Colorado Avalanche,57,24,22,,11,59,.518,-0.10,0.11,7th,,P. Roy (24-22-11)
2013-14,NHL,Colorado Avalanche*,82,52,22,,8,112,.683,0.40,0.04,1st,Lost NHL Conference Quarter-Finals,P. Roy (52-22-8)
2012-13,NHL,Colorado Avalanche,48,16,25,,7,39,.406,-0.73,0.02,5th,,J. Sacco (16-25-7)
2011-12,NHL,Colorado Avalanche,82,41,35,,6,88,.537,-0.13,0.01,3rd,,J. Sacco (41-35-6)
2010-11,NHL,Colorado Avalanche,82,30,44,,8,68,.415,-0.70,0.05,4th,,J. Sacco (30-44-8)
2009-10,NHL,Colorado Avalanche*,82,43,30,,9,95,.579,0.16,0.02,2nd,Lost NHL Conference Quarter-Finals,J. Sacco (43-30-9)
2008-09,NHL,Colorado Avalanche,82,32,45,,5,69,.421,-0.66,0.05,5th,,T. Granato (32-45-5)
2007-08,NHL,Colorado Avalanche*,82,44,31,,7,95,.579,0.24,0.09,2nd,Lost NHL Conference Semi-Finals,J. Quenneville (44-31-7)
2006-07,NHL,Colorado Avalanche,82,44,31,,7,95,.579,0.39,0.13,4th,,J. Quenneville (44-31-7)
2005-06,NHL,Colorado Avalanche*,82,43,30,,9,95,.579,0.39,0.07,2nd,Lost NHL Conference Semi-Finals,J. Quenneville (43-30-9)
2003-04,NHL,Colorado Avalanche*,82,40,22,13,7,100,.610,0.48,0.02,2nd,Lost NHL Conference Semi-Finals,T. Granato (40-22-13-7)
2002-03,NHL,Colorado Avalanche*,82,42,19,13,8,105,.640,0.75,0.06,1st,Lost NHL Conference Quarter-Finals,B. Hartley (10-8-9-4) T. Granato (32-11-4-4)
2001-02,NHL,Colorado Avalanche*,82,45,28,8,1,99,.604,0.58,0.06,1st,Lost NHL Conference Finals,B. Hartley (45-28-8-1)
2000-01,NHL,Colorado Avalanche*,82,52,16,10,4,118,.720,0.95,0.00,1st,Won Stanley Cup Final,B. Hartley (52-16-10-4)
1999-00,NHL,Colorado Avalanche*,82,42,28,11,1,96,.585,0.46,0.07,1st,Lost NHL Conference Finals,B. Hartley (42-28-11-1)
1998-99,NHL,Colorado Avalanche*,82,44,28,10,,98,.598,0.34,-0.08,1st,Lost NHL Conference Finals,B. Hartley (44-28-10)
1997-98,NHL,Colorado Avalanche*,82,39,26,17,,95,.579,0.27,-0.05,1st,Lost NHL Conference Quarter-Finals,M. Crawford (39-26-17)
1996-97,NHL,Colorado Avalanche*,82,49,24,9,,107,.652,0.81,-0.07,1st,Lost NHL Conference Finals,M. Crawford (49-24-9)
1995-96,NHL,Colorado Avalanche*,82,47,25,10,,104,.634,0.93,-0.12,1st,Won Stanley Cup Final,M. Crawford (47-25-10)
1994-95,NHL,Quebec Nordiques*,48,30,13,5,,65,.677,1.01,-0.06,1st,Lost NHL Conference Quarter-Finals,M. Crawford (30-13-5)
1993-94,NHL,Quebec Nordiques,84,34,42,8,,76,.452,-0.16,0.02,5th,,P. Page (34-42-8)
1992-93,NHL,Quebec Nordiques*,84,47,27,10,,104,.619,0.50,-0.11,2nd,Lost NHL Division Semi-Finals,P. Page (47-27-10)
1991-92,NHL,Quebec Nordiques,80,20,48,12,,52,.325,-0.76,0.03,5th,,D. Chambers (3-14-1) P. Page (17-34-11)
1990-91,NHL,Quebec Nordiques,80,16,50,14,,46,.288,-1.42,0.06,5th,,D. Chambers (16-50-14)
1989-90,NHL,Quebec Nordiques,80,12,61,7,,31,.194,-1.91,0.18,5th,,M. Bergeron (12-61-7)
1988-89,NHL,Quebec Nordiques,80,27,46,7,,61,.381,-0.78,0.14,5th,,R. Lapointe (11-20-2) J. Perron (16-26-5)
1987-88,NHL,Quebec Nordiques,80,32,43,5,,69,.431,-0.37,0.07,5th,,A. Savard (10-13-1) R. Lapointe (22-30-4)
1986-87,NHL,Quebec Nordiques*,80,31,39,10,,72,.450,-0.07,0.05,4th,Lost NHL Division Finals,M. Bergeron (31-39-10)
1985-86,NHL,Quebec Nordiques*,80,43,31,6,,92,.575,0.60,0.09,1st,Lost NHL Division Semi-Finals,M. Bergeron (43-31-6)
1984-85,NHL,Quebec Nordiques*,80,41,30,9,,91,.569,0.65,0.05,2nd,Lost NHL Conference Finals,M. Bergeron (41-30-9)
1983-84,NHL,Quebec Nordiques*,80,42,28,10,,94,.588,1.09,0.06,3rd,Lost NHL Division Finals,M. Bergeron (42-28-10)
1982-83,NHL,Quebec Nordiques*,80,34,34,12,,80,.500,0.14,0.05,4th,Lost NHL Division Semi-Finals,M. Bergeron (34-34-12)
1981-82,NHL,Quebec Nordiques*,80,33,31,16,,82,.513,0.25,0.11,4th,Lost NHL Conference Finals,M. Bergeron (33-31-16)
1980-81,NHL,Quebec Nordiques*,80,30,32,18,,78,.488,-0.05,0.00,4th,Lost NHL Preliminary Round,M. Bergeron (29-29-16) M. Filion (1-3-2)
1979-80,NHL,Quebec Nordiques,80,25,44,11,,61,.381,-0.77,0.04,5th,,J. Demers (25-44-11)
