
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Greg Adams,1990,1990,1,LW,7,1,3,4,-2,17,1,0,0,0,2,1,0,8,12.5,,
2,Andrew Agozzino,2015,2015,1,LW,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,9:45
3,Tommy Albelin,1988,1989,2,D,74,5,27,32,-13,74,4,1,0,1,12,15,0,114,4.4,,
4,John Anderson,1986,1986,1,RW,65,21,28,49,-1,26,10,8,3,5,12,15,1,190,11.1,,
5,Shawn Anderson,1991,1991,1,D,31,3,10,13,2,21,1,2,0,0,8,2,0,44,6.8,,
6,Niklas Andersson,1993,1993,1,LW,3,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,,
7,Peter Andersson,1986,1986,1,D,12,1,8,9,8,4,0,1,0,0,4,4,0,16,6.3,,
8,Dave Andreychuk,2000,2000,1,LW,14,1,2,3,-9,2,0,1,0,1,1,1,0,41,2.4,242,17:15
9,Tyler Arnason,2007,2009,3,C,223,31,71,102,-25,56,25,6,0,5,52,19,0,498,6.2,3189,14:17
10,Brent Ashton,1985,1987,3,LW,172,78,75,153,13,119,50,23,5,8,51,21,3,427,18.3,,
11,Serge Aubin,1999,2003,3,LW,82,6,7,13,-1,70,6,0,0,2,6,0,1,77,7.8,893,10:53
12,Pierre Aubry,1981,1984,4,LW,163,18,23,41,-18,92,17,0,1,2,21,2,0,134,13.4,,
13,Yuri Babenko,2001,2001,1,C,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,32,10:34
14,Wayne Babych,1986,1986,1,RW,15,6,5,11,0,18,5,1,0,0,4,1,0,32,18.8,,
15,Joel Baillargeon,1989,1989,1,LW,5,0,0,0,-3,4,0,0,0,0,0,0,0,2,0.0,,
16,Jamie Baker,1990,1992,3,C,71,9,10,19,-10,40,5,3,1,1,8,2,0,95,9.5,,
17,Don Barber,1992,1992,1,W,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,
18,Matthew Barnaby,2004,2004,1,RW,13,4,5,9,3,37,3,1,0,2,5,0,0,24,16.7,200,15:25
19,Tyson Barrie,2012,2015,4,D,161,22,61,83,6,50,16,6,0,6,44,17,0,268,8.2,3195,19:50
20,Bob Bassen,1994,1995,2,C,84,23,23,46,11,88,21,1,1,1,23,0,0,122,18.9,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Bates Battaglia,2003,2004,2,LW,17,1,6,7,-3,14,0,1,0,1,5,1,0,28,3.6,243,14:19
22,Paul Baxter,1980,1980,1,D,61,7,13,20,-27,145,3,4,0,1,5,8,0,90,7.8,,
23,Wade Belak,1997,1999,3,RW,35,1,1,2,-6,109,1,0,0,1,1,0,0,8,12.5,150,6:48
24,Bruce Bell,1985,1985,1,D,75,6,31,37,32,44,4,2,0,1,22,9,0,116,5.2,,
25,Shawn Belle,2011,2011,1,D,4,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,72,18:02
26,Andre Benoit,2014,2014,1,D,79,7,21,28,2,26,6,1,0,2,13,7,1,113,6.2,1597,20:12
27,Bo Berglund,1984,1985,2,RW,87,20,28,48,8,26,19,1,0,2,17,11,0,98,20.4,,
28,Serge Bernier,1980,1981,2,RW,78,10,22,32,-13,49,6,4,0,3,12,9,1,111,9.0,,
29,Rick Berry,2001,2002,2,D,76,0,4,4,6,98,0,0,0,0,4,0,0,39,0.0,772,10:09
30,Gilles Bilodeau,1980,1980,1,LW,9,0,1,1,-1,25,0,0,0,0,1,0,0,1,0.0,,
31,Rob Blake,2001,2006,5,D,322,62,146,208,55,278,25,34,3,10,75,67,4,1048,5.9,8268,25:40
32,Michel Bolduc,1982,1983,2,D,10,0,0,0,2,6,0,0,0,0,0,0,0,5,0.0,,
33,Dennis Bonvie,2004,2004,1,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,7:01
34,Patrick Bordeleau,2013,2015,3,LW,129,8,8,16,-8,185,8,0,0,1,8,0,0,61,13.1,858,6:38
35,Bob Boughner,2004,2006,2,D,52,1,6,7,1,62,1,0,0,1,5,1,0,23,4.3,445,8:33
36,Raymond Bourque,2000,2001,2,D,94,15,58,73,34,54,4,9,2,0,23,35,0,259,5.8,2468,26:15
37,Johnny Boychuk,2008,2008,1,D,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,36,8:56
38,Curt Brackenbury,1980,1980,1,RW,63,6,8,14,-21,55,6,0,0,1,7,1,0,42,14.3,,
39,Rich Brennan,1997,1997,1,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
40,Daniel Briere,2015,2015,1,C,47,8,3,11,-5,18,8,0,0,3,3,0,0,61,13.1,599,12:44
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Travis Brigley,2004,2004,1,LW,36,3,4,7,0,10,2,1,0,0,4,0,0,39,7.7,427,11:51
42,Patrice Brisebois,2006,2007,2,D,113,11,38,49,-4,77,6,5,0,2,21,16,1,143,7.7,2425,21:27
43,Evan Brophey,2012,2012,1,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,4:10
44,Aaron Broten,1991,1991,1,LW/C,20,5,4,9,-3,6,4,1,0,0,3,1,0,40,12.5,,
45,Paul Brousseau,1996,1996,1,RW,8,1,1,2,1,2,1,0,0,0,1,0,0,10,10.0,,
46,Jeff Brown,1986,1990,5,D,237,53,117,170,-45,166,25,27,1,8,37,78,2,703,7.5,,
47,Steve Brule,2003,2003,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,9:06
48,Andrew Brunette,2006,2008,3,LW,246,70,135,205,6,98,43,27,0,6,82,53,0,427,16.4,3941,16:01
49,Jeff Buchanan,1999,1999,1,D,6,0,0,0,1,6,0,0,0,0,0,0,0,1,0.0,25,4:05
50,Garth Butcher,1994,1994,1,D,34,3,9,12,-1,67,2,0,1,1,9,0,0,29,10.3,,
51,Paul Carey,2014,2015,2,C,17,0,1,1,2,0,0,0,0,0,1,0,0,10,0.0,118,6:55
52,Terry Carkner,1988,1988,1,D,63,3,24,27,-8,159,1,2,0,1,8,16,0,54,5.6,,
53,Gino Cavallini,1992,1993,2,LW,85,10,22,32,9,38,10,0,0,0,19,3,0,110,9.1,,
54,Stephane Charbonneau,1992,1992,1,RW,2,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,,
55,Ron Chipperfield,1980,1981,2,C,16,4,5,9,-10,10,4,0,0,1,5,0,0,26,15.4,,
56,Joe Cirella,1990,1991,2,D,95,6,24,30,-55,126,5,1,0,0,14,9,1,136,4.4,,
57,Kim Clackson,1981,1981,1,D,61,0,5,5,-3,204,0,0,0,0,5,0,0,20,0.0,,
58,Brett Clark,2004,2010,6,D,371,30,100,130,6,205,19,11,0,4,66,32,2,561,5.3,7881,21:14
59,Wendel Clark,1995,1995,1,LW/D,37,12,18,30,-1,45,7,5,0,0,15,3,0,95,12.6,,
60,Marc-Andre Cliche,2014,2015,2,C,125,2,9,11,-11,34,2,0,0,0,8,0,1,113,1.8,1298,10:22
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Real Cloutier,1980,1983,4,RW,236,122,162,284,18,94,94,28,0,13,100,62,0,742,16.4,,
62,Roland Cloutier,1980,1980,1,C,14,2,3,5,1,0,2,0,0,0,3,0,0,19,10.5,,
63,Colby Cohen,2011,2011,1,D,3,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,53,17:44
64,Mike Connolly,2012,2012,1,LW,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,12:20
65,Rene Corbet,1994,1999,6,LW,247,40,51,91,39,293,33,7,0,8,37,14,0,380,10.5,617,11:39
66,Alain Cote,1980,1989,10,LW,696,103,190,293,17,383,91,2,10,8,176,4,10,920,11.2,,
67,Alain Cote,1994,1994,1,D,6,0,0,0,-2,4,0,0,0,0,0,0,0,4,0.0,,
68,Ted Crowley,1999,1999,1,D,7,0,1,1,-1,2,0,0,0,0,0,1,0,10,0.0,49,7:00
69,Kyle Cumiskey,2007,2011,5,D,132,9,26,35,-8,48,7,2,0,1,20,6,0,124,7.3,2195,16:37
70,Jim Cummins,2004,2004,1,RW,55,1,2,3,-5,147,1,0,0,1,2,0,0,25,4.0,321,5:50
71,Richard David,1980,1983,3,LW,31,4,4,8,-7,10,2,2,0,1,4,0,0,29,13.8,,
72,Jeff Daw,2002,2002,1,C,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,13,12:34
73,Greg de Vries,1999,2003,5,D,379,22,60,82,46,311,20,1,1,5,56,1,3,432,5.1,7197,18:59
74,Adam Deadmarsh,1995,2001,7,RW,453,138,150,288,30,723,90,45,3,21,90,55,5,975,14.2,3510,19:56
75,Lucien DeBlois,1990,1991,2,C,84,11,10,21,-28,58,10,1,0,2,9,0,1,91,12.1,,
76,Gilbert Delorme,1986,1987,2,D,83,4,18,22,-2,65,3,1,0,0,13,5,0,124,3.2,,
77,Bill Derlago,1987,1987,1,C,18,3,5,8,-4,6,3,0,0,0,4,1,0,20,15.0,,
78,Chris Dingman,1999,2001,3,LW,110,9,4,13,-5,247,7,2,0,1,2,2,0,87,10.3,706,6:24
79,Jim Dobson,1984,1984,1,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,
80,Bobby Dollas,1988,1989,2,D,25,0,3,3,-15,18,0,0,0,0,3,0,0,16,0.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Gord Donnelly,1984,1989,6,D,213,10,12,22,-27,668,8,2,0,0,11,1,0,127,7.9,,
82,Shean Donovan,1998,2000,3,RW,133,13,19,32,3,93,12,1,0,1,18,1,0,151,8.6,692,8:02
83,Andre Dore,1984,1984,1,D,25,1,16,17,1,25,1,0,0,0,16,0,0,30,3.3,,
84,Daniel Dore,1990,1991,2,RW,17,2,3,5,-7,59,1,1,0,0,1,2,0,5,40.0,,
85,Jim Dowd,2006,2006,1,C,18,2,1,3,-6,2,1,0,1,0,1,0,0,12,16.7,217,12:04
86,Steve Downie,2012,2014,3,RW,33,3,18,21,14,58,2,1,0,2,15,3,0,69,4.3,544,16:28
