
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Dallas Stars,57,27,22,,8,62,.544,0.03,0.04,6th,,L. Ruff (27-22-8)
2013-14,NHL,Dallas Stars*,82,40,31,,11,91,.555,0.14,0.05,5th,Lost NHL Conference Quarter-Finals,L. Ruff (40-31-11)
2012-13,NHL,Dallas Stars,48,22,22,,4,48,.500,-0.21,0.05,5th,,G. Gulutzan (22-22-4)
2011-12,NHL,Dallas Stars,82,42,35,,5,89,.543,-0.10,0.03,4th,,G. Gulutzan (42-35-5)
2010-11,NHL,Dallas Stars,82,42,29,,11,95,.579,-0.02,0.05,5th,,M. Crawford (42-29-11)
2009-10,NHL,Dallas Stars,82,37,31,,14,88,.537,-0.12,0.09,5th,,M. Crawford (37-31-14)
2008-09,NHL,Dallas Stars,82,36,35,,11,83,.506,-0.30,0.03,3rd,,D. Tippett (36-35-11)
2007-08,NHL,Dallas Stars*,82,45,30,,7,97,.591,0.54,0.11,3rd,Lost NHL Conference Finals,D. Tippett (45-30-7)
2006-07,NHL,Dallas Stars*,82,50,25,,7,107,.652,0.44,0.08,3rd,Lost NHL Conference Quarter-Finals,D. Tippett (50-25-7)
2005-06,NHL,Dallas Stars*,82,53,23,,6,112,.683,0.61,0.04,1st,Lost NHL Conference Quarter-Finals,D. Tippett (53-23-6)
2003-04,NHL,Dallas Stars*,82,41,26,13,2,97,.591,0.22,-0.01,2nd,Lost NHL Conference Quarter-Finals,D. Tippett (41-26-13-2)
2002-03,NHL,Dallas Stars*,82,46,17,15,4,111,.677,0.94,0.01,1st,Lost NHL Conference Semi-Finals,D. Tippett (46-17-15-4)
2001-02,NHL,Dallas Stars,82,36,28,13,5,90,.549,0.09,0.07,4th,,K. Hitchcock (23-17-6-4) R. Wilson (13-11-7-1)
2000-01,NHL,Dallas Stars*,82,48,24,8,2,106,.646,0.68,0.02,1st,Lost NHL Conference Semi-Finals,K. Hitchcock (48-24-8-2)
1999-00,NHL,Dallas Stars*,82,43,23,10,6,102,.622,0.41,0.08,1st,Lost Stanley Cup Final,K. Hitchcock (43-23-10-6)
1998-99,NHL,Dallas Stars*,82,51,19,12,,114,.695,0.76,-0.07,1st,Won Stanley Cup Final,K. Hitchcock (51-19-12)
1997-98,NHL,Dallas Stars*,82,49,22,11,,109,.665,0.88,-0.03,1st,Lost NHL Conference Finals,K. Hitchcock (49-22-11)
1996-97,NHL,Dallas Stars*,82,48,26,8,,104,.634,0.64,-0.02,1st,Lost NHL Conference Quarter-Finals,K. Hitchcock (48-26-8)
1995-96,NHL,Dallas Stars,82,26,42,14,,66,.402,-0.60,0.05,6th,,B. Gainey (11-19-9) K. Hitchcock (15-23-5)
1994-95,NHL,Dallas Stars*,48,17,23,8,,42,.438,0.07,0.05,5th,Lost NHL Conference Quarter-Finals,B. Gainey (17-23-8)
1993-94,NHL,Dallas Stars*,84,42,29,13,,97,.577,0.20,-0.05,3rd,Lost NHL Conference Semi-Finals,B. Gainey (42-29-13)
1992-93,NHL,Minnesota North Stars,84,36,38,10,,82,.488,-0.21,0.04,5th,,B. Gainey (36-38-10)
1991-92,NHL,Minnesota North Stars*,80,32,42,6,,70,.438,-0.37,0.04,4th,Lost NHL Division Semi-Finals,B. Gainey (32-42-6)
1990-91,NHL,Minnesota North Stars*,80,27,39,14,,68,.425,-0.10,0.03,4th,Lost Stanley Cup Final,B. Gainey (27-39-14)
1989-90,NHL,Minnesota North Stars*,80,36,40,4,,76,.475,-0.10,-0.02,4th,Lost NHL Division Semi-Finals,P. Page (36-40-4)
1988-89,NHL,Minnesota North Stars*,80,27,37,16,,70,.438,-0.37,-0.12,3rd,Lost NHL Division Semi-Finals,P. Page (27-37-16)
1987-88,NHL,Minnesota North Stars,80,19,48,13,,51,.319,-1.38,-0.05,5th,,H. Brooks (19-48-13)
1986-87,NHL,Minnesota North Stars,80,30,40,10,,70,.438,-0.29,-0.07,5th,,L. Henning (30-39-9) G. Sonmor (0-1-1)
1985-86,NHL,Minnesota North Stars*,80,38,33,9,,85,.531,0.08,-0.20,2nd,Lost NHL Division Semi-Finals,L. Henning (38-33-9)
1984-85,NHL,Minnesota North Stars*,80,25,43,12,,62,.388,-0.77,-0.10,4th,Lost NHL Division Finals,B. Mahoney (3-8-2) G. Sonmor (22-35-10)
1983-84,NHL,Minnesota North Stars*,80,39,31,10,,88,.550,-0.14,-0.15,1st,Lost NHL Conference Finals,B. Mahoney (39-31-10)
1982-83,NHL,Minnesota North Stars*,80,40,24,16,,96,.600,0.31,-0.08,2nd,Lost NHL Division Finals,G. Sonmor (22-12-9) M. Oliver (18-12-7)
