
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Keith Acton,1984,1988,5,C,343,87,148,235,-36,380,67,14,6,13,104,37,7,662,13.1,,
2,Greg Adams,1995,1998,4,LW,177,60,57,117,13,59,35,24,1,6,31,25,1,344,17.4,,
3,Chris Ahrens,1974,1978,5,D,52,0,3,3,-26,84,0,0,0,0,3,0,0,26,0.0,,
4,Keith Aldridge,2000,2000,1,D,4,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,44,11:05
5,Kent-Erik Andersson,1978,1982,5,RW,322,59,68,127,-23,56,46,7,6,12,56,5,7,472,12.5,,
6,Mike Antonovich,1976,1982,2,C,14,0,2,2,-5,8,0,0,0,0,1,1,0,22,0.0,,
7,Dave Archibald,1988,1990,3,C/LW,162,28,44,72,-27,46,17,11,0,5,30,14,0,227,12.3,,
8,Jim Archibald,1985,1987,3,RW,16,1,2,3,-4,45,1,0,0,0,2,0,0,20,5.0,,
9,Chuck Arnason,1979,1979,1,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
10,Jason Arnott,2002,2006,4,C,236,79,105,184,44,225,53,25,1,18,72,33,0,507,15.6,3982,16:52
11,Brent Ashton,1984,1985,2,LW,97,11,17,28,-12,69,11,0,0,0,17,0,0,112,9.8,,
12,Donald Audette,2002,2002,1,RW,20,4,8,12,2,12,1,3,0,2,6,2,0,49,8.2,249,12:25
13,Sean Avery,2009,2009,1,C,23,3,7,10,2,77,3,0,0,0,4,3,0,49,6.1,345,14:58
14,Warren Babe,1988,1991,3,LW,21,2,5,7,3,23,2,0,0,0,5,0,0,17,11.8,,
15,John Baby,1979,1979,1,D,2,0,1,1,-2,0,0,0,0,0,1,0,0,6,0.0,,
16,Helmut Balderis,1990,1990,1,RW,26,3,6,9,0,2,1,2,0,0,5,1,0,30,10.0,,
17,Dave Balon,1968,1968,1,LW,73,15,32,47,-10,84,10,4,1,2,26,6,0,152,9.9,,
18,Don Barber,1989,1991,3,W,74,23,24,47,3,44,16,7,0,4,18,6,0,152,15.1,,
19,Krys Barch,2007,2012,6,LW,263,10,16,26,-9,578,10,0,0,3,16,0,0,109,9.2,1665,6:19
20,Bob Barlow,1970,1971,2,LW,77,16,17,33,-3,10,9,6,1,1,12,5,0,164,9.8,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
