
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Justin Abdelkader,2008,2015,8,LW,375,50,66,116,22,262,45,5,0,9,59,6,1,672,7.4,5103,13:36
2,Gerry Abel,1967,1967,1,LW,1,0,0,0,,0,0,0,0,0,,,,,,,
3,Sid Abel,1939,1952,12,C/LW,570,184,279,463,,366,,,,,,,,,,,
4,Gene Achtymichuk,1959,1959,1,C,12,0,0,0,,0,,,,,,,,,,,
5,Greg Adams,1990,1990,1,LW,28,3,7,10,0,16,3,0,0,0,7,0,0,19,15.8,,
6,Micah Aivazoff,1994,1994,1,C,59,4,4,8,-1,38,4,0,0,0,3,1,0,52,7.7,,
7,Gary Aldcorn,1960,1961,2,LW,119,24,35,59,,48,,,,,,,,,,,
8,Daniel Alfredsson,2014,2014,1,RW,68,18,31,49,2,10,14,4,0,4,17,14,0,151,11.9,1151,16:55
9,Keith Allen,1954,1955,2,D,28,0,4,4,,8,,,,,,,,,,,
10,Adam Almqvist,2014,2014,1,D,2,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,34,17:13
11,Dave Amadio,1958,1958,1,D,2,0,0,0,,2,,,,,,,,,,,
12,Dale Anderson,1957,1957,1,D,13,0,0,0,,6,,,,,,,,,,,
13,Earl Anderson,1975,1975,1,RW,45,7,3,10,-11,12,6,1,0,1,3,0,0,61,11.5,,
14,Ron Anderson,1968,1969,2,RW,25,2,0,2,-7,21,2,0,0,0,0,0,0,25,8.0,,
15,Tom Anderson,1935,1935,1,LW/D,27,5,2,7,,16,,,,,,,,,,,
16,Joakim Andersson,2012,2015,4,C,151,12,18,30,-8,32,12,0,0,1,16,1,1,172,7.0,1904,12:36
17,Al Arbour,1954,1958,3,D,149,2,13,15,,160,,,,,,,,,,,
18,Jack Arbour,1927,1927,1,D,37,4,1,5,,46,,,,,,,,,,,
19,Murray Armstrong,1944,1946,3,C,118,35,64,99,,39,,,,,,,,,,,
20,Brent Ashton,1987,1988,2,LW,108,41,43,84,7,72,28,10,3,6,25,16,2,247,16.6,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Oscar Asmundson,1935,1935,1,C,3,0,0,0,,0,,,,,,,,,,,
22,Pierre Aubry,1984,1985,2,LW,39,6,3,9,-2,41,6,0,0,0,3,0,0,34,17.6,,
23,Philippe Audet,1999,1999,1,LW,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,17,4:19
24,Larry Aurie,1928,1939,12,RW,489,147,129,276,,279,,,,,,,,,,,
25,Sean Avery,2002,2003,2,C,75,7,8,15,8,188,7,0,0,3,6,2,0,70,10.0,558,7:26
26,Pete Babando,1950,1950,1,LW,56,6,6,12,,25,,,,,,,,,,,
27,Bob Bailey,1958,1958,1,RW,36,6,6,12,,41,,,,,,,,,,,
28,Garnet Bailey,1973,1974,2,LW,58,11,25,36,-10,49,8,3,0,2,19,6,0,89,12.4,,
29,Doug Baldwin,1947,1947,1,D,4,0,0,0,,0,,,,,,,,,,,
30,Doug Barkley,1963,1966,4,D,247,24,80,104,,380,17,4,0,1,,,,,,,
31,Ryan Barnes,2004,2004,1,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2:22
32,Dave Barr,1987,1991,5,RW,293,82,118,200,64,276,58,16,8,10,100,13,5,453,18.1,,
33,John Barrett,1981,1986,6,D,418,18,71,89,-114,547,18,0,0,2,70,1,0,461,3.9,,
34,Marty Barry,1936,1939,4,C,191,60,94,154,,60,,,,,,,,,,,
35,Frank Bathe,1975,1976,2,D,26,0,4,4,-6,40,0,0,0,0,3,1,0,13,0.0,,
36,Andy Bathgate,1966,1967,2,RW,130,23,55,78,,49,19,4,0,4,,,,,,,
37,Bob Baun,1969,1971,3,D,158,5,37,42,29,257,5,0,0,0,34,3,0,245,2.0,,
38,Sergei Bautin,1994,1994,1,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
39,Red Beattie,1938,1938,1,LW,11,1,2,3,,0,,,,,,,,,,,
40,Dick Behling,1941,1943,2,D,5,1,0,1,,2,,,,,,,,,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Pete Bellefeuille,1927,1930,3,RW,43,12,2,14,,24,,,,,,,,,,,
42,Frank Bennett,1944,1944,1,LW/D,7,0,1,1,,2,,,,,,,,,,,
43,Red Berenson,1971,1975,5,C,283,73,128,201,-61,64,52,18,3,6,82,44,2,668,10.9,,
44,Michel Bergeron,1975,1978,4,RW,174,64,46,110,-35,156,48,16,0,9,38,8,0,444,14.4,,
45,Marc Bergevin,1996,1996,1,D,70,1,9,10,7,33,1,0,0,0,8,0,1,26,3.8,,
46,Gary Bergman,1965,1975,11,D,706,60,243,303,6,1101,43,13,4,9,137,47,6,1095,4.4,,
47,Thommie Bergman,1973,1980,6,D,246,21,44,65,-36,243,16,4,1,3,34,9,1,379,5.5,,
48,Fred Berry,1977,1977,1,C,3,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,,
49,Todd Bertuzzi,2007,2014,6,RW,308,61,89,150,-2,263,49,12,0,7,71,18,0,597,10.2,4870,15:48
50,Phil Besler,1939,1939,1,RW,5,0,1,1,,2,,,,,,,,,,,
51,Pete Bessone,1938,1938,1,D,6,0,1,1,,6,,,,,,,,,,,
52,Tom Bissett,1991,1991,1,C,5,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,,
53,Steve Black,1950,1951,2,LW,74,7,14,21,,55,,,,,,,,,,,
54,Tom Bladon,1981,1981,1,D,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,,
55,Mike Blaisdell,1981,1983,3,RW,192,44,61,105,-28,80,39,5,0,5,55,6,0,381,11.5,,
56,Mike Bloom,1975,1977,3,LW,134,23,28,51,-27,131,21,2,0,2,26,2,0,190,12.1,,
57,John Blum,1989,1989,1,D,6,0,0,0,-2,8,0,0,0,0,0,0,0,3,0.0,,
58,Marc Boileau,1962,1962,1,C,54,5,6,11,,8,,,,,,,,,,,
59,Patrick Boileau,2003,2003,1,D,25,2,6,8,8,14,2,0,0,1,6,0,0,18,11.1,349,13:57
60,Leo Boivin,1966,1967,2,D,85,4,22,26,,94,4,0,0,1,,,,,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Ivan Boldirev,1983,1985,3,C,183,67,95,162,-28,50,40,26,1,7,65,30,0,351,19.1,,
62,Danny Bolduc,1979,1980,2,LW,100,22,18,40,-23,33,17,5,0,4,16,2,0,133,16.5,,
63,Marcel Bonin,1953,1955,3,W,107,20,29,49,,67,,,,,,,,,,,
64,Darryl Bootland,2004,2007,2,RW,28,1,1,2,-3,83,1,0,0,1,1,0,0,17,5.9,159,5:41
65,Henry Boucha,1972,1974,3,C,159,34,26,60,-27,116,28,2,4,5,24,2,0,279,12.2,,
66,Ralph Bowman,1935,1940,6,D,197,6,13,19,,145,,,,,,,,,,,
67,Rick Bowness,1978,1978,1,RW,61,8,11,19,-8,76,6,2,0,2,10,1,0,46,17.4,,
68,Irwin Boyd,1935,1935,1,RW,42,2,3,5,,14,,,,,,,,,,,
69,John Brenneman,1968,1968,1,LW,9,0,2,2,2,0,0,0,0,0,2,0,0,12,0.0,,
70,Carl Brewer,1970,1970,1,D,70,2,37,39,44,51,2,0,0,0,23,13,1,109,1.8,,
71,Archie Briden,1927,1927,1,LW,26,3,0,3,,28,,,,,,,,,,,
72,Mel Bridgman,1987,1988,2,C,70,8,13,21,5,61,7,0,1,2,13,0,0,53,15.1,,
73,Bernie Brophy,1929,1930,2,LW,52,4,4,8,,25,,,,,,,,,,,
74,Adam Brown,1942,1947,4,LW,148,58,43,101,,128,,,,,,,,,,,
75,Arnie Brown,1971,1972,2,D,104,4,29,33,-29,114,4,0,0,1,28,1,0,164,2.4,,
76,Connie Brown,1939,1943,5,C,73,15,24,39,,12,,,,,,,,,,,
77,Doug Brown,1995,2001,7,RW,427,74,97,171,52,108,55,13,6,10,76,14,7,736,10.1,2434,12:44
78,Gerry Brown,1942,1946,2,LW,23,4,5,9,,2,,,,,,,,,,,
79,Larry Brown,1971,1971,1,D,33,1,4,5,-15,8,1,0,0,1,3,1,0,52,1.9,,
80,Stan Brown,1928,1928,1,D,24,2,0,2,,4,,,,,,,,,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
