
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Edmonton Oilers,58,16,32,,10,42,.362,-1.03,0.03,7th,,T. Nelson (9-13-5) D. Eakins (7-19-5)
2013-14,NHL,Edmonton Oilers,82,29,44,,9,67,.409,-0.75,0.07,7th,,D. Eakins (29-44-9)
2012-13,NHL,Edmonton Oilers,48,19,22,,7,45,.469,-0.22,-0.03,3rd,,R. Krueger (19-22-7)
2011-12,NHL,Edmonton Oilers,82,32,40,,10,74,.451,-0.32,0.01,5th,,T. Renney (32-40-10)
2010-11,NHL,Edmonton Oilers,82,25,45,,12,62,.378,-0.87,0.06,5th,,T. Renney (25-45-12)
2009-10,NHL,Edmonton Oilers,82,27,47,,8,62,.378,-0.76,0.09,5th,,P. Quinn (27-47-8)
2008-09,NHL,Edmonton Oilers,82,38,35,,9,85,.518,-0.16,0.01,4th,,C. MacTavish (38-35-9)
2007-08,NHL,Edmonton Oilers,82,41,35,,6,88,.537,-0.07,0.12,4th,,C. MacTavish (41-35-6)
2006-07,NHL,Edmonton Oilers,82,32,43,,7,71,.433,-0.43,0.22,5th,,C. MacTavish (32-43-7)
2005-06,NHL,Edmonton Oilers*,82,41,28,,13,95,.579,0.15,0.09,3rd,Lost Stanley Cup Final,C. MacTavish (41-28-13)
2003-04,NHL,Edmonton Oilers,82,36,29,12,5,89,.543,0.21,0.05,4th,,C. MacTavish (36-29-12-5)
2002-03,NHL,Edmonton Oilers*,82,36,26,11,9,92,.561,0.12,0.11,4th,Lost NHL Conference Quarter-Finals,C. MacTavish (36-26-11-9)
2001-02,NHL,Edmonton Oilers,82,38,28,12,4,92,.561,0.34,0.06,3rd,,C. MacTavish (38-28-12-4)
2000-01,NHL,Edmonton Oilers*,82,39,28,12,3,93,.567,0.32,0.07,2nd,Lost NHL Conference Quarter-Finals,C. MacTavish (39-28-12-3)
1999-00,NHL,Edmonton Oilers*,82,32,26,16,8,88,.537,0.22,0.05,2nd,Lost NHL Conference Quarter-Finals,K. Lowe (32-26-16-8)
1998-99,NHL,Edmonton Oilers*,82,33,37,12,,78,.476,0.02,-0.03,2nd,Lost NHL Conference Quarter-Finals,R. Low (33-37-12)
1997-98,NHL,Edmonton Oilers*,82,35,37,10,,80,.488,-0.13,-0.02,3rd,Lost NHL Conference Semi-Finals,R. Low (35-37-10)
1996-97,NHL,Edmonton Oilers*,82,36,37,9,,81,.494,0.03,-0.03,3rd,Lost NHL Conference Semi-Finals,R. Low (36-37-9)
1995-96,NHL,Edmonton Oilers,82,30,44,8,,68,.415,-0.78,0.00,5th,,R. Low (30-44-8)
1994-95,NHL,Edmonton Oilers,48,17,27,4,,38,.396,-0.92,0.06,5th,,G. Burnett (12-20-3) R. Low (5-7-1)
1993-94,NHL,Edmonton Oilers,84,25,45,14,,64,.381,-0.52,0.00,6th,,T. Green (3-18-3) G. Sather (22-27-11)
1992-93,NHL,Edmonton Oilers,84,26,50,8,,60,.357,-1.19,-0.06,5th,,T. Green (26-50-8)
1991-92,NHL,Edmonton Oilers*,80,36,34,10,,82,.513,-0.12,-0.10,3rd,Lost NHL Conference Finals,T. Green (36-34-10)
1990-91,NHL,Edmonton Oilers*,80,37,37,6,,80,.500,0.06,0.06,3rd,Lost NHL Conference Finals,J. Muckler (37-37-6)
1989-90,NHL,Edmonton Oilers*,80,38,28,14,,90,.563,0.42,0.02,2nd,Won Stanley Cup Final,J. Muckler (38-28-14)
1988-89,NHL,Edmonton Oilers*,80,38,34,8,,84,.525,0.33,0.10,3rd,Lost NHL Division Semi-Finals,G. Sather (38-34-8)
1987-88,NHL,Edmonton Oilers*,80,44,25,11,,99,.619,0.91,-0.03,2nd,Won Stanley Cup Final,G. Sather (44-25-11)
1986-87,NHL,Edmonton Oilers*,80,50,24,6,,106,.663,1.06,-0.04,1st,Won Stanley Cup Final,G. Sather (50-24-6)
1985-86,NHL,Edmonton Oilers*,80,56,17,7,,119,.744,1.25,-0.20,1st,Lost NHL Division Finals,G. Sather (56-17-7)
1984-85,NHL,Edmonton Oilers*,80,49,20,11,,109,.681,1.25,-0.04,1st,Won Stanley Cup Final,G. Sather (49-20-11)
1983-84,NHL,Edmonton Oilers*,80,57,18,5,,119,.744,1.51,-0.15,1st,Won Stanley Cup Final,G. Sather (57-18-5)
1982-83,NHL,Edmonton Oilers*,80,47,21,12,,106,.663,1.26,-0.10,1st,Lost Stanley Cup Final,G. Sather (47-21-12)
1981-82,NHL,Edmonton Oilers*,80,48,17,15,,111,.694,1.33,-0.19,1st,Lost NHL Division Semi-Finals,G. Sather (48-17-15)
1980-81,NHL,Edmonton Oilers*,80,29,35,16,,74,.463,0.01,0.00,4th,Lost NHL Quarter-Finals,B. Watson (4-9-5) G. Sather (25-26-11)
1979-80,NHL,Edmonton Oilers*,80,28,39,13,,69,.431,-0.25,0.01,4th,Lost NHL Preliminary Round,G. Sather (28-39-13)
