
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Keith Acton,1988,1989,2,C,72,14,21,35,-1,68,12,1,1,2,21,0,0,100,14.0,,
2,Will Acton,2014,2015,2,C,33,3,2,5,-4,26,3,0,0,1,2,0,0,20,15.0,276,8:22
3,Greg Adams,1989,1989,1,LW,49,4,5,9,1,82,4,0,0,1,5,0,0,49,8.2,,
4,Brad Aitken,1991,1991,1,LW,3,0,1,1,-1,0,0,0,0,0,1,0,0,0,,,
5,Micah Aivazoff,1995,1995,1,C,21,0,1,1,-2,2,0,0,0,0,1,0,0,6,0.0,,
6,Bobby Allen,2003,2003,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2:53
7,Glenn Anderson,1981,1996,12,RW,845,417,489,906,202,798,278,126,13,72,356,126,7,2521,16.5,,
8,Mark Arcobello,2013,2015,3,RW,78,11,19,30,-14,20,10,1,0,1,15,3,1,124,8.9,1190,15:15
9,Ron Areshenkoff,1980,1980,1,C,4,0,0,0,-4,0,0,0,0,0,0,0,0,3,0.0,,
10,Jason Arnott,1994,1998,5,C,286,100,139,239,-56,489,63,36,1,12,78,60,1,942,10.6,,
11,Dean Arsene,2010,2010,1,D,13,0,0,0,-3,41,0,0,0,0,0,0,0,4,0.0,168,12:56
12,Don Ashby,1980,1981,2,C,24,12,12,24,0,2,8,4,0,2,10,2,0,44,27.3,,
13,Keith Aulie,2015,2015,1,D,17,0,0,0,-1,53,0,0,0,0,0,0,0,12,0.0,225,13:15
14,Bryon Baltimore,1980,1980,1,D,2,0,0,0,4,4,0,0,0,0,0,0,0,2,0.0,,
15,Drew Bannister,1997,1998,2,D,35,0,3,3,-9,42,0,0,0,0,2,1,0,29,0.0,,
16,Cam Barker,2012,2012,1,D,25,2,0,2,0,23,1,1,0,1,0,0,0,35,5.7,459,18:21
17,John Bednarski,1980,1980,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,,
18,Bob Beers,1994,1994,1,D,66,10,27,37,-11,74,5,5,0,0,13,14,0,152,6.6,,
19,Eric Belanger,2012,2013,2,C,104,4,15,19,-14,42,2,1,1,0,11,4,0,149,2.7,1516,14:34
20,Jesse Belanger,1997,1997,1,C,6,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Bruce Bell,1990,1990,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,
22,Shawn Belle,2011,2011,1,D,5,0,0,0,-2,0,0,0,0,0,0,0,0,7,0.0,82,16:26
23,Anton Belov,2014,2014,1,D,57,1,6,7,-12,34,1,0,0,0,4,2,0,54,1.9,951,16:41
24,Adam Bennett,1994,1994,1,D,48,3,6,9,-8,49,2,1,0,0,3,3,0,57,5.3,,
25,Brian Benning,1993,1993,1,D,18,1,7,8,-1,59,1,0,0,0,5,2,0,28,3.6,,
26,Ladislav Benysek,1998,1998,1,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,,,
27,Josef Beranek,1992,2000,4,LW/C,208,42,60,102,-9,108,32,10,0,4,43,17,0,390,10.8,1855,14:57
28,Drake Berehowsky,1998,1998,1,D,67,1,6,7,1,169,0,1,0,1,5,1,0,58,1.7,,
29,Marc-Andre Bergeron,2003,2007,4,D,189,33,55,88,9,101,16,17,0,4,28,26,1,365,9.0,3587,18:58
30,Ken Berry,1982,1984,2,LW,28,4,6,10,0,19,3,0,1,0,5,1,0,27,14.8,,
31,Jeff Beukeboom,1987,1992,6,D,284,12,57,69,51,733,10,2,0,2,42,10,5,217,5.5,,
32,Wayne Bianchin,1980,1980,1,LW,11,0,0,0,-4,7,0,0,0,0,0,0,0,7,0.0,,
33,Sebastien Bisaillon,2007,2007,1,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,28,14:11
34,Mike Bishai,2004,2004,1,C,14,0,2,2,0,19,0,0,0,0,2,0,0,14,0.0,128,9:08
35,Tom Bladon,1981,1981,1,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
36,John Blum,1983,1984,2,D,9,0,4,4,2,26,0,0,0,0,4,0,0,3,0.0,,
37,Jason Bonsignore,1995,1996,2,C,21,1,2,3,-7,4,1,0,0,0,2,0,0,16,6.3,,
38,Dennis Bonvie,1995,1998,3,RW,14,0,0,0,-3,74,0,0,0,0,0,0,0,0,,,
39,Laurie Boschman,1982,1983,2,C,73,10,15,25,5,220,10,0,0,0,13,0,2,63,15.9,,
40,Jesse Boulerice,2009,2009,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3:42
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Jason Bowen,1998,1998,1,D,4,0,0,0,0,10,0,0,0,0,0,0,0,3,0.0,,
42,Curt Brackenbury,1981,1982,2,RW,72,2,9,11,-1,165,2,0,0,0,9,0,0,22,9.1,,
43,Fredrik Bremberg,1999,1999,1,C,8,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,98,12:18
44,Eric Brewer,2001,2004,4,D,315,29,71,100,-7,210,17,12,0,6,36,31,4,538,5.4,7257,23:02
45,Kyle Brodziak,2006,2009,4,C,175,26,33,59,-6,60,23,1,2,6,29,1,3,242,10.7,2252,12:52
46,Dave Brown,1989,1991,3,RW,140,3,12,15,-14,361,3,0,0,0,12,0,0,78,3.8,,
47,Kevin Brown,1999,2000,2,RW,19,4,2,6,-2,0,2,2,0,0,1,1,0,18,22.2,169,8:52
48,Mike Brown,2013,2014,2,RW,35,1,0,1,-7,72,1,0,0,0,0,0,0,17,5.9,284,8:06
49,Sean Brown,1997,2002,6,D,269,12,23,35,10,664,9,3,0,3,21,2,0,162,7.4,2996,12:10
50,Jeff Brubaker,1986,1986,1,LW,4,1,0,1,1,12,1,0,0,0,0,0,0,4,25.0,,
51,Gilbert Brule,2009,2011,3,C,117,26,23,49,-18,91,23,3,0,5,20,3,0,206,12.6,1599,13:39
52,Kelly Buchberger,1988,1999,12,RW,795,82,158,240,-99,1747,65,5,12,24,138,4,16,816,10.0,614,11:49
53,Sven Butenschon,2001,2002,2,D,21,1,1,2,2,6,1,0,0,0,1,0,0,11,9.1,213,10:08
54,Ilja Byakin,1994,1994,1,D,44,8,20,28,-3,30,2,6,0,3,13,7,0,51,15.7,,
55,Brett Callighen,1980,1982,3,C,160,56,89,145,28,132,40,16,0,2,72,17,0,373,15.0,,
56,Colin Campbell,1980,1980,1,D,72,2,11,13,-18,196,2,0,0,0,11,0,0,80,2.5,,
57,Billy Carroll,1985,1986,2,C,70,8,11,19,2,22,8,0,0,1,11,0,0,44,18.2,,
