
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Greg Adams,2001,2001,1,LW,60,11,12,23,-3,10,9,2,0,1,12,0,0,66,16.7,863,14:23
2,Kevyn Adams,2001,2002,2,C,56,7,14,21,4,30,7,0,0,3,12,1,1,92,7.6,796,14:13
3,Bryan Allen,2007,2011,5,D,284,14,53,67,1,341,13,0,1,3,46,4,3,299,4.7,5815,20:28
4,Chris Allen,1998,1999,2,D,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,13,12:35
5,Jamie Allison,2006,2006,1,D,7,0,0,0,0,11,0,0,0,0,0,0,0,4,0.0,83,11:48
6,Peter Andersson,1994,1994,1,D,8,1,1,2,-5,0,1,0,0,0,1,0,0,11,9.1,,
7,Donald Audette,2004,2004,1,RW,28,6,7,13,-9,22,1,5,0,0,5,2,0,66,9.1,449,16:02
8,Keith Ballard,2009,2010,2,D,164,14,48,62,7,160,12,2,0,2,34,12,2,196,7.1,3673,22:23
9,Krys Barch,2012,2014,2,LW,96,2,7,9,-8,190,2,0,0,0,7,0,0,41,4.9,636,6:37
10,Aleksander Barkov,2014,2015,2,C,99,16,27,43,-7,18,12,4,0,3,21,6,0,164,9.8,1681,16:58
11,Stu Barnes,1994,1997,4,C,191,49,72,121,-3,94,32,16,1,10,42,29,1,443,11.1,,
12,Doug Barrault,1994,1994,1,RW,2,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,,
13,Len Barrie,1994,2001,3,C,76,9,24,33,6,141,8,0,1,2,20,4,0,63,14.3,950,12:50
14,Eric Beaudoin,2002,2004,3,LW,53,3,8,11,-15,41,3,0,0,1,8,0,0,52,5.8,597,11:15
15,Jaroslav Bednar,2003,2004,2,RW,65,6,14,20,0,18,4,2,0,1,14,0,0,85,7.1,905,13:55
16,Wade Belak,2008,2009,2,RW,32,0,0,0,0,37,0,0,0,0,0,0,0,8,0.0,137,4:16
17,Jesse Belanger,1994,1996,3,C,180,49,68,117,-14,44,25,24,0,7,35,33,0,333,14.7,,
18,Brian Benning,1994,1995,2,D,97,7,31,38,-13,125,4,3,0,0,17,14,0,138,5.1,,
19,Sean Bergenheim,2012,2015,3,LW,163,41,29,70,-19,122,32,8,1,7,26,3,0,459,8.9,2593,15:54
20,Niclas Bergfors,2011,2011,1,RW,20,1,6,7,2,2,1,0,0,0,6,0,0,53,1.9,326,16:18
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Christian Berglund,2004,2004,1,LW,10,3,1,4,-2,10,3,0,0,0,1,0,0,17,17.6,120,12:01
