
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Los Angeles Kings,56,26,18,,12,64,.571,0.07,-0.02,5th,,D. Sutter (26-18-12)
2013-14,NHL,Los Angeles Kings*,82,46,28,,8,100,.610,0.40,0.01,3rd,Won Stanley Cup Final,D. Sutter (46-28-8)
2012-13,NHL,Los Angeles Kings*,48,27,16,,5,59,.615,0.29,-0.02,2nd,Lost NHL Conference Finals,D. Sutter (27-16-5)
2011-12,NHL,Los Angeles Kings*,82,40,27,,15,95,.579,0.19,0.01,3rd,Won Stanley Cup Final,T. Murray (13-12-4) J. Stevens (2-2-0) D. Sutter (25-13-11)
2010-11,NHL,Los Angeles Kings*,82,46,30,,6,98,.598,0.29,0.03,4th,Lost NHL Conference Quarter-Finals,T. Murray (46-30-6)
2009-10,NHL,Los Angeles Kings*,82,46,27,,9,101,.616,0.32,0.05,3rd,Lost NHL Conference Quarter-Finals,T. Murray (46-27-9)
2008-09,NHL,Los Angeles Kings,82,34,37,,11,79,.482,-0.29,0.04,5th,,T. Murray (34-37-11)
2007-08,NHL,Los Angeles Kings,82,32,43,,7,71,.433,-0.24,0.19,5th,,M. Crawford (32-43-7)
2006-07,NHL,Los Angeles Kings,82,27,41,,14,68,.415,-0.51,0.18,4th,,M. Crawford (27-41-14)
2005-06,NHL,Los Angeles Kings,82,42,35,,5,89,.543,-0.15,0.11,4th,,A. Murray (37-28-5) J. Torchetti (5-7-0)
2003-04,NHL,Los Angeles Kings,82,28,29,16,9,81,.494,-0.15,0.00,3rd,,A. Murray (28-29-16-9)
2002-03,NHL,Los Angeles Kings,82,33,37,6,6,78,.476,-0.13,0.09,3rd,,A. Murray (33-37-6-6)
2001-02,NHL,Los Angeles Kings*,82,40,27,11,4,95,.579,0.35,0.05,3rd,Lost NHL Conference Quarter-Finals,A. Murray (40-27-11-4)
2000-01,NHL,Los Angeles Kings*,82,38,28,13,3,92,.561,0.32,0.03,3rd,Lost NHL Conference Semi-Finals,A. Murray (38-28-13-3)
1999-00,NHL,Los Angeles Kings*,82,39,27,12,4,94,.573,0.30,0.09,2nd,Lost NHL Conference Quarter-Finals,A. Murray (39-27-12-4)
1998-99,NHL,Los Angeles Kings,82,32,45,5,,69,.421,-0.38,0.03,5th,,L. Robinson (32-45-5)
1997-98,NHL,Los Angeles Kings*,82,38,33,11,,87,.530,-0.01,-0.03,2nd,Lost NHL Conference Quarter-Finals,L. Robinson (38-33-11)
1996-97,NHL,Los Angeles Kings,82,28,43,11,,67,.409,-0.62,0.04,6th,,L. Robinson (28-43-11)
1995-96,NHL,Los Angeles Kings,82,24,40,18,,66,.402,-0.59,-0.03,6th,,L. Robinson (24-40-18)
1994-95,NHL,Los Angeles Kings,48,16,23,9,,41,.427,-0.65,0.02,4th,,B. Melrose (13-21-7) R. Vachon (3-2-2)
