
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Cody Almond,2010,2012,3,C,25,2,0,2,-8,26,2,0,0,0,0,0,0,16,12.5,213,8:30
2,Chris Armstrong,2001,2001,1,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,54,18:06
3,Drew Bagnall,2011,2011,1,D,2,0,0,0,-2,4,0,0,0,0,0,0,0,1,0.0,26,13:00
4,Keith Ballard,2014,2015,2,D,59,2,8,10,-10,63,2,0,0,0,6,2,0,34,5.9,781,13:14
5,Cam Barker,2010,2011,2,D,71,2,10,12,-12,44,1,1,0,1,5,5,0,75,2.7,1272,17:54
6,Peter Bartos,2001,2001,1,LW,13,4,2,6,2,6,3,1,0,1,1,1,0,18,22.2,180,13:49
7,Eric Belanger,2008,2010,3,C,214,39,69,108,-12,84,24,14,1,10,45,22,2,382,10.2,3646,17:02
8,Shawn Belle,2007,2007,1,D,9,0,1,1,4,0,0,0,0,0,1,0,0,3,0.0,89,9:56
9,Ladislav Benysek,2001,2003,3,D,159,3,12,15,-26,74,2,1,0,0,9,3,0,99,3.0,2885,18:08
10,Marc-Andre Bergeron,2009,2009,1,D,72,14,18,32,5,30,7,7,0,3,7,11,0,140,10.0,1217,16:54
11,Stu Bickel,2015,2015,1,D,9,0,1,1,1,46,0,0,0,0,1,0,0,3,0.0,49,5:26
12,Sylvain Blouin,2001,2003,3,LW,86,3,4,7,-16,251,3,0,0,0,4,0,0,66,4.5,845,9:49
13,Jonathon Blum,2014,2015,2,D,19,0,2,2,-4,2,0,0,0,0,2,0,0,14,0.0,214,11:17
14,Brad Bombardir,2001,2004,4,D,212,3,33,36,-7,93,1,2,0,1,27,4,2,198,1.5,4443,20:57
15,Brian Bonin,2001,2001,1,C,7,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,68,9:46
16,Derek Boogaard,2006,2010,5,LW,255,2,12,14,-12,544,2,0,0,1,12,0,0,71,2.8,1311,5:08
17,Sebastien Bordeleau,2002,2002,1,C,14,1,4,5,-1,8,1,0,0,0,2,2,0,25,4.0,190,13:34
18,Pierre-Marc Bouchard,2003,2013,10,C,565,106,241,347,15,178,77,29,0,19,137,104,0,928,11.4,8760,15:30
19,Christoph Brandner,2004,2004,1,LW,35,4,5,9,-2,8,3,1,0,0,3,2,0,50,8.0,467,13:20
20,Jonas Brodin,2013,2015,3,D,169,12,26,38,16,38,8,4,0,0,19,6,1,185,6.5,4030,23:50
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Kyle Brodziak,2010,2015,6,C,423,70,93,163,-44,258,58,8,4,6,77,13,3,688,10.2,6874,16:15
22,Brad Brown,2002,2004,3,D,138,0,6,6,-13,267,0,0,0,0,6,0,0,47,0.0,1628,11:47
23,Andrew Brunette,2002,2011,6,LW,489,119,202,321,-28,106,64,55,0,16,121,81,0,657,18.1,7888,16:07
24,Brett Bulmer,2012,2014,2,RW,14,0,3,3,-1,8,0,0,0,0,3,0,0,14,0.0,153,10:54
25,Brent Burns,2004,2011,7,RW,453,55,128,183,-21,325,29,26,0,13,79,45,4,794,6.9,8990,19:50
26,Keith Carney,2007,2008,2,D,141,5,23,28,30,100,5,0,0,1,21,0,2,58,8.6,2058,14:35
27,Ryan Carter,2015,2015,1,LW,48,3,10,13,4,53,2,0,1,0,10,0,0,44,6.8,482,10:02
28,Eric Chouinard,2004,2004,1,LW,31,3,4,7,-7,6,3,0,0,1,3,1,0,45,6.7,422,13:35
29,Marc Chouinard,2004,2006,2,C,119,25,26,51,5,51,13,9,3,5,19,7,0,182,13.7,1939,16:17
30,Erik Christensen,2012,2012,1,C,29,6,1,7,-13,6,4,2,0,1,1,0,0,34,17.6,347,11:58
31,Brett Clark,2013,2013,1,D,8,0,1,1,-9,0,0,0,0,0,1,0,0,6,0.0,113,14:04
32,Cal Clutterbuck,2008,2013,6,RW,346,62,48,110,-27,337,47,9,6,8,41,5,2,711,8.7,5077,14:40
33,Matt Cooke,2014,2015,2,C,109,14,22,36,6,67,13,0,1,3,19,2,1,127,11.0,1603,14:42
34,Charlie Coyle,2013,2015,3,C/RW,163,27,39,66,-2,89,23,4,0,8,36,3,0,280,9.6,2596,15:55
35,David Cullen,2002,2002,1,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,,42,14:02
36,Matt Cullen,2011,2013,3,C,193,33,68,101,-15,68,20,9,4,2,43,25,0,393,8.4,3456,17:54
37,Tyler Cuma,2012,2012,1,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,11:09
38,Alexandre Daigle,2004,2006,2,C,124,25,54,79,-10,26,17,8,0,4,32,22,0,204,12.3,1781,14:21
39,J.J. Daigneault,2001,2001,1,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,12,11:38
40,Pavol Demitra,2007,2008,2,LW,139,40,78,118,9,52,28,11,1,5,48,28,2,301,13.3,2806,20:11
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Jon DiSalvatore,2012,2012,1,RW,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,14,14:27
42,Hnat Domenichelli,2002,2003,2,LW,28,1,5,6,-5,10,1,0,0,0,4,1,0,58,1.7,353,12:36
43,Jim Dowd,2001,2004,4,C,283,32,89,121,-15,203,21,10,1,5,52,36,1,322,9.9,4283,15:08
44,Jake Dowell,2013,2014,2,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,8:04
45,Mathew Dumba,2014,2015,2,D,45,3,5,8,-6,13,2,1,0,1,2,3,0,50,6.0,558,12:24
46,Pascal Dupuis,2001,2007,6,LW,334,67,74,141,-5,162,45,18,4,7,52,18,4,729,9.2,5376,16:05
47,Robbie Earl,2010,2011,2,LW,38,6,0,6,-2,6,6,0,0,0,0,0,0,35,17.1,339,8:54
48,Andrew Ebbett,2010,2010,1,C,49,8,6,14,-8,6,6,2,0,2,3,3,0,57,14.0,642,13:05
49,Justin Falk,2010,2015,5,D,121,1,14,15,-34,107,0,1,0,0,14,0,0,91,1.1,1845,15:14
50,Todd Fedoruk,2008,2008,1,LW,58,6,5,11,0,106,4,2,0,0,5,0,0,51,11.8,637,10:58
51,Scott Ferguson,2006,2006,1,D,15,0,0,0,-3,22,0,0,0,0,0,0,0,6,0.0,138,9:10
52,Christian Folin,2014,2015,2,D,30,1,6,7,3,9,1,0,0,0,5,1,0,29,3.4,455,15:10
53,Justin Fontaine,2014,2015,2,RW,112,17,19,36,8,32,16,1,0,1,17,2,0,135,12.6,1334,11:54
54,Kurtis Foster,2006,2012,5,D,195,21,55,76,2,159,12,9,0,4,21,34,0,402,5.2,3388,17:22
