
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Reg Abbott,1953,1953,1,C,3,0,0,0,,0,,,,,,,,,,,
2,Gene Achtymichuk,1952,1958,3,C,20,3,5,8,,2,,,,,,,,,,,
3,Keith Acton,1980,1984,5,C,228,78,110,188,42,229,62,16,0,10,89,21,0,488,16.0,,
4,John Adams,1941,1941,1,LW,42,6,12,18,,11,,,,,,,,,,,
5,Art Alexandre,1932,1933,2,LW,11,0,2,2,,8,,,,,,,,,,,
6,Bryan Allen,2015,2015,1,D,5,0,1,1,-2,2,0,0,0,0,1,0,0,2,0.0,64,12:44
7,George Allen,1947,1947,1,LW/D,49,7,14,21,,12,,,,,,,,,,,
8,Dave Allison,1984,1984,1,D,3,0,0,0,-2,12,0,0,0,0,0,0,0,2,0.0,,
9,Sven Andrighetto,2015,2015,1,RW,12,2,1,3,0,0,2,0,0,0,1,0,0,12,16.7,113,9:24
10,Ron Andruff,1975,1976,2,C,6,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,,
11,Amos Arbour,1919,1921,3,LW,46,36,8,44,,53,,,,,,,,,,,
12,Colby Armstrong,2013,2013,1,RW,37,2,3,5,1,12,2,0,0,0,3,0,0,33,6.1,414,11:12
13,Chuck Arnason,1972,1973,2,RW,36,4,1,5,-2,6,3,1,0,0,1,0,0,30,13.3,,
14,Arron Asham,1999,2002,4,RW,121,11,9,20,-13,138,10,0,1,1,7,2,0,96,11.5,1066,8:48
15,Oscar Asmundson,1938,1938,1,C,2,0,0,0,,0,,,,,,,,,,,
16,Donald Audette,2002,2004,3,RW,90,15,22,37,-10,43,11,4,0,5,7,15,0,192,7.8,1376,15:17
17,Don Awrey,1975,1976,2,D,128,1,23,24,51,87,1,0,0,0,21,0,2,100,1.0,,
18,Ralph Backstrom,1957,1971,15,C,844,215,287,502,28,348,107,15,0,16,75,6,0,583,9.1,,
19,Bill Baker,1981,1981,1,D,11,0,0,0,-1,32,0,0,0,0,0,0,0,8,0.0,,
20,Jozef Balej,2004,2004,1,RW,4,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,51,12:37
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Murray Balfour,1957,1958,2,RW,5,1,1,2,,6,,,,,,,,,,,
22,Dave Balon,1964,1967,4,LW,226,56,56,112,,196,48,8,0,13,,,,,,,
23,Murray Baron,1997,1997,1,D,60,1,5,6,-16,107,1,0,0,0,3,1,1,52,1.9,,
24,Normand Baron,1984,1984,1,LW,4,0,0,0,-2,12,0,0,0,0,0,0,0,2,0.0,,
25,Marty Barry,1940,1940,1,C,30,4,10,14,,2,,,,,,,,,,,
26,Jim Bartlett,1955,1955,1,LW,2,0,0,0,,4,,,,,,,,,,,
27,Andrei Bashkirov,1999,2001,3,LW,30,0,3,3,-5,0,0,0,0,0,3,0,0,26,0.0,290,9:40
28,Francois Beauchemin,2003,2003,1,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,17:11
29,Nathan Beaulieu,2013,2015,3,D,64,0,9,9,14,44,0,0,0,0,8,1,0,61,0.0,938,14:39
30,Steve Begin,2004,2009,5,C,266,35,31,66,4,275,31,1,3,4,26,1,4,421,8.3,3327,12:30
