
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,New Jersey Devils,57,22,26,,9,53,.465,-0.44,0.07,6th,,P. DeBoer (12-17-7)
2013-14,NHL,New Jersey Devils,82,35,29,,18,88,.537,-0.15,-0.02,6th,,P. DeBoer (35-29-18)
2012-13,NHL,New Jersey Devils,48,19,19,,10,48,.500,-0.31,0.04,5th,,P. DeBoer (19-19-10)
2011-12,NHL,New Jersey Devils*,82,48,28,,6,102,.622,0.23,0.00,4th,Lost Stanley Cup Final,P. DeBoer (48-28-6)
2010-11,NHL,New Jersey Devils,82,38,39,,5,81,.494,-0.41,0.02,4th,,J. MacLean (9-22-2) J. Lemaire (29-17-3)
2009-10,NHL,New Jersey Devils*,82,48,27,,7,103,.628,0.31,-0.07,1st,Lost NHL Conference Quarter-Finals,J. Lemaire (48-27-7)
2008-09,NHL,New Jersey Devils*,82,51,27,,4,106,.646,0.38,-0.05,1st,Lost NHL Conference Quarter-Finals,B. Sutter (51-27-4)
2007-08,NHL,New Jersey Devils*,82,46,29,,7,99,.604,0.00,-0.11,2nd,Lost NHL Conference Quarter-Finals,B. Sutter (46-29-7)
2006-07,NHL,New Jersey Devils*,82,49,24,,9,107,.652,0.03,-0.15,1st,Lost NHL Conference Semi-Finals,C. Julien (47-24-8) L. Lamoriello (2-0-1)
2005-06,NHL,New Jersey Devils*,82,46,27,,9,101,.616,0.05,-0.11,1st,Lost NHL Conference Semi-Finals,L. Robinson (14-13-5) L. Lamoriello (32-14-4)
2003-04,NHL,New Jersey Devils*,82,43,25,12,2,100,.610,0.54,-0.06,2nd,Lost NHL Conference Quarter-Finals,P. Burns (43-25-12-2)
2002-03,NHL,New Jersey Devils*,82,46,20,10,6,108,.659,0.49,-0.12,1st,Won Stanley Cup Final,P. Burns (46-20-10-6)
