
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Greg Adams,1985,1987,3,LW,186,67,78,145,-37,63,46,21,0,3,57,21,0,408,16.4,,
2,Fred Ahern,1978,1978,1,RW,38,5,13,18,-16,19,4,1,0,0,10,3,0,66,7.6,,
3,Tommy Albelin,1989,2006,12,D,539,27,125,152,75,251,15,10,2,4,82,42,1,641,4.2,2293,14:19
4,Matt Anderson,2013,2013,1,RW,2,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,5:46
5,Perry Anderson,1986,1991,5,LW,208,24,33,57,-23,553,20,4,0,2,29,4,0,184,13.0,,
6,Dave Andreychuk,1996,1999,4,LW,224,64,86,150,60,104,49,14,1,7,65,21,0,564,11.3,808,15:32
7,Ron Andruff,1977,1979,3,C,147,19,36,55,-38,52,19,0,0,1,29,6,1,243,7.8,,
8,Mike Antonovich,1983,1984,2,C,68,10,12,22,-22,27,8,2,0,0,8,4,0,94,10.6,,
9,Chuck Arnason,1976,1978,3,RW,129,31,28,59,-61,41,21,10,0,1,18,10,0,324,9.6,,
10,Jason Arnott,1998,2011,6,C,364,110,135,245,41,317,74,36,0,13,96,39,0,989,11.1,5356,16:16
11,Arron Asham,2008,2008,1,RW,77,6,4,10,-6,84,6,0,0,2,3,1,0,68,8.8,659,8:33
12,Don Ashby,1979,1980,2,C,23,2,4,6,-5,4,0,2,0,0,2,2,0,34,5.9,,
13,Brent Ashton,1982,1983,2,LW,156,38,55,93,-54,73,31,7,0,5,43,11,1,295,12.9,,
14,Bob Attwell,1980,1981,2,RW,22,1,5,6,-4,0,1,0,0,0,5,0,0,13,7.7,,
15,Les Auge,1981,1981,1,D,6,0,3,3,-3,4,0,0,0,0,3,0,0,3,0.0,,
16,Don Awrey,1979,1979,1,D,56,1,4,5,-33,18,1,0,0,0,4,0,0,40,2.5,,
17,Bill Baker,1981,1982,2,D,27,0,6,6,-13,29,0,0,0,0,4,2,0,28,0.0,,
18,Krys Barch,2013,2013,1,LW,22,0,0,0,1,44,0,0,0,0,0,0,0,4,0.0,129,5:51
19,Dave Barr,1992,1993,2,RW,103,12,20,32,10,93,10,0,2,1,17,1,2,90,13.3,,
20,Mike Baumgartner,1975,1975,1,D,17,0,0,0,-9,0,0,0,0,0,0,0,0,12,0.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Barry Beck,1978,1980,3,D,148,37,71,108,-46,188,26,11,0,4,40,30,1,508,7.3,,
22,Niclas Bergfors,2008,2010,3,RW,63,14,14,28,-9,10,6,8,0,4,9,5,0,143,9.8,861,13:40
