
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Ramzi Abid,2007,2007,1,LW,13,1,4,5,-3,13,1,0,0,0,4,0,0,12,8.3,141,10:50
2,Jamie Allison,2004,2006,2,D,67,0,4,4,-13,121,0,0,0,0,4,0,0,22,0.0,774,11:33
3,Jonas Andersson,2002,2002,1,RW,5,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,46,9:06
4,Niklas Andersson,2000,2000,1,LW,7,0,1,1,0,0,0,0,0,0,1,0,0,7,0.0,90,12:50
5,Mark Arcobello,2015,2015,1,RW,4,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,42,10:35
6,Denis Arkhipov,2001,2004,4,C,273,46,65,111,-38,74,33,13,0,10,44,21,0,399,11.5,3889,14:14
7,Jason Arnott,2007,2010,4,C,275,107,122,229,36,177,67,40,0,17,85,37,0,850,12.6,5130,18:39
8,Blair Atcheynum,1999,1999,1,RW,53,8,6,14,-10,16,6,2,0,1,5,0,1,70,11.4,790,14:54
9,Daniel Bang,2013,2013,1,W,8,0,2,2,-2,0,0,0,0,0,2,0,0,13,0.0,103,12:54
10,Victor Bartley,2013,2015,3,D,103,1,21,22,3,46,1,0,0,0,21,0,0,62,1.6,1646,15:58
11,Taylor Beck,2013,2015,3,RW,65,8,9,17,-4,24,6,2,0,2,8,1,0,102,7.8,855,13:08
12,Kris Beech,2006,2006,1,C,5,1,2,3,1,0,1,0,0,0,1,1,0,6,16.7,73,14:40
13,Steve Begin,2011,2011,1,C,2,0,0,0,-2,4,0,0,0,0,0,0,0,2,0.0,20,9:48
14,Wade Belak,2009,2011,3,RW,92,0,4,4,-2,130,0,0,0,0,4,0,0,27,0.0,439,4:46
15,Drake Berehowsky,1999,2001,3,D,219,20,53,73,-22,327,12,8,0,2,29,23,1,275,7.3,4824,22:01
16,Bubba Berenzweig,2000,2003,4,D,37,3,7,10,-4,14,3,0,0,1,5,2,0,35,8.6,523,14:08
17,Niclas Bergfors,2012,2012,1,RW,11,1,1,2,-2,2,1,0,0,1,1,0,0,11,9.1,89,8:04
18,Anthony Bitetto,2015,2015,1,D,5,0,0,0,-1,7,0,0,0,0,0,0,0,1,0.0,63,12:31
19,Jonathon Blum,2011,2013,3,D,91,7,15,22,-7,20,6,1,0,2,15,0,0,69,10.1,1501,16:29
20,Brandon Bochenski,2008,2008,1,RW,8,1,2,3,2,0,1,0,0,0,2,0,0,9,11.1,72,9:00
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Alexandre Boikov,2000,2001,2,D,10,0,0,0,-1,15,0,0,0,0,0,0,0,4,0.0,67,6:44
22,Brad Bombardir,2004,2004,1,D,13,0,0,0,1,4,0,0,0,0,0,0,0,9,0.0,248,19:02
23,Radek Bonk,2008,2009,2,C,145,23,31,54,-43,74,11,12,0,3,22,8,1,240,9.6,2278,15:42
24,Sebastien Bordeleau,1999,2001,3,C,146,28,40,68,-30,70,23,1,4,4,36,3,1,315,8.9,2115,14:29
25,Joel Bouchard,1999,2000,2,D,116,5,15,20,-21,83,5,0,0,0,12,2,1,138,3.6,2416,20:49
26,Bob Boughner,1999,2000,2,D,141,5,14,19,-19,234,5,0,0,1,13,0,1,91,5.5,2537,17:59
27,Francis Bouillon,2003,2012,4,D,195,8,24,32,-3,112,7,1,0,3,18,5,1,171,4.7,3663,18:47
28,Gabriel Bourque,2012,2015,4,LW,195,30,40,70,-10,24,26,3,1,4,39,1,0,267,11.2,2639,13:32
29,Zach Boychuk,2013,2013,1,C,5,1,1,2,1,4,1,0,0,0,1,0,0,8,12.5,69,13:42
30,Dustin Boyd,2010,2010,1,C,18,3,2,5,1,4,3,0,0,1,2,0,0,32,9.4,219,12:11
