
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,New York Islanders,58,38,19,,1,77,.664,0.42,-0.02,1st,,J. Capuano (38-19-1)
2013-14,NHL,New York Islanders,82,34,37,,11,79,.482,-0.51,0.00,8th,,J. Capuano (34-37-11)
2012-13,NHL,New York Islanders*,48,24,17,,7,55,.573,0.03,0.03,3rd,Lost NHL Conference Quarter-Finals,J. Capuano (24-17-7)
2011-12,NHL,New York Islanders,82,34,37,,11,79,.482,-0.58,0.05,5th,,J. Capuano (34-37-11)
2010-11,NHL,New York Islanders,82,30,39,,13,73,.445,-0.42,0.01,5th,,S. Gordon (4-10-3) J. Capuano (26-29-10)
2009-10,NHL,New York Islanders,82,34,37,,11,79,.482,-0.53,-0.02,5th,,S. Gordon (34-37-11)
2008-09,NHL,New York Islanders,82,26,47,,9,61,.372,-0.91,0.05,5th,,S. Gordon (26-47-9)
2007-08,NHL,New York Islanders,82,35,38,,9,79,.482,-0.65,-0.05,5th,,T. Nolan (6-4-0) A. Arbour (1-0-0) T. Nolan (28-34-9)
2006-07,NHL,New York Islanders*,82,40,30,,12,92,.561,-0.04,-0.14,4th,Lost NHL Conference Quarter-Finals,T. Nolan (40-30-12)
2005-06,NHL,New York Islanders,82,36,40,,6,78,.476,-0.62,-0.04,4th,,S. Stirling (18-22-2) B. Shaw (18-18-4)
2003-04,NHL,New York Islanders*,82,38,29,11,4,91,.555,0.29,-0.04,3rd,Lost NHL Conference Quarter-Finals,S. Stirling (38-29-11-4)
2002-03,NHL,New York Islanders*,82,35,34,11,2,83,.506,-0.16,-0.07,3rd,Lost NHL Conference Quarter-Finals,P. Laviolette (35-34-11-2)
2001-02,NHL,New York Islanders*,82,42,28,8,4,96,.585,0.15,-0.08,2nd,Lost NHL Conference Quarter-Finals,P. Laviolette (42-28-8-4)
2000-01,NHL,New York Islanders,82,21,51,7,3,52,.317,-1.02,0.00,5th,,B. Goring (17-40-5-3) L. Henning (4-11-2-0)
1999-00,NHL,New York Islanders,82,24,48,9,1,58,.354,-1.02,-0.03,5th,,B. Goring (24-48-9-1)
1998-99,NHL,New York Islanders,82,24,48,10,,58,.354,-0.55,0.06,5th,,M. Milbury (13-29-3) B. Stewart (11-19-7)
1997-98,NHL,New York Islanders,82,30,41,11,,71,.433,-0.15,0.00,4th,,R. Bowness (22-32-9) M. Milbury (8-9-2)
1996-97,NHL,New York Islanders,82,29,41,12,,70,.427,-0.10,0.02,7th,,M. Milbury (13-23-9) R. Bowness (16-18-3)
1995-96,NHL,New York Islanders,82,22,50,10,,54,.329,-0.94,0.11,7th,,M. Milbury (22-50-10)
1994-95,NHL,New York Islanders,48,15,28,5,,35,.365,-0.63,0.04,7th,,L. Henning (15-28-5)
1993-94,NHL,New York Islanders*,84,36,36,12,,84,.500,0.25,0.03,4th,Lost NHL Conference Quarter-Finals,A. Arbour (36-36-12)
1992-93,NHL,New York Islanders*,84,40,37,7,,87,.518,0.56,0.11,3rd,Lost NHL Conference Finals,A. Arbour (40-37-7)
1991-92,NHL,New York Islanders,80,34,35,11,,79,.494,0.04,0.14,5th,,A. Arbour (34-35-11)
1990-91,NHL,New York Islanders,80,25,45,10,,60,.375,-0.77,0.06,6th,,A. Arbour (25-45-10)
1989-90,NHL,New York Islanders*,80,31,38,11,,73,.456,-0.10,-0.01,4th,Lost NHL Division Semi-Finals,A. Arbour (31-38-11)
1988-89,NHL,New York Islanders,80,28,47,5,,61,.381,-0.72,0.04,6th,,T. Simpson (7-18-2) A. Arbour (21-29-3)
1987-88,NHL,New York Islanders*,80,39,31,10,,88,.550,0.54,0.03,1st,Lost NHL Division Semi-Finals,T. Simpson (39-31-10)
1986-87,NHL,New York Islanders*,80,35,33,12,,82,.513,-0.03,-0.01,3rd,Lost NHL Division Finals,T. Simpson (35-33-12)
1985-86,NHL,New York Islanders*,80,39,29,12,,90,.563,0.58,0.04,3rd,Lost NHL Division Semi-Finals,A. Arbour (39-29-12)
1984-85,NHL,New York Islanders*,80,40,34,6,,86,.538,0.37,-0.05,3rd,Lost NHL Division Finals,A. Arbour (40-34-6)
1983-84,NHL,New York Islanders*,80,50,26,4,,104,.650,1.00,-0.10,1st,Lost Stanley Cup Final,A. Arbour (50-26-4)
1982-83,NHL,New York Islanders*,80,42,26,12,,96,.600,0.84,-0.11,2nd,Won Stanley Cup Final,A. Arbour (42-26-12)
1981-82,NHL,New York Islanders*,80,54,16,10,,118,.738,1.63,-0.05,1st,Won Stanley Cup Final,A. Arbour (54-16-10)
1980-81,NHL,New York Islanders*,80,48,18,14,,110,.688,1.13,-0.06,1st,Won Stanley Cup Final,A. Arbour (48-18-14)
1979-80,NHL,New York Islanders*,80,39,28,13,,91,.569,0.41,-0.02,2nd,Won Stanley Cup Final,A. Arbour (39-28-13)
1978-79,NHL,New York Islanders*,80,51,15,14,,116,.725,1.76,-0.04,1st,Lost NHL Semi-Finals,A. Arbour (51-15-14)
1977-78,NHL,New York Islanders*,80,48,17,15,,111,.694,1.47,-0.08,1st,Lost NHL Quarter-Finals,A. Arbour (48-17-15)
1976-77,NHL,New York Islanders*,80,47,21,12,,106,.663,1.12,-0.07,2nd,Lost NHL Semi-Finals,A. Arbour (47-21-12)
1975-76,NHL,New York Islanders*,80,42,21,17,,101,.631,1.26,-0.08,2nd,Lost NHL Semi-Finals,A. Arbour (42-21-17)
1974-75,NHL,New York Islanders*,80,33,25,22,,88,.550,0.52,-0.01,3rd,Lost NHL Semi-Finals,A. Arbour (33-25-22)
1973-74,NHL,New York Islanders,78,19,41,18,,56,.359,-0.78,0.05,8th,,A. Arbour (19-41-18)
1972-73,NHL,New York Islanders,78,12,60,6,,30,.192,-2.10,0.17,8th,,P. Goyette (6-38-4) E. Ingarfield (6-22-2)
