
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Keith Acton,1994,1994,1,C,71,2,7,9,-1,50,2,0,0,0,5,0,2,33,6.1,,
2,Bruce Affleck,1984,1984,1,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,,
3,Micah Aivazoff,1996,1996,1,C,12,0,1,1,-6,6,0,0,0,0,0,1,0,8,0.0,,
4,Mikael Andersson,2000,2000,1,LW,19,0,3,3,-1,4,0,0,0,0,2,0,1,19,0.0,182,9:33
5,Niklas Andersson,1996,2000,3,LW,138,29,50,79,-2,77,21,5,3,2,38,9,3,235,12.3,226,13:19
6,Dave Archibald,1997,1997,1,C/LW,7,0,0,0,-4,4,0,0,0,0,0,0,0,4,0.0,,
7,Derek Armstrong,1994,1997,3,C,70,7,10,17,-14,47,7,0,0,2,8,2,0,61,11.5,,
8,Arron Asham,2003,2007,4,RW,300,47,58,105,-13,315,39,7,1,3,52,5,1,406,11.6,3596,11:59
9,Adrian Aucoin,2002,2004,3,D,235,33,80,113,47,186,17,16,0,4,37,40,3,620,5.3,6615,28:09
10,Keith Aucoin,2013,2013,1,C,41,6,6,12,-1,4,5,1,0,1,6,0,0,50,12.0,512,12:29
11,Josh Bailey,2009,2015,7,C,452,77,128,205,-23,143,58,15,4,8,93,32,3,650,11.8,7198,15:55
12,Bob Bassen,1986,1989,4,C,184,16,31,47,-9,215,15,1,0,3,29,1,1,143,11.2,,
13,Shawn Bates,2002,2008,6,C,330,58,112,170,1,222,42,3,13,10,80,31,1,536,10.8,5718,17:19
14,Ken Baumgartner,1990,1992,3,LW,175,1,12,13,-18,678,1,0,0,0,12,0,0,93,1.1,,
15,Bob Beers,1995,1996,2,D,35,2,12,14,-10,16,1,1,0,0,8,4,0,47,4.3,,
16,Derek Bekar,2004,2004,1,LW,4,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,5:35
17,Jesse Belanger,2001,2001,1,C,12,0,0,0,-5,2,0,0,0,0,0,0,0,7,0.0,70,5:52
18,Ken Belanger,1996,1999,4,LW,71,4,4,8,-1,260,4,0,0,1,4,0,0,18,22.2,46,5:05
19,Sean Bentivoglio,2009,2009,1,LW,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,12,11:31
20,Bryan Berard,1997,2008,4,D,242,31,100,131,-54,219,13,17,1,8,46,54,0,523,5.9,1720,20:13
