
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Clarence Abel,1927,1929,3,D,111,11,6,17,,147,,,,,,,,,,,
2,Douglas Adam,1950,1950,1,LW,4,0,1,1,,0,,,,,,,,,,,
3,Lloyd Ailsby,1952,1952,1,D,3,0,0,0,,2,,,,,,,,,,,
4,Clint Albright,1949,1949,1,C,59,14,5,19,,19,,,,,,,,,,,
5,Conor Allen,2014,2015,2,D,7,0,0,0,-2,4,0,0,0,0,0,0,0,4,0.0,92,13:09
6,George Allen,1939,1939,1,LW/D,19,6,6,12,,10,,,,,,,,,,,
7,Mike Allison,1981,1986,6,LW,266,63,102,165,26,297,56,7,0,5,81,19,2,353,17.8,,
8,Bill Allum,1941,1941,1,D,1,0,1,1,,0,,,,,,,,,,,
9,Tony Amonte,1992,1994,3,RW,234,84,99,183,17,135,59,25,0,12,73,26,0,683,12.3,,
10,Glenn Anderson,1994,1994,1,RW,12,4,2,6,1,12,2,2,0,0,1,1,0,22,18.2,,
11,Kent-Erik Andersson,1983,1984,2,RW,134,13,35,48,11,22,13,0,0,2,32,2,1,161,8.1,,
12,Peter Andersson,1993,1994,2,D,39,5,12,17,1,20,1,3,1,2,6,6,0,78,6.4,,
13,Paul Andrea,1966,1966,1,RW,4,1,1,2,,0,1,0,0,0,,,,,,,
14,Lou Angotti,1965,1966,2,C/RW,91,11,10,21,,22,7,3,1,1,,,,,,,
15,Artem Anisimov,2009,2012,4,C,244,46,62,108,13,86,37,8,1,5,56,6,0,447,10.3,3613,14:48
16,Hub Anslow,1948,1948,1,C,2,0,0,0,,0,,,,,,,,,,,
17,Nik Antropov,2009,2009,1,C,18,7,6,13,-1,6,5,2,0,2,4,2,0,53,13.2,308,17:05
18,Syl Apps,1971,1971,1,C,31,1,2,3,0,11,1,0,0,0,1,1,0,25,4.0,,
19,Dave Archibald,1990,1990,1,C/LW,19,2,3,5,0,6,1,1,0,0,2,1,0,30,6.7,,
20,Derek Armstrong,1999,2001,3,C,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,46,6:32
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Arron Asham,2013,2014,2,RW,33,2,0,2,-3,64,2,0,0,0,0,0,0,15,13.3,224,6:47
