
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Ottawa Senators,55,22,23,,10,54,.491,-0.09,-0.04,6th,,P. MacLean (11-11-5) D. Cameron (11-12-5)
2013-14,NHL,Ottawa Senators,82,37,31,,14,88,.537,-0.37,-0.02,5th,,P. MacLean (37-31-14)
2012-13,NHL,Ottawa Senators*,48,25,17,,6,56,.583,0.27,0.02,4th,Lost NHL Conference Semi-Finals,P. MacLean (25-17-6)
2011-12,NHL,Ottawa Senators*,82,41,31,,10,92,.561,0.09,-0.02,2nd,Lost NHL Conference Quarter-Finals,P. MacLean (41-31-10)
2010-11,NHL,Ottawa Senators,82,32,40,,10,74,.451,-0.69,0.02,5th,,C. Clouston (32-40-10)
2009-10,NHL,Ottawa Senators*,82,44,32,,6,94,.573,-0.22,-0.06,2nd,Lost NHL Conference Quarter-Finals,C. Clouston (44-32-6)
2008-09,NHL,Ottawa Senators,82,36,35,,11,83,.506,-0.23,0.01,4th,,C. Hartsburg (17-24-7) C. Clouston (19-11-4)
2007-08,NHL,Ottawa Senators*,82,43,31,,8,94,.573,0.06,-0.11,2nd,Lost NHL Conference Quarter-Finals,J. Paddock (36-22-6) B. Murray (7-9-2)
2006-07,NHL,Ottawa Senators*,82,48,25,,9,105,.640,0.64,-0.16,2nd,Lost Stanley Cup Final,B. Murray (48-25-9)
2005-06,NHL,Ottawa Senators*,82,52,21,,9,113,.689,1.18,-0.08,1st,Lost NHL Conference Semi-Finals,B. Murray (52-21-9)
2003-04,NHL,Ottawa Senators*,82,43,23,10,6,102,.622,0.88,-0.01,3rd,Lost NHL Conference Quarter-Finals,J. Martin (43-23-10-6)
2002-03,NHL,Ottawa Senators*,82,52,21,8,1,113,.689,0.88,-0.11,1st,Lost NHL Conference Finals,J. Martin (52-21-8-1)
2001-02,NHL,Ottawa Senators*,82,39,27,9,7,94,.573,0.36,-0.07,3rd,Lost NHL Conference Semi-Finals,J. Martin (38-26-9-7) R. Neilson (1-1-0-0)
2000-01,NHL,Ottawa Senators*,82,48,21,9,4,109,.665,0.74,-0.10,1st,Lost NHL Conference Quarter-Finals,J. Martin (48-21-9-4)
1999-00,NHL,Ottawa Senators*,82,41,28,11,2,95,.579,0.30,-0.12,2nd,Lost NHL Conference Quarter-Finals,J. Martin (41-28-11-2)
1998-99,NHL,Ottawa Senators*,82,44,23,15,,103,.628,0.73,0.00,1st,Lost NHL Conference Quarter-Finals,J. Martin (44-23-15)
1997-98,NHL,Ottawa Senators*,82,34,33,15,,83,.506,-0.06,0.02,5th,Lost NHL Conference Semi-Finals,J. Martin (34-33-15)
1996-97,NHL,Ottawa Senators*,82,31,36,15,,77,.470,-0.11,-0.02,3rd,Lost NHL Conference Quarter-Finals,J. Martin (31-36-15)
1995-96,NHL,Ottawa Senators,82,18,59,5,,41,.250,-1.12,0.10,6th,,R. Bowness (6-13-0) D. Allison (2-22-1) J. Martin (10-24-4)
1994-95,NHL,Ottawa Senators,48,9,34,5,,23,.240,-1.12,0.07,7th,,R. Bowness (9-34-5)
1993-94,NHL,Ottawa Senators,84,14,61,9,,37,.220,-2.22,0.12,7th,,R. Bowness (14-61-9)
1992-93,NHL,Ottawa Senators,84,10,70,4,,24,.143,-2.10,0.20,6th,,R. Bowness (10-70-4)
