
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Daniel Alfredsson,1996,2013,17,RW,1178,426,682,1108,153,500,270,131,25,69,385,279,18,3320,12.8,19244,19:56
2,Dave Archibald,1993,1996,4,C/LW,135,27,20,47,-44,83,19,8,0,3,16,4,0,241,11.2,,
3,Derek Armstrong,1998,1998,1,C,9,2,0,2,1,9,2,0,0,1,0,0,0,8,25.0,,
4,Tyler Arnason,2006,2006,1,C,19,0,4,4,-4,4,0,0,0,0,3,1,0,42,0.0,234,12:19
5,Magnus Arvedson,1998,2003,6,LW,393,92,118,210,102,229,80,4,8,19,105,8,5,655,14.0,5781,17:24
6,Blair Atcheynum,1993,1993,1,RW,4,0,1,1,-3,0,0,0,0,0,1,0,0,2,0.0,,
7,Jamie Baker,1993,1993,1,C,76,19,29,48,-20,54,9,10,0,2,15,14,0,160,11.9,,
8,Chris Bala,2002,2002,1,LW,6,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,34,5:43
9,Cody Bass,2008,2011,3,C,34,2,2,4,-3,34,1,0,1,1,1,0,1,17,11.8,187,5:29
10,Brendan Bell,2009,2009,1,D,53,6,15,21,-5,24,1,5,0,1,5,10,0,76,7.9,940,17:43
11,Andre Benoit,2011,2013,2,D,41,3,8,11,-4,14,2,1,0,2,6,2,0,67,4.5,676,16:29
12,Bill Berg,1999,1999,1,LW,44,2,2,4,4,28,2,0,0,0,2,0,0,40,5.0,455,10:21
13,Radim Bicanek,1995,1999,4,D,35,0,1,1,-2,12,0,0,0,0,1,0,0,39,0.0,76,10:51
14,Brandon Bochenski,2006,2006,1,RW,20,6,7,13,7,14,4,2,0,0,6,1,0,39,15.4,246,12:16
15,Danny Bois,2007,2007,1,RW,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,4,3:53
16,Claude Boivin,1994,1995,2,LW,18,1,1,2,-7,44,1,0,0,0,1,0,0,6,16.7,,
17,Peter Bondra,2004,2004,1,RW,23,5,9,14,1,16,3,2,0,1,7,2,0,52,9.6,422,18:21
18,Radek Bonk,1995,2004,10,C,689,152,247,399,24,401,101,45,6,25,149,93,5,1206,12.6,7786,17:11
19,Dennis Bonvie,2003,2003,1,RW,12,0,0,0,-1,29,0,0,0,0,0,0,0,3,0.0,37,3:04
20,Mark Borowiecki,2012,2015,4,D,57,1,7,8,2,139,1,0,0,0,7,0,0,30,3.3,843,14:47
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Laurie Boschman,1993,1993,1,C,70,9,7,16,-26,101,8,0,1,1,7,0,0,84,10.7,,
