
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Philadelphia Flyers,57,24,23,,10,58,.509,-0.27,-0.03,5th,,C. Berube (24-23-10)
2013-14,NHL,Philadelphia Flyers*,82,42,30,,10,94,.573,-0.01,-0.02,3rd,Lost NHL Conference Quarter-Finals,C. Berube (42-27-10) P. Laviolette (0-3-0)
2012-13,NHL,Philadelphia Flyers,48,23,22,,3,49,.510,-0.14,0.03,4th,,P. Laviolette (23-22-3)
2011-12,NHL,Philadelphia Flyers*,82,47,26,,9,103,.628,0.39,0.00,3rd,Lost NHL Conference Semi-Finals,P. Laviolette (47-26-9)
2010-11,NHL,Philadelphia Flyers*,82,47,23,,12,106,.646,0.40,-0.04,1st,Lost NHL Conference Semi-Finals,P. Laviolette (47-23-12)
2009-10,NHL,Philadelphia Flyers*,82,41,35,,6,88,.537,0.08,-0.06,3rd,Lost Stanley Cup Final,J. Stevens (13-11-1) P. Laviolette (28-24-5)
2008-09,NHL,Philadelphia Flyers*,82,44,27,,11,99,.604,0.28,-0.04,3rd,Lost NHL Conference Quarter-Finals,J. Stevens (44-27-11)
2007-08,NHL,Philadelphia Flyers*,82,42,29,,11,95,.579,0.06,-0.12,4th,Lost NHL Conference Finals,J. Stevens (42-29-11)
2006-07,NHL,Philadelphia Flyers,82,22,48,,12,56,.341,-1.12,-0.04,5th,,K. Hitchcock (1-6-1) J. Stevens (21-42-11)
2005-06,NHL,Philadelphia Flyers*,82,45,26,,11,101,.616,0.00,-0.10,2nd,Lost NHL Conference Quarter-Finals,K. Hitchcock (45-26-11)
2003-04,NHL,Philadelphia Flyers*,82,40,21,15,6,101,.616,0.47,-0.05,1st,Lost NHL Conference Finals,K. Hitchcock (40-21-15-6)
2002-03,NHL,Philadelphia Flyers*,82,45,20,13,4,107,.652,0.43,-0.12,2nd,Lost NHL Conference Semi-Finals,K. Hitchcock (45-20-13-4)
2001-02,NHL,Philadelphia Flyers*,82,42,27,10,3,97,.591,0.41,-0.11,1st,Lost NHL Conference Quarter-Finals,B. Barber (42-27-10-3)
2000-01,NHL,Philadelphia Flyers*,82,43,25,11,3,100,.610,0.33,-0.07,2nd,Lost NHL Conference Quarter-Finals,C. Ramsay (12-12-4-0) B. Barber (31-13-7-3)
1999-00,NHL,Philadelphia Flyers*,82,45,22,12,3,105,.640,0.58,-0.13,1st,Lost NHL Conference Finals,R. Neilson (45-22-12-3)
1998-99,NHL,Philadelphia Flyers*,82,37,26,19,,93,.567,0.43,0.00,2nd,Lost NHL Conference Quarter-Finals,R. Neilson (37-26-19)
1997-98,NHL,Philadelphia Flyers*,82,42,29,11,,95,.579,0.53,-0.07,2nd,Lost NHL Conference Quarter-Finals,W. Cashman (32-20-9) R. Neilson (10-9-2)
1996-97,NHL,Philadelphia Flyers*,82,45,24,13,,103,.628,0.67,-0.03,2nd,Lost Stanley Cup Final,T. Murray (45-24-13)
1995-96,NHL,Philadelphia Flyers*,82,45,24,13,,103,.628,0.88,-0.03,1st,Lost NHL Conference Semi-Finals,T. Murray (45-24-13)
1994-95,NHL,Philadelphia Flyers*,48,28,16,4,,60,.625,0.36,-0.01,1st,Lost NHL Conference Finals,T. Murray (28-16-4)
1993-94,NHL,Philadelphia Flyers,84,35,39,10,,80,.476,-0.19,0.05,6th,,T. Simpson (35-39-10)
1992-93,NHL,Philadelphia Flyers,84,36,37,11,,83,.494,0.20,0.20,5th,,B. Dineen (36-37-11)
1991-92,NHL,Philadelphia Flyers,80,32,37,11,,75,.469,-0.13,0.13,6th,,P. Holmgren (8-14-2) B. Dineen (24-23-9)
1990-91,NHL,Philadelphia Flyers,80,33,37,10,,76,.475,-0.18,0.01,5th,,P. Holmgren (33-37-10)
1989-90,NHL,Philadelphia Flyers,80,30,39,11,,71,.444,-0.10,-0.01,6th,,P. Holmgren (30-39-11)
1988-89,NHL,Philadelphia Flyers*,80,36,36,8,,80,.500,0.23,-0.05,4th,Lost NHL Conference Finals,P. Holmgren (36-36-8)
1987-88,NHL,Philadelphia Flyers*,80,38,33,9,,85,.531,0.07,0.07,3rd,Lost NHL Division Semi-Finals,M. Keenan (38-33-9)
1986-87,NHL,Philadelphia Flyers*,80,46,26,8,,100,.625,0.74,-0.08,1st,Lost Stanley Cup Final,M. Keenan (46-26-8)
1985-86,NHL,Philadelphia Flyers*,80,53,23,4,,110,.688,1.17,-0.01,1st,Lost NHL Division Semi-Finals,M. Keenan (53-23-4)
1984-85,NHL,Philadelphia Flyers*,80,53,20,7,,113,.706,1.22,-0.12,1st,Lost Stanley Cup Final,M. Keenan (53-20-7)
1983-84,NHL,Philadelphia Flyers*,80,44,26,10,,98,.613,0.68,-0.07,3rd,Lost NHL Division Semi-Finals,B. McCammon (44-26-10)
1982-83,NHL,Philadelphia Flyers*,80,49,23,8,,106,.663,0.96,-0.12,1st,Lost NHL Division Semi-Finals,B. McCammon (49-23-8)
1981-82,NHL,Philadelphia Flyers*,80,38,31,11,,87,.544,0.24,0.09,3rd,Lost NHL Division Semi-Finals,P. Quinn (34-29-9) B. McCammon (4-2-2)
