
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Keith Acton,1989,1993,5,C,303,45,72,117,-24,424,39,2,4,4,66,5,1,405,11.1,,
2,Greg Adams,1981,1982,2,LW,39,7,15,22,7,113,7,0,0,0,15,0,0,35,20.0,,
3,Dmitry Afanasenkov,2007,2007,1,LW,41,8,7,15,-19,12,8,0,0,0,7,0,0,65,12.3,481,11:43
4,Jason Akeson,2013,2015,3,RW,14,1,1,2,2,6,1,0,0,0,1,0,0,11,9.1,117,8:21
5,Andrew Alberts,2009,2009,1,D,79,1,12,13,6,61,1,0,0,0,11,0,1,46,2.2,1248,15:47
6,Ray Allison,1982,1987,5,RW,168,47,81,128,55,210,38,9,0,3,64,17,0,369,12.7,,
7,Tony Amonte,2003,2004,2,RW,93,27,41,68,25,40,21,5,1,5,21,20,0,210,12.9,1448,15:34
8,Shawn Anderson,1995,1995,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9,Mikael Andersson,1999,2000,2,LW,43,2,4,6,-1,0,1,0,1,0,4,0,0,49,4.1,468,10:53
10,Lou Angotti,1968,1968,1,C/RW,70,12,37,49,4,35,10,2,0,1,28,7,2,146,8.2,,
11,Shawn Antoski,1995,1996,2,LW,89,1,3,4,-4,265,1,0,0,0,3,0,0,46,2.2,,
12,Bill Armstrong,1991,1991,1,C,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,,
13,Fred Arthur,1982,1983,2,D,77,1,8,9,-9,49,1,0,0,0,7,0,1,34,2.9,,
14,Arron Asham,2009,2010,2,RW,150,18,26,44,-2,281,18,0,0,3,26,0,0,165,10.9,1408,9:23
15,Barry Ashbee,1971,1974,4,D,270,15,67,82,55,277,10,4,1,2,48,16,3,334,4.5,,
16,Dave Babych,1998,1999,2,D,39,2,4,6,2,32,0,2,0,0,1,3,0,50,4.0,585,17:44
17,Reid Bailey,1981,1982,2,D,27,1,3,4,3,78,1,0,0,0,3,0,0,23,4.3,,
18,Terry Ball,1968,1970,2,D,62,7,18,25,-8,20,3,3,1,0,5,13,0,98,7.1,,
19,Bill Barber,1973,1984,12,LW,903,420,463,883,316,623,285,104,31,54,266,176,21,3250,12.9,,
20,Norm Barnes,1977,1981,3,D,82,4,24,28,20,77,4,0,0,1,21,3,0,85,4.7,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Murray Baron,1990,1991,2,D,83,10,10,20,-4,86,7,3,0,1,8,2,0,104,9.6,,
22,Len Barrie,1990,1993,2,C,9,2,2,4,0,9,2,0,0,0,2,0,0,14,14.3,,
23,Oskars Bartulis,2010,2011,2,D,66,1,8,9,-16,32,1,0,0,0,7,1,0,33,3.0,910,13:47
24,Ryan Bast,1999,1999,1,D,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,27,13:24
25,Frank Bathe,1978,1983,6,D,198,3,24,27,28,502,3,0,0,0,24,0,0,175,1.7,,
26,Nolan Baumgartner,2007,2007,1,D,6,0,1,1,0,21,0,0,0,0,1,0,0,4,0.0,90,14:59
27,Pierre-Edouard Bellemare,2015,2015,1,LW,56,4,4,8,0,13,4,0,0,1,4,0,0,61,6.6,680,12:08
28,Harvey Bennett,1977,1978,2,C,53,13,8,21,-8,67,13,0,0,2,8,0,0,55,23.6,,
29,Brian Benning,1992,1993,2,D,59,11,29,40,-9,128,3,8,0,0,15,14,0,137,8.0,,
30,Josef Beranek,1993,1995,3,LW/C,134,46,38,84,0,137,38,8,0,2,32,6,0,307,15.0,,
31,Todd Bergen,1985,1985,1,C,14,11,5,16,9,4,8,3,0,3,4,1,0,38,28.9,,
32,Bo Berglund,1986,1986,1,RW,7,0,2,2,0,4,0,0,0,0,2,0,0,5,0.0,,
33,Serge Bernier,1969,1972,4,RW,123,35,40,75,-28,130,28,7,0,4,30,10,0,330,10.6,,
34,Craig Berube,1987,2000,7,LW,323,20,34,54,-25,1138,20,0,0,2,34,0,0,216,9.3,707,8:01
35,Blair Betts,2010,2011,2,C,138,13,17,30,4,22,10,1,2,4,16,0,1,114,11.4,1578,11:26
36,Don Biggs,1990,1990,1,C,11,2,0,2,-4,8,1,1,0,0,0,0,0,14,14.3,,
37,Don Blackburn,1968,1969,2,LW,115,16,29,45,-15,59,15,1,0,4,25,4,0,251,6.4,,
38,Tom Bladon,1973,1978,6,D,463,67,163,230,186,281,40,26,1,8,97,65,1,977,6.9,,
39,Claude Boivin,1992,1994,3,LW,114,11,18,29,-18,320,11,0,0,1,18,0,0,78,14.1,,
40,Mike Boland,1975,1975,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Mark Botell,1982,1982,1,D,32,4,10,14,8,31,4,0,0,1,5,5,0,50,8.0,,
42,Jesse Boulerice,2002,2008,2,RW,8,0,0,0,-3,34,0,0,0,0,0,0,0,2,0.0,32,4:01
43,Marc-Andre Bourdon,2012,2012,1,D,45,4,3,7,4,52,4,0,0,2,3,0,0,45,8.9,729,16:11
44,Jason Bowen,1993,1997,5,D,73,2,6,8,12,99,2,0,0,1,6,0,0,58,3.4,,
45,Nick Boynton,2011,2011,1,D,10,0,0,0,-3,4,0,0,0,0,0,0,0,1,0.0,102,10:14
46,Donald Brashear,2002,2006,4,LW,270,22,44,66,2,648,22,0,0,3,42,2,0,306,7.2,3079,11:24
47,Pavel Brendl,2002,2003,2,RW,50,6,7,13,7,6,5,1,0,1,7,0,0,86,7.0,505,10:06
48,Andy Brickley,1983,1983,1,LW/C,3,1,1,2,-1,0,0,1,0,0,1,0,0,7,14.3,,
49,Mel Bridgman,1976,1982,7,C,462,119,205,324,138,971,97,18,4,15,172,22,11,918,13.0,,
50,Daniel Briere,2008,2013,6,C,364,124,159,283,-13,331,85,39,0,14,95,63,1,936,13.2,6359,17:28
51,Aris Brimanis,1994,1997,3,D,21,0,3,3,-2,12,0,0,0,0,3,0,0,13,0.0,,
52,Rod Brind'Amour,1992,2000,9,C,633,235,366,601,-2,563,142,75,18,34,224,125,17,1564,15.0,2012,21:23
53,Willie Brossart,1971,1973,3,D,47,0,5,5,-14,12,0,0,0,0,3,2,0,51,0.0,,
54,Dave Brown,1983,1995,11,RW,552,39,39,78,-27,1382,39,0,0,6,38,1,0,352,11.1,,
55,Larry Brown,1972,1972,1,D,12,0,0,0,-3,2,0,0,0,0,0,0,0,9,0.0,,
56,Mike Bullard,1989,1990,2,C,124,50,63,113,1,127,36,14,0,7,40,23,0,318,15.7,,
57,Marc Bureau,1999,2000,2,C,125,6,8,14,-3,20,5,0,1,0,8,0,0,98,6.1,1379,11:01
58,Adam Burt,1999,2000,2,D,84,1,7,8,-1,59,1,0,0,1,7,0,0,73,1.4,1389,16:32
59,Mike Busniuk,1980,1981,2,D,143,3,23,26,66,297,3,0,0,1,22,0,1,89,3.4,,
60,Viacheslav Butsayev,1993,1994,2,C,99,14,23,37,5,119,14,0,0,3,21,2,0,137,10.2,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Mike Byers,1969,1969,1,RW,5,0,2,2,-1,0,0,0,0,0,0,2,0,8,0.0,,
62,Kyle Calder,2007,2007,1,LW,59,9,12,21,-31,36,5,2,2,0,8,4,0,88,10.2,887,15:02
63,Drew Callander,1977,1979,3,C/RW,18,3,1,4,0,5,3,0,0,0,1,0,0,23,13.0,,
64,Daniel Carcillo,2009,2011,3,LW,153,16,16,32,-11,414,15,1,0,3,15,1,0,196,8.2,1503,9:49
65,Terry Carkner,1989,1993,5,D,376,29,103,132,-25,867,18,9,2,3,67,33,3,356,8.1,,
66,Matt Carle,2009,2012,4,D,308,15,122,137,55,91,10,5,0,3,91,31,0,458,3.3,6925,22:28
67,Dwight Carruthers,1968,1968,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
68,Lindsay Carson,1982,1988,7,C,346,61,76,137,2,494,59,1,1,6,73,3,0,503,12.1,,
69,Jeff Carter,2006,2011,6,C,461,181,162,343,51,288,121,48,12,38,107,53,2,1660,10.9,8307,18:01
70,Dick Cherry,1969,1970,2,D,139,12,10,22,-35,41,10,1,1,3,8,2,0,190,6.3,,
71,Eric Chouinard,2003,2006,3,LW,46,7,4,11,-1,10,6,1,0,0,4,0,0,60,11.7,410,8:54
72,Jeff Chychrun,1987,1991,5,D,199,3,17,20,-1,608,3,0,0,2,15,1,1,132,2.3,,
73,Bobby Clarke,1970,1984,15,C,1144,358,852,1210,506,1453,227,99,32,38,585,230,37,2587,13.8,,
74,Bill Clement,1972,1975,4,C,229,53,52,105,11,166,49,1,3,8,44,5,3,420,12.6,,
75,Braydon Coburn,2007,2015,9,D,570,37,121,158,24,468,26,10,1,4,93,22,6,820,4.5,12509,21:56
76,Glen Cochrane,1979,1985,6,D,257,16,61,77,74,1110,15,0,1,5,54,6,1,262,6.1,,
77,Paul Coffey,1997,1998,2,D,94,8,47,55,14,50,6,1,1,2,22,25,0,178,4.5,,
78,Carlo Colaiacovo,2015,2015,1,D,15,0,3,3,1,6,0,0,0,0,2,1,0,13,0.0,230,15:21
79,Bill Collins,1977,1977,1,RW,9,1,1,2,-1,4,1,0,0,1,1,0,0,5,20.0,,
80,Mike Comrie,2004,2004,1,C,21,4,5,9,2,12,4,0,0,1,2,3,0,36,11.1,270,12:51
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Al Conroy,1992,1994,3,C,114,9,14,23,-12,156,8,0,1,1,13,1,0,89,10.1,,
82,Bob Corkum,1996,1996,1,C,28,4,3,7,3,8,4,0,0,2,3,0,0,38,10.5,,
83,Riley Cote,2007,2010,4,RW,156,1,6,7,-5,411,1,0,0,0,5,1,0,51,2.0,643,4:07
84,Sean Couturier,2012,2015,4,C,262,42,64,106,11,93,37,1,4,6,49,11,4,450,9.3,4447,16:58
85,Murray Craven,1985,1992,8,LW,523,152,272,424,101,315,114,29,9,20,186,79,7,1059,14.4,,
86,Terry Crisp,1973,1977,5,C,194,25,54,79,33,78,20,2,3,5,45,5,4,224,11.2,,
87,Shawn Cronin,1993,1993,1,D,35,2,1,3,0,37,2,0,0,0,1,0,0,12,16.7,,
88,Doug Crossman,1984,1988,5,D,392,35,158,193,66,255,16,18,1,5,95,58,5,680,5.1,,
89,Phil Crowe,1996,1996,1,LW,16,1,1,2,0,28,1,0,0,0,1,0,0,6,16.7,,
90,Mark Cullen,2007,2007,1,C,3,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,19,6:15
91,Jim Cummins,1994,1994,1,RW,22,1,2,3,0,71,1,0,0,0,2,0,0,17,5.9,,
92,Jim Cunningham,1978,1978,1,LW,1,0,0,0,1,4,0,0,0,0,0,0,0,0,,,
93,Alexandre Daigle,1998,1999,2,C,68,12,19,31,-2,8,7,5,0,4,16,3,0,104,11.5,247,7:59
94,J.J. Daigneault,1987,1988,2,D,105,8,18,26,4,68,6,2,0,1,13,5,0,102,7.8,,
95,Bob Dailey,1977,1982,6,D,304,56,138,194,124,397,42,11,3,7,82,51,5,800,7.0,,
96,Rod Dallman,1992,1992,1,LW,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,,
97,Kimbi Daniels,1991,1992,2,C,27,1,2,3,-6,4,1,0,0,1,2,0,0,18,5.6,,
98,Scott Daniels,1997,1997,1,LW,56,5,3,8,2,237,5,0,0,2,3,0,0,48,10.4,,
99,Craig Darby,1997,1998,2,C,12,2,4,6,2,2,1,0,1,0,4,0,0,16,12.5,,
100,Barry Dean,1978,1979,2,LW,86,11,31,42,11,54,11,0,0,3,25,6,0,128,8.6,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
101,Michael Del Zotto,2015,2015,1,D,45,6,15,21,-4,24,6,0,0,2,12,3,0,76,7.9,942,20:55
102,Andy Delmore,1999,2001,3,D,95,7,15,22,0,24,5,2,0,1,10,4,1,176,4.0,1673,17:36
103,Eric Desjardins,1995,2006,11,D,738,93,303,396,143,406,50,39,4,17,163,129,11,1674,5.6,11426,24:34
104,Rob DiMaio,1994,1996,3,RW,109,12,21,33,9,117,10,1,1,1,20,0,1,113,10.6,,
105,Niko Dimitrakos,2006,2007,2,RW,24,5,4,9,0,12,4,1,0,1,3,1,0,31,16.1,249,10:22
106,Kevin Dineen,1992,1996,5,RW,284,88,88,176,-3,533,61,20,7,15,61,21,6,680,12.9,,
107,Gilbert Dionne,1995,1996,2,LW,22,0,7,7,-1,2,0,0,0,0,6,1,0,29,0.0,,
108,Tomas Divisek,2001,2002,2,C,5,1,0,1,0,0,1,0,0,1,0,0,0,5,20.0,48,9:31
109,Brian Dobbin,1987,1990,4,RW,56,6,8,14,-4,39,5,1,0,1,5,3,0,52,11.5,,
110,Jiri Dopita,2002,2002,1,C,52,11,16,27,9,8,8,3,0,2,13,3,0,79,13.9,792,15:14
