
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Ramzi Abid,2003,2003,1,LW,30,10,8,18,1,30,6,4,0,3,6,2,0,52,19.2,375,12:30
2,Greg Adams,1999,2000,2,LW,144,38,51,89,-2,40,28,10,0,3,37,13,1,305,12.5,2473,17:10
3,Kevyn Adams,2007,2007,1,C,33,1,7,8,-10,8,1,0,0,0,5,1,1,51,2.0,440,13:19
4,Mika Alatalo,2000,2001,2,LW,152,17,29,46,-2,58,16,1,0,2,28,1,0,171,9.9,1803,11:51
5,Mike Amodeo,1980,1980,1,D,19,0,0,0,-15,2,0,0,0,0,0,0,0,14,0.0,,
6,Tony Amonte,2003,2003,1,RW,59,13,23,36,-12,26,7,6,0,3,9,14,0,170,7.6,1148,19:27
7,Mark Arcobello,2015,2015,1,RW,3,2,0,2,-1,2,2,0,0,0,0,0,0,5,40.0,47,15:39
8,Scott Arniel,1982,1991,6,LW,406,80,112,192,-37,336,64,14,2,6,92,19,1,608,13.2,,
9,Brent Ashton,1989,1992,4,LW,222,66,95,161,-14,135,54,11,1,8,74,19,2,460,14.3,,
10,Adrian Aucoin,2010,2012,3,D,221,13,46,59,34,150,11,2,0,2,33,13,0,335,3.9,4770,21:35
11,Dave Babych,1981,1986,6,D,390,73,248,321,-130,392,34,39,0,8,121,124,3,1249,5.8,,
12,Joel Baillargeon,1987,1988,2,LW,15,0,2,2,-3,27,0,0,0,0,2,0,0,4,0.0,,
13,Keith Ballard,2006,2008,3,D,233,19,68,87,-18,243,10,5,4,2,40,26,2,286,6.6,4899,21:01
14,Frank Banham,2003,2003,1,RW,5,0,0,0,-1,2,0,0,0,0,0,0,0,5,0.0,39,7:51
15,Don Barber,1991,1992,2,W,27,1,5,6,-1,18,1,0,0,0,3,2,0,25,4.0,,
16,Stu Barnes,1992,1994,3,C,102,25,23,48,-6,44,16,9,0,3,19,4,0,172,14.5,,
17,Murray Baron,1997,1998,2,D,53,1,5,6,-10,110,1,0,0,0,5,0,0,28,3.6,,
18,Sergei Bautin,1993,1994,2,D,130,5,25,30,-15,174,5,0,0,0,22,3,0,121,4.1,,
19,Sandy Beadle,1981,1981,1,LW,6,1,0,1,-2,2,1,0,0,0,0,0,0,7,14.3,,
20,Eric Belanger,2011,2011,1,C,82,13,27,40,11,36,11,1,1,2,23,4,0,127,10.2,1422,17:20
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Brendan Bell,2007,2008,2,D,16,0,2,2,-10,8,0,0,0,0,1,1,0,18,0.0,269,16:49
22,Drake Berehowsky,2002,2003,2,D,39,2,6,8,5,69,2,0,0,0,4,2,0,31,6.5,471,12:03
23,Sergei Berezin,2002,2002,1,LW,41,7,9,16,-1,4,6,1,0,4,6,3,0,120,5.8,637,15:32
24,Brad Berry,1986,1990,5,D,163,4,25,29,-14,196,4,0,0,0,24,0,1,114,3.5,,
25,John Bethel,1980,1980,1,LW,17,0,2,2,-3,4,0,0,0,0,1,1,0,12,0.0,,
26,Goran Bezina,2004,2004,1,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,5:17
27,Paul Bissonnette,2010,2014,5,LW,187,7,14,21,8,318,7,0,0,2,14,0,0,96,7.3,1018,5:26
28,Tom Bladon,1981,1981,1,D,9,0,5,5,-10,10,0,0,0,0,2,3,0,13,0.0,,
29,Arto Blomsten,1994,1995,2,D,19,0,2,2,-6,8,0,0,0,0,2,0,0,15,0.0,,
30,Mikkel Boedker,2009,2015,7,RW,383,67,107,174,-14,76,54,13,0,10,80,27,0,576,11.6,5925,15:28
