
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Ramzi Abid,2003,2004,2,LW,19,3,2,5,-10,29,1,2,0,1,0,2,0,42,7.1,260,13:39
2,Craig Adams,2009,2015,7,RW,435,18,52,70,-31,291,15,0,3,2,46,0,6,418,4.3,4973,11:25
3,Peter Ahola,1993,1993,1,D,22,0,1,1,-2,14,0,0,0,0,1,0,0,5,0.0,,
4,Brad Aitken,1988,1991,2,LW,11,1,2,3,-1,25,1,0,0,0,2,0,0,7,14.3,,
5,Peter Allen,1996,1996,1,D,8,0,0,0,2,8,0,0,0,0,0,0,0,2,0.0,,
6,Russ Anderson,1977,1982,6,D,353,15,77,92,20,684,14,1,0,3,74,3,0,273,5.5,,
7,Paul Andrea,1968,1969,2,RW,90,18,27,45,-12,4,8,10,0,2,14,13,0,137,13.1,,
8,Greg Andrusak,1994,1999,4,D,19,0,5,5,1,12,0,0,0,0,2,3,0,14,0.0,124,17:42
9,Lou Angotti,1969,1969,1,C/RW,71,17,20,37,-21,36,14,3,0,2,15,5,0,123,13.8,,
10,Shawn Antoski,1997,1997,1,LW,13,0,0,0,0,49,0,0,0,0,0,0,0,3,0.0,,
11,Syl Apps,1971,1978,8,C,495,151,349,500,94,241,106,34,11,20,253,88,8,1168,12.9,,
12,John Arbour,1969,1969,1,D,17,0,2,2,-14,35,0,0,0,0,1,1,0,19,0.0,,
13,Mark Arcobello,2015,2015,1,RW,10,0,2,2,1,2,0,0,0,0,2,0,0,13,0.0,121,12:05
14,Colby Armstrong,2006,2008,3,RW,181,37,61,98,23,175,26,8,3,8,49,9,3,315,11.7,3075,16:59
15,Chuck Arnason,1974,1976,3,RW,149,46,40,86,-6,50,39,7,0,7,32,8,0,404,11.4,,
16,Arron Asham,2011,2012,2,RW,108,10,17,27,-5,122,10,0,0,0,17,0,0,109,9.2,1011,9:21
17,Don Awrey,1977,1977,1,D,79,1,12,13,-2,40,1,0,0,0,12,0,0,45,2.2,,
18,Wayne Babych,1985,1986,2,RW,67,20,34,54,-8,35,17,3,0,3,28,6,0,131,15.3,,
19,Matthew Barnaby,1999,2001,3,RW,129,15,18,33,-14,399,14,1,0,3,16,2,0,145,10.3,1420,11:00
20,Stu Barnes,1997,1999,3,C,204,67,69,136,-17,66,34,32,1,11,49,18,2,483,13.9,1143,17:52
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Doug Barrie,1969,1969,1,D,8,1,1,2,-2,8,1,0,0,0,1,0,0,10,10.0,,
