
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,San Jose Sharks,59,29,22,,8,66,.559,-0.12,-0.03,4th,,T. McLellan (29-22-8)
2013-14,NHL,San Jose Sharks*,82,51,22,,9,111,.677,0.60,0.00,2nd,Lost NHL Conference Quarter-Finals,T. McLellan (51-22-9)
2012-13,NHL,San Jose Sharks*,48,25,16,,7,57,.594,0.17,0.01,3rd,Lost NHL Conference Semi-Finals,T. McLellan (25-16-7)
2011-12,NHL,San Jose Sharks*,82,43,29,,10,96,.585,0.22,0.00,2nd,Lost NHL Conference Quarter-Finals,T. McLellan (43-29-10)
2010-11,NHL,San Jose Sharks*,82,48,25,,9,105,.640,0.44,0.02,1st,Lost NHL Conference Finals,T. McLellan (48-25-9)
2009-10,NHL,San Jose Sharks*,82,51,20,,11,113,.689,0.65,0.05,1st,Lost NHL Conference Finals,T. McLellan (51-20-11)
2008-09,NHL,San Jose Sharks*,82,53,18,,11,117,.713,0.61,-0.04,1st,Lost NHL Conference Quarter-Finals,T. McLellan (53-18-11)
2007-08,NHL,San Jose Sharks*,82,49,23,,10,108,.659,0.47,0.12,1st,Lost NHL Conference Semi-Finals,R. Wilson (49-23-10)
2006-07,NHL,San Jose Sharks*,82,51,26,,5,107,.652,0.77,0.05,2nd,Lost NHL Conference Semi-Finals,R. Wilson (51-26-5)
2005-06,NHL,San Jose Sharks*,82,44,27,,11,99,.604,0.36,0.06,2nd,Lost NHL Conference Semi-Finals,R. Wilson (44-27-11)
2003-04,NHL,San Jose Sharks*,82,43,21,12,6,104,.634,0.40,-0.04,1st,Lost NHL Conference Finals,R. Wilson (43-21-12-6)
2002-03,NHL,San Jose Sharks,82,28,37,9,8,73,.445,-0.21,0.10,5th,,D. Sutter (8-12-2-2) C. Raeder (1-0-0-0) R. Wilson (19-25-7-6)
2001-02,NHL,San Jose Sharks*,82,44,27,8,3,99,.604,0.62,0.02,1st,Lost NHL Conference Semi-Finals,D. Sutter (44-27-8-3)
2000-01,NHL,San Jose Sharks*,82,40,27,12,3,95,.579,0.36,0.06,2nd,Lost NHL Conference Quarter-Finals,D. Sutter (40-27-12-3)
1999-00,NHL,San Jose Sharks*,82,35,30,10,7,87,.530,0.23,0.10,4th,Lost NHL Conference Semi-Finals,D. Sutter (35-30-10-7)
1998-99,NHL,San Jose Sharks*,82,31,33,18,,80,.488,0.04,-0.02,4th,Lost NHL Conference Quarter-Finals,D. Sutter (31-33-18)
1997-98,NHL,San Jose Sharks*,82,34,38,10,,78,.476,-0.10,-0.03,4th,Lost NHL Conference Quarter-Finals,D. Sutter (34-38-10)
1996-97,NHL,San Jose Sharks,82,27,47,8,,62,.378,-0.78,0.03,7th,,A. Sims (27-47-8)
1995-96,NHL,San Jose Sharks,82,20,55,7,,47,.287,-1.25,0.03,7th,,K. Constantine (3-18-4) J. Wiley (17-37-3)
1994-95,NHL,San Jose Sharks*,48,19,25,4,,42,.438,-0.66,0.01,3rd,Lost NHL Conference Semi-Finals,K. Constantine (19-25-4)
1993-94,NHL,San Jose Sharks*,84,33,35,16,,82,.488,-0.17,-0.02,3rd,Lost NHL Conference Semi-Finals,K. Constantine (33-35-16)
1992-93,NHL,San Jose Sharks,84,11,71,2,,24,.143,-2.29,0.05,6th,,G. Kingston (11-71-2)
1991-92,NHL,San Jose Sharks,80,17,58,5,,39,.244,-1.72,0.03,6th,,G. Kingston (17-58-5)
