
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Peter Ahola,1993,1993,1,D,20,2,3,5,-6,16,2,0,0,0,3,0,0,32,6.3,,
2,Perry Anderson,1992,1992,1,LW,48,4,8,12,-17,143,4,0,0,0,8,0,0,57,7.0,,
3,Niklas Andersson,1998,1998,1,LW,5,0,0,0,-1,2,0,0,0,0,0,0,0,6,0.0,,
4,Riley Armstrong,2009,2009,1,RW,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,7:26
5,Jamie Baker,1994,1999,4,C,186,35,27,62,-23,139,26,2,7,2,25,0,2,246,14.2,,
6,Steve Bancroft,2002,2002,1,D,5,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,52,10:23
7,Don Barber,1992,1992,1,W,12,1,3,4,-7,2,1,0,0,0,2,1,0,17,5.9,,
8,Sergei Bautin,1996,1996,1,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,,
9,Robin Bawa,1993,1993,1,RW,42,5,0,5,-25,47,5,0,0,1,0,0,0,25,20.0,,
10,Mark Beaufait,1993,1993,1,C,5,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,,
11,Mark Bell,2007,2007,1,C,71,11,10,21,-9,83,8,3,0,2,6,4,0,116,9.5,920,12:57
12,Perry Berezan,1992,1993,2,C,94,15,11,26,-44,58,8,5,2,2,9,1,1,149,10.1,,
13,Steve Bernier,2006,2008,3,RW,160,42,39,81,7,126,29,12,1,5,22,17,0,275,15.3,2167,13:32
14,Rob Blake,2009,2010,2,D,143,17,58,75,29,170,7,10,0,2,37,20,1,380,4.5,3048,21:18
15,Doug Bodger,1996,1998,3,D,166,9,40,49,-32,146,6,3,0,2,18,21,1,231,3.9,,
16,Brad Boyes,2004,2004,1,RW,1,0,0,0,-2,2,0,0,0,0,0,0,0,0,,13,13:03
17,Dan Boyle,2009,2014,6,D,431,68,201,269,19,305,36,32,0,12,95,104,2,1095,6.2,10611,24:37
18,Steve Bozek,1992,1992,1,LW,58,8,8,16,-30,27,6,2,0,0,6,2,0,105,7.6,,
19,Matt Bradley,2001,2003,3,RW,121,12,17,29,21,99,12,0,0,2,17,0,0,100,12.0,966,7:58
