
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,St. Louis Blues,57,37,16,,4,78,.684,0.66,-0.01,2nd,,K. Hitchcock (37-16-4)
2013-14,NHL,St. Louis Blues*,82,52,23,,7,111,.677,0.71,0.01,2nd,Lost NHL Conference Quarter-Finals,K. Hitchcock (52-23-7)
2012-13,NHL,St. Louis Blues*,48,29,17,,2,60,.625,0.31,0.02,2nd,Lost NHL Conference Quarter-Finals,K. Hitchcock (29-17-2)
2011-12,NHL,St. Louis Blues*,82,49,22,,11,109,.665,0.54,-0.01,1st,Lost NHL Conference Semi-Finals,D. Payne (6-7-0) K. Hitchcock (43-15-11)
2010-11,NHL,St. Louis Blues,82,38,33,,11,87,.530,0.11,0.04,4th,,D. Payne (38-33-11)
2009-10,NHL,St. Louis Blues,82,40,32,,10,90,.549,0.08,0.06,4th,,A. Murray (17-17-6) D. Payne (23-15-4)
2008-09,NHL,St. Louis Blues*,82,41,31,,10,92,.561,0.05,0.05,3rd,Lost NHL Conference Quarter-Finals,A. Murray (41-31-10)
2007-08,NHL,St. Louis Blues,82,33,36,,13,79,.482,-0.24,0.16,5th,,A. Murray (33-36-13)
2006-07,NHL,St. Louis Blues,82,34,35,,13,81,.494,-0.33,0.15,3rd,,M. Kitchen (7-17-4) A. Murray (27-18-9)
2005-06,NHL,St. Louis Blues,82,21,46,,15,57,.348,-1.09,0.07,5th,,M. Kitchen (21-46-15)
2003-04,NHL,St. Louis Blues*,82,39,30,11,2,91,.555,-0.09,-0.01,2nd,Lost NHL Conference Quarter-Finals,J. Quenneville (29-23-7-2) M. Kitchen (10-7-4-0)
2002-03,NHL,St. Louis Blues*,82,41,24,11,6,99,.604,0.43,0.05,2nd,Lost NHL Conference Quarter-Finals,J. Quenneville (41-24-11-6)
2001-02,NHL,St. Louis Blues*,82,43,27,8,4,98,.598,0.54,0.07,2nd,Lost NHL Conference Semi-Finals,J. Quenneville (43-27-8-4)
2000-01,NHL,St. Louis Blues*,82,43,22,12,5,103,.628,0.67,0.01,2nd,Lost NHL Conference Finals,J. Quenneville (43-22-12-5)
1999-00,NHL,St. Louis Blues*,82,51,19,11,1,114,.695,1.08,0.07,1st,Lost NHL Conference Quarter-Finals,J. Quenneville (51-19-11-1)
1998-99,NHL,St. Louis Blues*,82,37,32,13,,87,.530,0.29,-0.05,2nd,Lost NHL Conference Semi-Finals,J. Quenneville (37-32-13)
1997-98,NHL,St. Louis Blues*,82,45,29,8,,98,.598,0.63,0.00,3rd,Lost NHL Conference Semi-Finals,J. Quenneville (45-29-8)
