
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Bruce Affleck,1975,1979,5,D,274,14,65,79,-81,86,10,4,0,2,48,14,3,365,3.8,,
2,Glenn Anderson,1995,1996,2,RW,51,14,16,30,-2,43,12,2,0,3,13,3,0,89,15.7,,
3,Perry Anderson,1982,1985,4,LW,144,22,18,40,-16,355,22,0,0,2,18,0,0,171,12.9,,
4,Ron Anderson,1970,1970,1,RW,59,9,9,18,11,36,9,0,0,0,8,1,0,197,4.6,,
5,Lou Angotti,1974,1974,1,C/RW,51,12,23,35,-3,9,11,1,0,5,21,2,0,84,14.3,,
6,Al Arbour,1968,1971,4,D,231,2,21,23,27,191,1,1,0,1,18,1,2,97,2.1,,
7,John Arbour,1971,1972,2,D,70,1,6,7,-3,91,1,0,0,0,6,0,0,71,1.4,,
8,Derek Armstrong,2010,2010,1,C,6,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,42,6:59
9,Jason Arnott,2012,2012,1,C,72,17,17,34,13,26,11,6,0,3,9,8,0,142,12.0,1014,14:05
10,Blair Atcheynum,1998,1999,2,RW,73,13,17,30,7,12,12,0,1,4,15,0,2,126,10.3,188,15:38
11,Ron Attwell,1968,1968,1,RW,18,1,7,8,-9,6,0,1,0,0,5,2,0,31,3.2,,
12,Keith Aucoin,2014,2014,1,C,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,27,13:18
13,Don Awrey,1974,1975,2,D,95,5,24,29,-15,55,4,1,0,0,20,3,1,111,4.5,,
14,Mitch Babin,1976,1976,1,C,8,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,,
15,Wayne Babych,1979,1984,6,RW,396,155,190,345,-21,382,111,44,0,15,145,45,0,1066,14.5,,
16,David Backes,2007,2015,9,C,624,178,219,397,59,852,125,49,4,23,169,45,5,1438,12.4,11303,18:06
17,Christian Backman,2003,2008,5,D,228,19,45,64,-6,130,14,5,0,1,30,15,0,276,6.9,4840,21:13
18,Garnet Bailey,1974,1975,2,LW,71,22,29,51,-5,133,18,4,0,1,20,9,0,145,15.2,,
