
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Dmitry Afanasenkov,2001,2007,5,LW,186,19,20,39,-17,40,18,1,0,1,15,5,0,216,8.8,1964,10:33
2,Nikita Alexeev,2002,2007,3,RW,144,18,17,35,-5,28,14,4,0,4,14,3,0,201,9.0,1831,12:42
3,Mikael Andersson,1993,1999,7,LW,435,54,69,123,-20,84,43,4,7,9,60,2,7,692,7.8,506,12:39
4,Dave Andreychuk,2002,2006,4,LW,278,68,61,129,-46,201,28,38,2,14,23,36,2,577,11.8,4498,16:10
5,Mike Angelidis,2012,2013,2,LW,7,1,0,1,-1,5,1,0,0,0,0,0,0,8,12.5,46,6:37
6,Evgeny Artyukhin,2006,2009,2,RW,145,10,23,33,-3,241,8,2,0,0,21,2,0,179,5.6,1407,9:42
7,Kaspars Astashenko,2000,2001,2,D/W,23,1,2,3,-6,8,1,0,0,0,2,0,0,7,14.3,237,10:18
8,Adrian Aucoin,2001,2001,1,D,26,1,11,12,-8,25,0,1,0,0,3,8,0,60,1.7,613,23:33
9,Jon Audy-Marchessault,2015,2015,1,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,12:33
10,Keith Aulie,2012,2014,3,D,79,2,7,9,-7,82,2,0,0,0,7,0,0,47,4.3,934,11:49
11,Drew Bannister,1996,1999,3,D,98,5,16,21,-26,72,4,1,0,0,8,8,0,96,5.2,332,15:49
12,Mark Barberio,2013,2015,3,D,82,6,8,14,3,36,5,1,0,0,8,0,0,85,7.1,1267,15:27
13,Matthew Barnaby,2001,2002,2,RW,58,4,4,8,-10,167,3,1,0,0,2,2,0,42,9.5,593,10:13
14,Bob Beers,1993,1994,2,D,80,13,29,42,-36,82,5,8,0,0,8,20,1,173,7.5,,
15,Brian Bellows,1996,1997,2,LW,86,24,28,52,-18,39,11,13,0,4,14,14,0,207,11.6,,
16,Sean Bergenheim,2011,2011,1,LW,80,14,15,29,0,56,12,2,0,1,13,2,0,182,7.7,1118,13:58
17,Marc-Andre Bergeron,2011,2013,3,D,78,7,30,37,-1,32,6,1,0,1,17,13,0,139,5.0,1310,16:47
18,Marc Bergevin,1993,2003,4,D,206,5,31,36,-29,204,4,0,1,1,29,1,1,177,2.8,18,18:26
19,Tim Bergland,1993,1994,2,RW,78,9,8,17,-19,17,9,0,0,0,8,0,0,105,8.6,,
20,Karel Betik,1999,1999,1,D,3,0,2,2,-3,2,0,0,0,0,2,0,0,2,0.0,40,13:28
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Mathieu Biron,2002,2002,1,D,36,0,0,0,-16,12,0,0,0,0,0,0,0,35,0.0,532,14:47
22,Mike Blunden,2015,2015,1,RW,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,9:47
23,Brandon Bochenski,2009,2010,2,RW,35,4,10,14,-4,4,3,1,0,0,7,3,0,54,7.4,419,11:58
24,Jason Bonsignore,1998,1999,2,C,58,2,11,13,-15,30,2,0,0,0,10,1,0,41,4.9,171,7:25
25,Josef Boumedienne,2002,2002,1,D,3,0,0,0,-1,4,0,0,0,0,0,0,0,0,,33,10:57
26,Brian Boyle,2015,2015,1,C,59,12,5,17,-2,41,10,0,2,3,5,0,0,92,13.0,740,12:32
27,Dan Boyle,2002,2008,6,D,394,66,187,253,-25,288,34,31,1,13,92,95,0,771,8.6,9667,24:32
28,Brian Bradley,1993,1998,6,C,328,111,189,300,-56,289,72,37,2,16,106,82,1,802,13.8,,
29,Eric Brewer,2011,2015,5,D,246,10,46,56,18,180,9,1,0,3,39,3,4,260,3.8,5022,20:24
30,Paul Brousseau,1997,1998,2,RW,17,0,2,2,-4,27,0,0,0,0,2,0,0,9,0.0,,
31,J.T. Brown,2012,2015,3,RW,103,6,19,25,-13,27,6,0,0,0,16,2,1,168,3.6,1265,12:16
32,Marc Bureau,1993,1995,3,C,186,20,40,60,-29,171,15,1,4,2,32,6,2,314,6.4,,
33,Shawn Burr,1996,2000,3,LW/C,159,27,38,65,11,225,25,2,0,5,34,4,0,256,10.5,46,11:28
34,Viacheslav Butsayev,2000,2000,1,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,8:41
35,Ryan Callahan,2014,2015,2,RW,74,23,29,52,12,39,13,10,0,4,23,6,0,191,12.0,1391,18:47
36,Jock Callander,1993,1993,1,RW,8,1,1,2,-5,2,1,0,0,0,1,0,0,12,8.3,,
37,Jim Campbell,2006,2006,1,RW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,9,8:47
38,Dave Capuano,1993,1993,1,LW,6,1,1,2,-4,2,0,1,0,0,0,1,0,10,10.0,,
39,Matt Carle,2009,2015,4,D,188,12,57,69,23,62,8,4,0,0,48,9,0,253,4.7,4169,22:10
40,Shawn Chambers,1993,1995,3,D,145,23,64,87,-27,65,10,12,1,2,29,34,1,338,6.8,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Eric Charron,1994,1996,3,D,63,1,4,5,-5,46,1,0,0,0,2,1,1,45,2.2,,
42,Martin Cibak,2002,2006,3,C,154,5,18,23,-16,60,5,0,0,0,18,0,0,116,4.3,1197,7:46
43,Dino Ciccarelli,1997,1998,2,RW,111,46,31,77,-25,158,31,15,0,9,24,7,0,333,13.8,,
44,Enrico Ciccone,1994,1999,5,D,135,5,9,14,-7,604,5,0,0,0,8,1,0,117,4.3,165,10:18
45,Zdeno Ciger,2002,2002,1,LW,27,6,6,12,-12,10,6,0,0,2,5,1,0,44,13.6,436,16:07
46,Brett Clark,2011,2012,2,D,164,11,35,46,-24,34,5,6,0,1,22,13,0,148,7.4,3055,18:37
47,Wendel Clark,1999,1999,1,LW/D,65,28,14,42,-25,35,17,11,0,2,10,4,0,171,16.4,1016,15:38
48,Ben Clymer,2000,2004,5,RW,295,29,47,76,-40,251,19,10,0,3,38,9,0,473,6.1,4424,14:59
49,Danton Cole,1993,1995,3,C/RW,174,35,41,76,4,61,24,9,2,5,34,7,0,305,11.5,,
50,Mike Commodore,2012,2012,1,D,13,0,0,0,4,17,0,0,0,0,0,0,0,7,0.0,183,14:03
51,Cory Conacher,2013,2013,1,LW,35,9,15,24,-3,16,8,1,0,2,12,3,0,53,17.0,503,14:21
52,Brett Connolly,2012,2015,4,RW,129,17,14,31,-11,72,13,4,0,5,12,2,0,186,9.1,1504,11:39
53,Alain Cote,1993,1993,1,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,
54,Jean-Philippe Cote,2014,2014,1,D,19,0,4,4,0,22,0,0,0,0,4,0,0,12,0.0,190,10:00
55,Ryan Craig,2006,2010,5,C,184,32,31,63,-23,126,21,11,0,2,20,11,0,288,11.1,2516,13:40
56,Adam Creighton,1993,1994,2,C,136,29,30,59,-26,147,19,9,1,1,24,5,1,245,11.8,,
57,B.J. Crombeen,2013,2014,2,RW,99,4,14,18,2,191,4,0,0,1,13,0,1,110,3.6,1047,10:34
58,Cory Cross,1994,1999,6,D,336,12,46,58,-48,377,11,0,1,3,36,9,1,340,3.5,1516,22:38
59,Doug Crossman,1993,1993,1,D,40,8,21,29,-4,18,6,2,0,1,10,11,0,54,14.8,,
60,John Cullen,1996,1999,3,C,150,34,71,105,-15,162,21,13,0,5,41,30,0,271,12.5,51,12:42
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Jassen Cullimore,1998,2004,7,D,408,15,38,53,-34,396,12,2,1,3,32,5,1,354,4.2,7343,19:10
62,Jim Cummins,1994,1995,2,RW,14,1,0,1,-4,54,1,0,0,1,0,0,0,6,16.7,,
63,Alexandre Daigle,1999,1999,1,C,32,6,6,12,-12,2,3,3,0,0,2,4,0,56,10.7,447,13:59
64,Mathieu Darche,2008,2008,1,LW,73,7,15,22,-14,20,5,1,1,0,14,1,0,120,5.8,1053,14:25
65,Louie DeBrusk,1998,1998,1,LW,54,1,2,3,-2,166,1,0,0,0,2,0,0,14,7.1,,
66,Xavier Delisle,1999,1999,1,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,5:51
67,Rob DiMaio,1993,2006,3,RW,154,21,35,56,-12,132,15,6,0,2,29,5,1,198,10.6,713,11:41
68,Chris Dingman,2002,2006,4,LW,173,3,11,14,-38,279,3,0,0,0,11,0,0,154,1.9,1437,8:18
69,Steve Downie,2009,2012,4,RW,214,47,65,112,9,554,36,11,0,4,56,9,0,323,14.6,3051,14:15
70,Jonathan Drouin,2015,2015,1,LW,48,2,21,23,-1,14,1,1,0,0,18,3,0,52,3.8,629,13:05
71,Stan Drulia,1993,2001,3,RW,126,15,27,42,-28,52,11,2,2,2,21,6,0,136,11.0,1493,14:38
72,Donald Dufresne,1994,1994,1,D,51,2,6,8,-2,48,2,0,0,0,6,0,0,49,4.1,,
73,Gordie Dwyer,2000,2002,3,LW,78,0,4,4,-17,291,0,0,0,0,4,0,0,25,0.0,413,5:17
74,Karl Dykhuis,1998,1999,2,D,111,7,10,17,-29,128,6,0,1,0,8,1,1,118,5.9,668,20:14
75,Allan Egeland,1996,1998,3,C,17,0,0,0,-3,16,0,0,0,0,0,0,0,6,0.0,,
76,Nils Ekman,2000,2001,2,LW,71,11,13,24,-23,76,7,3,1,1,8,5,0,114,9.6,991,13:57
77,Matt Elich,2000,2001,2,RW,16,1,1,2,-6,0,1,0,0,0,1,0,0,12,8.3,121,7:32
78,Pat Elynuik,1994,1994,1,RW,63,12,14,26,-18,64,8,3,1,1,11,3,0,103,11.7,,
79,Steve Eminger,2009,2009,1,D,50,4,19,23,-4,36,2,2,0,0,10,9,0,63,6.3,1178,23:33
80,John Emmons,2001,2001,1,C,12,1,1,2,0,22,1,0,0,0,1,0,0,9,11.1,157,13:06
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Todd Fedoruk,2010,2010,1,LW,50,3,3,6,-12,54,3,0,0,0,3,0,0,22,13.6,376,7:31
82,Ruslan Fedotenko,2003,2007,4,LW,313,74,70,144,0,170,62,12,0,16,59,10,1,548,13.5,4873,15:34
83,Valtteri Filppula,2014,2015,2,C,134,36,63,99,-1,40,29,7,0,2,38,25,0,208,17.3,2624,19:34
84,Steven Finn,1996,1996,1,D,16,0,0,0,-6,24,0,0,0,0,0,0,0,12,0.0,,
85,Colin Forbes,1999,2000,2,C,22,3,1,4,-9,28,2,0,1,0,1,0,0,28,10.7,316,14:21
86,Kurtis Foster,2010,2010,1,D,71,8,34,42,-5,48,5,3,0,1,11,23,0,165,4.8,1220,17:11
87,Kyle Freadrich,2000,2001,2,LW,23,0,1,1,-2,75,0,0,0,0,1,0,0,3,0.0,69,3:00
88,Simon Gagne,2011,2011,1,LW,63,17,23,40,-12,20,10,7,0,3,15,8,0,154,11.0,1064,16:53
89,Maxim Galanov,2001,2001,1,D,25,0,5,5,-5,8,0,0,0,0,3,2,0,10,0.0,405,16:11
90,Gerard Gallant,1994,1995,2,LW,52,4,9,13,-6,74,3,1,0,2,9,0,0,46,8.7,,
91,Bruce Gardiner,2000,2000,1,RW,41,3,6,9,-21,37,3,0,0,0,6,0,0,30,10.0,557,13:35
92,Jason Garrison,2015,2015,1,D,53,3,18,21,15,15,2,1,0,2,12,6,0,86,3.5,1076,20:17
93,Aaron Gavey,1996,1997,2,C,89,9,6,15,-7,68,7,1,1,2,4,2,0,73,12.3,,
94,Bruno Gervais,2012,2012,1,D,50,6,7,13,-4,8,5,1,0,0,6,1,0,57,10.5,713,14:16
95,Randy Gilhen,1993,1993,1,C,11,0,2,2,-6,6,0,0,0,0,2,0,0,11,0.0,,
96,Matt Gilroy,2012,2012,1,D,53,2,15,17,2,16,2,0,0,0,15,0,0,60,3.3,933,17:36
97,Sascha Goc,2002,2002,1,D,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,50,5:32
98,Chris Gratton,1994,2009,8,C,482,98,161,259,-122,828,68,29,1,12,112,47,2,1068,9.2,3073,16:20
99,Brent Gretzky,1994,1995,2,C,13,1,3,4,-2,2,1,0,0,0,2,1,0,15,6.7,,
100,Radko Gudas,2013,2015,3,D,126,7,25,32,0,224,6,1,0,3,22,3,0,208,3.4,2297,18:13
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
101,Steve Guolla,2000,2000,1,C,46,6,10,16,2,11,4,2,0,0,9,1,0,52,11.5,526,11:26
102,Sergey Gusev,1999,2001,3,D,58,3,6,9,-20,26,2,1,0,0,3,2,1,52,5.8,1007,17:21
103,David Hale,2010,2010,1,D,39,0,4,4,-2,25,0,0,0,0,4,0,0,25,0.0,548,14:03
104,Bob Halkidis,1995,1996,2,D,30,1,3,4,-13,47,1,0,0,0,3,0,0,25,4.0,,
105,Adam Hall,2009,2013,4,RW,233,14,25,39,-29,101,13,1,0,2,24,1,0,336,4.2,2928,12:34
106,Jeff Halpern,2008,2010,3,C,126,26,25,51,-24,73,19,6,1,4,15,10,0,171,15.2,2092,16:35
107,Roman Hamrlik,1993,1998,6,D,377,52,133,185,-124,474,24,27,1,5,60,70,3,1010,5.1,,
108,Ben Hankinson,1995,1995,1,RW,18,0,2,2,1,6,0,0,0,0,2,0,0,18,0.0,,
109,Johan Harju,2011,2011,1,LW,10,1,2,3,-2,2,1,0,0,0,2,0,0,14,7.1,85,8:28
110,Mike Hartman,1993,1993,1,LW,58,4,4,8,-7,154,4,0,0,0,4,0,0,74,5.4,,
111,Dwayne Hay,2000,2000,1,LW,13,1,1,2,0,2,1,0,0,0,1,0,0,11,9.1,79,6:03
112,Victor Hedman,2010,2015,6,D,372,36,134,170,9,330,31,5,0,3,101,26,7,599,6.0,8166,21:57
113,Timo Helbling,2006,2006,1,D,9,0,1,1,-3,6,0,0,0,0,1,0,0,2,0.0,93,10:19
114,Sami Helenius,1999,1999,1,D,4,1,0,1,-3,15,0,0,1,0,0,0,0,3,33.3,68,16:53
115,Ian Herbers,2000,2000,1,D,37,0,0,0,-12,45,0,0,0,0,0,0,0,11,0.0,559,15:05
116,Matt Hervey,1993,1993,1,D,17,0,4,4,-6,38,0,0,0,0,3,1,0,18,0.0,,
117,Jamie Heward,2009,2009,1,D,13,0,2,2,-1,4,0,0,0,0,0,2,0,11,0.0,154,11:48
118,Jan Hlavac,2008,2008,1,LW,62,9,13,22,-10,32,9,0,0,0,12,1,0,123,7.3,915,14:45
119,Ken Hodge,1993,1993,1,C/RW,25,2,7,9,-6,2,2,0,0,1,4,3,0,32,6.3,,
120,Benoit Hogue,1999,1999,1,C,62,11,14,25,-12,50,9,2,0,3,8,3,3,101,10.9,1016,16:23
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
121,Brian Holzinger,2000,2003,4,C,112,15,31,46,-19,91,10,4,1,2,24,7,0,133,11.3,1610,14:22
122,Bill Houlder,1996,2000,3,D,154,10,46,56,14,54,6,4,0,2,26,19,1,227,4.4,301,21:28
123,Jody Hull,1998,1998,1,RW,28,2,4,6,2,4,2,0,0,2,3,0,1,28,7.1,,
124,Jamie Huscroft,1997,1998,2,D,57,0,4,4,-8,156,0,0,0,0,4,0,0,28,0.0,,
125,Andrew Hutchinson,2009,2009,1,D,2,0,0,0,-5,0,0,0,0,0,0,0,0,2,0.0,29,14:43
126,Scott Jackson,2010,2010,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:44
127,Dan Jancevski,2008,2008,1,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,,5,2:22
128,Doug Janik,2007,2008,2,D,136,3,12,15,-14,98,3,0,0,0,12,0,0,72,4.2,1654,12:09
129,Craig Janney,1999,1999,1,C,38,4,18,22,-13,10,2,2,0,0,9,9,0,36,11.1,599,15:46
130,Andreas Johansson,2000,2000,1,C,12,2,3,5,1,8,2,0,0,0,2,1,0,11,18.2,130,10:49
