
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Spencer Abbott,2014,2014,1,LW,1,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,5,5:16
2,Doug Acomb,1970,1970,1,C,2,0,1,1,1,0,0,0,0,0,1,0,0,0,,,
3,Russ Adam,1983,1983,1,C,8,1,2,3,-3,11,1,0,0,0,2,0,0,4,25.0,,
4,Jack Adams,1918,1926,6,C,133,78,31,109,,300,,,,,,,,,,,
5,Kevyn Adams,1998,2000,3,C,58,5,8,13,-7,46,5,0,0,0,7,0,1,74,6.8,652,12:18
6,Stew Adams,1933,1933,1,LW,8,0,2,2,,0,,,,,,,,,,,
7,Gary Aldcorn,1957,1959,3,LW,86,15,18,33,,18,,,,,,,,,,,
8,Claire Alexander,1975,1977,3,D,123,10,29,39,7,30,6,4,0,1,20,9,0,197,5.1,,
9,Jason Allison,2006,2006,1,C,66,17,43,60,-18,76,8,9,0,2,13,30,0,111,15.3,1234,18:41
10,Mike Allison,1987,1988,2,LW,86,7,19,26,1,76,3,1,3,2,15,1,3,55,12.7,,
11,Glenn Anderson,1992,1994,3,RW,221,63,94,157,0,267,42,21,0,10,58,36,0,476,13.2,,
12,John Anderson,1978,1985,8,RW,534,189,204,393,-33,168,139,49,1,27,145,57,2,1262,15.0,,
13,Lloyd Andrews,1922,1925,4,LW,53,8,5,13,,10,,,,,,,,,,,
14,Dave Andreychuk,1993,1996,4,LW,223,120,99,219,16,194,60,53,7,15,51,47,1,840,14.3,,
15,Greg Andrusak,2000,2000,1,D,9,0,1,1,1,4,0,0,0,0,1,0,0,5,0.0,166,18:25
16,Nik Antropov,2000,2009,9,C,509,125,166,291,54,477,95,27,3,22,132,31,3,937,13.3,7809,15:20
17,Syl Apps,1937,1948,10,C,423,201,231,432,,56,,,,,,,,,,,
18,Al Arbour,1962,1966,4,D,66,2,7,9,,74,0,0,0,0,,,,,,,
19,Amos Arbour,1924,1924,1,LW,21,1,3,4,,4,,,,,,,,,,,
20,Jack Arbour,1929,1929,1,D,10,1,0,1,,10,,,,,,,,,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Colby Armstrong,2011,2012,2,RW,79,9,17,26,-9,47,9,0,0,0,17,0,0,83,10.8,1077,13:37
22,George Armstrong,1950,1971,21,RW,1187,296,417,713,15,721,80,21,3,19,55,10,5,414,10.6,,
23,Murray Armstrong,1938,1939,2,C,12,0,1,1,,0,,,,,,,,,,,
24,Norm Armstrong,1963,1963,1,RW/D,7,1,1,2,,2,,,,,,,,,,,
25,Tim Armstrong,1989,1989,1,C,11,1,0,1,-2,6,1,0,0,0,0,0,0,5,20.0,,
26,John Arundel,1950,1950,1,D,3,0,0,0,,9,,,,,,,,,,,
27,Don Ashby,1976,1979,4,C,141,26,40,66,-16,34,22,4,0,4,36,4,0,191,13.6,,
