
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Vancouver Canucks,56,32,21,,3,67,.598,0.19,-0.01,2nd,,W. Desjardins (32-21-3)
2013-14,NHL,Vancouver Canucks,82,36,35,,11,83,.506,-0.30,0.03,5th,,J. Tortorella (36-35-11)
2012-13,NHL,Vancouver Canucks*,48,26,15,,7,59,.615,0.07,-0.06,1st,Lost NHL Conference Quarter-Finals,A. Vigneault (26-15-7)
2011-12,NHL,Vancouver Canucks*,82,51,22,,9,111,.677,0.57,-0.05,1st,Lost NHL Conference Quarter-Finals,A. Vigneault (51-22-9)
2010-11,NHL,Vancouver Canucks*,82,54,19,,9,117,.713,0.87,-0.07,1st,Lost Stanley Cup Final,A. Vigneault (54-19-9)
2009-10,NHL,Vancouver Canucks*,82,49,28,,5,103,.628,0.60,-0.01,1st,Lost NHL Conference Semi-Finals,A. Vigneault (49-28-5)
2008-09,NHL,Vancouver Canucks*,82,45,27,,10,100,.610,0.30,-0.02,1st,Lost NHL Conference Semi-Finals,A. Vigneault (45-27-10)
2007-08,NHL,Vancouver Canucks,82,39,33,,10,88,.537,0.08,0.11,5th,,A. Vigneault (39-33-10)
2006-07,NHL,Vancouver Canucks*,82,49,26,,7,105,.640,0.39,0.13,1st,Lost NHL Conference Semi-Finals,A. Vigneault (49-26-7)
2005-06,NHL,Vancouver Canucks,82,42,32,,8,92,.561,0.11,0.10,4th,,M. Crawford (42-32-8)
2003-04,NHL,Vancouver Canucks*,82,43,24,10,5,101,.616,0.52,0.02,1st,Lost NHL Conference Quarter-Finals,M. Crawford (43-24-10-5)
2002-03,NHL,Vancouver Canucks*,82,45,23,13,1,104,.634,0.74,0.05,2nd,Lost NHL Conference Semi-Finals,M. Crawford (45-23-13-1)
2001-02,NHL,Vancouver Canucks*,82,42,30,7,3,94,.573,0.59,0.07,2nd,Lost NHL Conference Quarter-Finals,M. Crawford (42-30-7-3)
2000-01,NHL,Vancouver Canucks*,82,36,28,11,7,90,.549,0.08,0.07,3rd,Lost NHL Conference Quarter-Finals,M. Crawford (36-28-11-7)
1999-00,NHL,Vancouver Canucks,82,30,29,15,8,83,.506,-0.01,0.11,3rd,,M. Crawford (30-29-15-8)
1998-99,NHL,Vancouver Canucks,82,23,47,12,,58,.354,-0.77,0.04,4th,,M. Keenan (15-24-6) M. Crawford (8-23-6)
1997-98,NHL,Vancouver Canucks,82,25,43,14,,64,.390,-0.58,0.02,7th,,T. Renney (4-13-2) M. Keenan (21-30-12)
1996-97,NHL,Vancouver Canucks,82,35,40,7,,77,.470,-0.20,-0.01,4th,,T. Renney (35-40-7)
1995-96,NHL,Vancouver Canucks*,82,32,35,15,,79,.482,-0.05,-0.05,3rd,Lost NHL Conference Quarter-Finals,R. Ley (29-32-15) P. Quinn (3-3-0)
1994-95,NHL,Vancouver Canucks*,48,18,18,12,,48,.500,0.06,-0.04,2nd,Lost NHL Conference Semi-Finals,R. Ley (18-18-12)
1993-94,NHL,Vancouver Canucks*,84,41,40,3,,85,.506,0.01,-0.03,2nd,Lost Stanley Cup Final,P. Quinn (41-40-3)
1992-93,NHL,Vancouver Canucks*,84,46,29,9,,101,.601,0.60,-0.21,1st,Lost NHL Division Finals,P. Quinn (46-29-9)
1991-92,NHL,Vancouver Canucks*,80,42,26,12,,96,.600,0.31,-0.13,1st,Lost NHL Division Finals,P. Quinn (42-26-12)
1990-91,NHL,Vancouver Canucks*,80,28,43,9,,65,.406,-0.76,0.14,4th,Lost NHL Division Semi-Finals,B. McCammon (19-30-5) P. Quinn (9-13-4)
1989-90,NHL,Vancouver Canucks,80,25,41,14,,64,.400,-0.64,0.13,5th,,B. McCammon (25-41-14)
1988-89,NHL,Vancouver Canucks*,80,33,39,8,,74,.463,0.10,0.12,4th,Lost NHL Division Semi-Finals,B. McCammon (33-39-8)
1987-88,NHL,Vancouver Canucks,80,25,46,9,,59,.369,-0.49,0.11,5th,,B. McCammon (25-46-9)
1986-87,NHL,Vancouver Canucks,80,29,43,8,,66,.413,-0.30,0.10,5th,,T. Watt (29-43-8)
