
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Greg Adams,1988,1995,8,LW,489,179,190,369,-19,154,108,65,6,18,125,56,9,1203,14.9,,
2,Greg Adams,1989,1989,1,LW,12,4,2,6,2,35,2,2,0,0,1,1,0,22,18.2,,
3,Bruce Affleck,1980,1980,1,D,5,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,,
4,Jim Agnew,1987,1992,5,D,65,0,1,1,-12,189,0,0,0,0,1,0,0,29,0.0,,
5,Andrew Alberts,2010,2014,5,D,134,4,9,13,-3,126,4,0,0,2,9,0,0,72,5.6,1938,14:27
6,Claire Alexander,1978,1978,1,D,32,8,18,26,-7,6,4,4,0,0,13,5,0,105,7.6,,
7,Bryan Allen,2001,2006,5,D,216,14,18,32,3,288,13,1,0,1,17,1,0,207,6.8,3617,16:44
8,Jonas Andersson,2011,2011,1,RW,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,6:03
9,Shawn Antoski,1991,1995,5,LW,70,1,2,3,-18,265,1,0,0,1,2,0,0,37,2.7,,
10,John Arbour,1971,1971,1,D,13,0,0,0,-4,12,0,0,0,0,0,0,0,9,0.0,,
11,Darren Archibald,2014,2014,1,RW,16,1,2,3,1,0,1,0,0,0,2,0,0,11,9.1,125,7:47
12,Magnus Arvedson,2004,2004,1,LW,41,8,7,15,7,12,6,2,0,4,7,0,0,54,14.8,594,14:29
13,Brent Ashton,1980,1981,2,LW,124,23,25,48,-6,68,23,0,0,0,22,3,0,180,12.8,,
14,Adrian Aucoin,1995,2001,7,D,341,49,71,120,11,245,20,27,2,5,47,24,0,646,7.6,4136,22:14
15,Dave Babych,1992,1998,7,D,409,23,131,154,-27,290,10,13,0,4,88,40,3,594,3.9,,
16,Peter Bakovic,1988,1988,1,RW,10,2,0,2,-1,48,2,0,0,0,0,0,0,7,28.6,,
17,Jozef Balej,2006,2006,1,RW,1,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,8,7:56
18,Keith Ballard,2011,2013,3,D,148,3,13,16,8,146,3,0,0,0,13,0,0,129,2.3,2322,15:41
19,Dave Balon,1972,1973,2,LW,116,22,21,43,-31,43,15,7,0,3,12,9,0,126,17.5,,
20,Cam Barker,2013,2013,1,D,14,0,2,2,-3,4,0,0,0,0,2,0,0,19,0.0,199,14:11
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Murray Baron,1999,2003,5,D,383,10,34,44,-7,375,10,0,0,1,29,1,4,229,4.4,7179,18:44
22,Robin Bartel,1987,1987,1,D,40,0,1,1,2,14,0,0,0,0,1,0,0,16,0.0,,
23,Nolan Baumgartner,2003,2010,4,D,99,7,35,42,25,38,1,5,1,1,15,20,0,101,6.9,1524,15:23
24,Robin Bawa,1992,1992,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,
25,Kris Beech,2008,2008,1,C,4,1,1,2,1,0,1,0,0,0,1,0,0,6,16.7,38,9:36
26,Jesse Belanger,1996,1996,1,C,9,3,0,3,0,4,2,1,0,1,0,0,0,11,27.3,,
27,Neil Belland,1982,1986,5,D,106,13,31,44,-19,54,9,4,0,1,16,15,0,162,8.0,,
28,Jim Benning,1987,1990,4,D,241,15,55,70,9,172,11,2,2,2,32,22,1,266,5.6,,
29,Josef Beranek,1995,1996,2,LW/C,98,14,27,41,-21,88,12,2,0,1,21,6,0,226,6.2,,
30,Drake Berehowsky,2001,2002,2,D,39,2,3,5,-5,39,1,1,0,1,3,0,0,28,7.1,577,14:47
31,Marc Bergevin,2004,2004,1,D,9,0,2,2,2,2,0,0,0,0,2,0,0,7,0.0,93,10:18
32,Steve Bernier,2009,2010,2,RW,140,26,28,54,4,48,21,5,0,4,22,6,0,232,11.2,1957,13:58
33,Ken Berry,1988,1989,2,LW,27,4,4,8,1,11,3,1,0,0,4,0,0,36,11.1,,
34,Todd Bertuzzi,1998,2006,8,RW,518,188,261,449,3,822,108,79,1,24,176,84,1,1289,14.6,9303,18:45
35,Alex Biega,2015,2015,1,D,1,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,17,16:53
36,Kevin Bieksa,2006,2015,10,D,582,55,181,236,18,865,36,19,0,12,113,65,3,1148,4.8,13086,22:29
37,Byron Bitz,2012,2012,1,RW,10,1,3,4,2,14,1,0,0,0,3,0,0,6,16.7,105,10:29
38,Rick Blight,1976,1981,6,RW,324,96,125,221,-58,168,62,34,0,11,78,47,0,829,11.6,,
39,Mario Bliznak,2010,2011,2,C,6,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,43,7:14
40,Ken Block,1971,1971,1,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
