
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Winnipeg Jets,59,30,19,,10,70,.593,0.13,-0.01,4th,,P. Maurice (30-19-10)
2013-14,NHL,Winnipeg Jets,82,37,35,,10,84,.512,-0.07,0.06,7th,,C. Noel (19-23-5) P. Maurice (18-12-5)
2012-13,NHL,Winnipeg Jets,48,24,21,,3,51,.531,-0.36,-0.03,2nd,,C. Noel (24-21-3)
2011-12,NHL,Winnipeg Jets,82,37,35,,10,84,.512,-0.30,-0.04,3rd,,C. Noel (37-35-10)
2010-11,NHL,Atlanta Thrashers,82,34,36,,12,80,.488,-0.57,-0.01,4th,,C. Ramsay (34-36-12)
2009-10,NHL,Atlanta Thrashers,82,35,34,,13,83,.506,-0.33,-0.06,2nd,,J. Anderson (35-34-13)
2008-09,NHL,Atlanta Thrashers,82,35,41,,6,76,.463,-0.30,-0.02,4th,,J. Anderson (35-41-6)
2007-08,NHL,Atlanta Thrashers,82,34,40,,8,76,.463,-0.80,-0.12,4th,,B. Hartley (0-6-0) D. Waddell (34-34-8)
2006-07,NHL,Atlanta Thrashers*,82,43,28,,11,97,.591,-0.15,-0.16,1st,Lost NHL Conference Quarter-Finals,B. Hartley (43-28-11)
2005-06,NHL,Atlanta Thrashers,82,41,33,,8,90,.549,-0.03,-0.10,3rd,,B. Hartley (41-33-8)
2003-04,NHL,Atlanta Thrashers,82,33,37,8,4,78,.476,-0.38,-0.03,2nd,,B. Hartley (33-37-8-4)
2002-03,NHL,Atlanta Thrashers,82,31,39,7,5,74,.451,-0.78,-0.07,3rd,,C. Fraser (8-20-1-4) D. Waddell (4-5-1-0) B. Hartley (19-14-5-1)
2001-02,NHL,Atlanta Thrashers,82,19,47,11,5,54,.329,-1.27,-0.04,5th,,C. Fraser (19-47-11-5)
2000-01,NHL,Atlanta Thrashers,82,23,45,12,2,60,.366,-0.99,-0.04,4th,,C. Fraser (23-45-12-2)
1999-00,NHL,Atlanta Thrashers,82,14,57,7,4,39,.238,-1.75,0.00,5th,,C. Fraser (14-57-7-4)
