
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Ramzi Abid,2006,2006,1,LW,6,0,2,2,1,6,0,0,0,0,2,0,0,6,0.0,49,8:10
2,Bryan Adams,2000,2001,2,C,11,0,1,1,-5,2,0,0,0,0,1,0,0,4,0.0,108,9:51
3,Maxim Afinogenov,2010,2010,1,RW,82,24,37,61,-17,46,18,6,0,3,25,12,0,181,13.3,1426,17:23
4,John Albert,2014,2014,1,C,9,1,0,1,-3,0,1,0,0,0,0,0,0,5,20.0,46,5:06
5,Nik Antropov,2010,2013,4,C,261,61,100,161,2,144,42,19,0,6,69,31,0,382,16.0,4353,16:40
6,Colby Armstrong,2008,2010,3,RW,179,41,39,80,9,142,36,4,1,4,34,3,2,271,15.1,2736,15:17
7,Evgeny Artyukhin,2010,2010,1,RW,17,5,2,7,-4,31,5,0,0,0,2,0,0,21,23.8,147,8:38
8,Serge Aubin,2004,2006,2,LW,140,17,32,49,-4,152,15,2,0,2,27,2,3,179,9.5,1877,13:24
9,Donald Audette,2000,2001,2,RW,78,39,43,82,-7,76,24,13,2,3,27,16,0,237,16.5,1601,20:31
10,Scott Barney,2006,2006,1,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,20,6:44
11,Lubos Bartecko,2002,2003,2,LW,108,20,23,43,-12,38,19,1,0,1,20,3,0,150,13.3,1490,13:48
12,Eric Belanger,2007,2007,1,C,24,9,6,15,0,12,8,1,0,0,6,0,0,49,18.4,468,19:28
13,Niclas Bergfors,2010,2011,2,RW,79,19,27,46,-14,6,15,4,0,3,20,7,0,182,10.4,1181,14:57
14,Eric Bertrand,2000,2000,1,LW,8,0,0,0,-5,4,0,0,0,0,0,0,0,11,0.0,79,9:55
15,Zdenek Blatny,2003,2004,2,LW,20,3,0,3,-1,6,3,0,0,0,0,0,0,19,15.8,209,10:27
16,Zach Bogosian,2009,2015,7,D,393,40,87,127,-38,325,32,6,2,2,65,21,1,843,4.7,8624,21:56
17,Peter Bondra,2006,2006,1,RW,60,21,18,39,-3,40,13,8,0,1,9,9,0,143,14.7,956,15:56
18,Jason Botterill,2000,2000,1,LW,25,1,4,5,-7,17,1,0,0,1,4,0,0,17,5.9,282,11:16
19,Eric Boulton,2006,2011,6,LW,377,22,34,56,-15,639,21,1,0,1,34,0,0,295,7.5,2700,7:09
20,Kip Brennan,2004,2004,1,LW,5,0,0,0,0,17,0,0,0,0,0,0,0,2,0.0,18,3:36
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Julien Brouillette,2015,2015,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:33
22,Andrew Brunette,2000,2001,2,LW,158,38,71,109,-37,56,23,15,0,6,43,28,0,211,18.0,2579,16:19
23,Kelly Buchberger,2000,2000,1,RW,68,5,12,17,-34,139,5,0,0,0,11,1,0,56,8.9,1112,16:21
24,Alexander Burmistrov,2011,2013,3,C,194,23,35,58,-8,83,21,1,1,2,32,2,1,270,8.5,2933,15:06
25,Adam Burt,2001,2001,1,D,27,0,2,2,2,27,0,0,0,0,2,0,0,18,0.0,515,19:04
26,Yuri Butsayev,2002,2003,2,LW,24,4,0,4,-4,12,4,0,0,0,0,0,0,27,14.8,301,12:32
27,Petr Buzek,2000,2002,3,D,77,5,14,19,-24,62,2,3,0,0,10,4,0,103,4.9,1390,18:03
28,Dustin Byfuglien,2011,2015,5,D,327,74,156,230,-22,392,47,27,0,14,87,67,2,1150,6.4,7691,23:31
29,Chris Chelios,2010,2010,1,D,7,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,78,11:10
