
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Washington Capitals,58,31,17,,10,72,.621,0.39,-0.04,4th,,B. Trotz (31-17-10)
2013-14,NHL,Washington Capitals,82,38,30,,14,90,.549,-0.08,-0.02,5th,,A. Oates (38-30-14)
2012-13,NHL,Washington Capitals*,48,27,18,,3,57,.594,0.31,-0.09,1st,Lost NHL Conference Quarter-Finals,A. Oates (27-18-3)
2011-12,NHL,Washington Capitals*,82,42,32,,8,92,.561,-0.13,-0.03,2nd,Lost NHL Conference Semi-Finals,B. Boudreau (12-9-1) D. Hunter (30-23-7)
2010-11,NHL,Washington Capitals*,82,48,23,,11,107,.652,0.27,-0.06,1st,Lost NHL Conference Semi-Finals,B. Boudreau (48-23-11)
2009-10,NHL,Washington Capitals*,82,54,15,,13,121,.738,0.90,-0.14,1st,Lost NHL Conference Quarter-Finals,B. Boudreau (54-15-13)
2008-09,NHL,Washington Capitals*,82,50,24,,8,108,.659,0.27,-0.06,1st,Lost NHL Conference Semi-Finals,B. Boudreau (50-24-8)
2007-08,NHL,Washington Capitals*,82,43,31,,8,94,.573,-0.06,-0.19,1st,Lost NHL Conference Quarter-Finals,G. Hanlon (6-14-1) B. Boudreau (37-17-7)
2006-07,NHL,Washington Capitals,82,28,40,,14,70,.427,-0.73,-0.10,5th,,G. Hanlon (28-40-14)
2005-06,NHL,Washington Capitals,82,29,41,,12,70,.427,-0.86,-0.02,5th,,G. Hanlon (29-41-12)
2003-04,NHL,Washington Capitals,82,23,46,10,3,59,.360,-0.80,0.02,5th,,B. Cassidy (8-18-1-1) G. Hanlon (15-27-9-3)
2002-03,NHL,Washington Capitals*,82,39,29,8,6,92,.561,-0.06,-0.11,2nd,Lost NHL Conference Quarter-Finals,B. Cassidy (39-29-8-6)
2001-02,NHL,Washington Capitals,82,36,33,11,2,85,.518,-0.25,-0.10,2nd,,R. Wilson (36-33-11-2)
2000-01,NHL,Washington Capitals*,82,41,27,10,4,96,.585,0.16,-0.10,1st,Lost NHL Conference Quarter-Finals,R. Wilson (41-27-10-4)
1999-00,NHL,Washington Capitals*,82,44,24,12,2,102,.622,0.28,-0.13,1st,Lost NHL Conference Quarter-Finals,R. Wilson (44-24-12-2)
1998-99,NHL,Washington Capitals,82,31,45,6,,68,.415,-0.21,0.01,3rd,,R. Wilson (31-45-6)
