
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Keith Acton,1994,1994,1,C,6,0,0,0,-4,21,0,0,0,0,0,0,0,2,0.0,,
2,Greg Adams,1984,1988,5,LW,331,55,98,153,39,694,47,8,0,3,78,20,0,449,12.2,,
3,Jason Allison,1994,1997,4,C,86,7,22,29,-8,33,4,3,0,1,15,7,0,103,6.8,,
4,Karl Alzner,2009,2015,7,D,403,11,65,76,20,119,11,0,0,1,61,2,2,356,3.1,8089,20:04
5,Murray Anderson,1975,1975,1,D,40,0,1,1,-40,68,0,0,0,0,1,0,0,24,0.0,,
6,Ron Anderson,1975,1975,1,RW,28,9,7,16,-20,8,5,4,0,0,7,0,0,43,20.9,,
7,Shawn Anderson,1993,1994,2,D,110,2,15,17,-3,30,1,1,0,0,12,3,0,73,2.7,,
8,Peter Andersson,1984,1986,3,D,160,9,33,42,9,77,4,5,0,3,19,14,0,190,4.7,,
9,Mel Angelstad,2004,2004,1,LW,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,12:59
10,Chuck Arnason,1979,1979,1,RW,13,0,2,2,-1,4,0,0,0,0,1,1,0,17,0.0,,
11,Jason Arnott,2011,2011,1,C,11,4,3,7,3,8,2,2,0,1,2,1,0,30,13.3,175,15:53
12,Steve Atkinson,1975,1975,1,RW,46,11,4,15,-26,8,6,3,2,0,2,2,0,92,12.0,,
13,Keith Aucoin,2009,2012,4,C,49,6,16,22,7,4,5,1,0,1,14,2,0,40,15.0,513,10:28
14,Patrik Augusta,1999,1999,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,27,13:38
15,Bobby Babcock,1991,1993,2,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,,
16,Nicklas Backstrom,2008,2015,8,C,553,143,411,554,77,296,96,45,2,20,225,186,0,1242,11.5,11027,19:56
17,Garnet Bailey,1975,1978,4,LW,207,43,71,114,-104,162,38,5,0,6,47,21,3,389,11.1,,
18,John Barrett,1986,1987,2,D,69,2,5,7,-13,55,2,0,0,0,5,0,0,44,4.5,,
19,Bates Battaglia,2004,2004,1,LW,66,4,6,10,-23,38,4,0,0,1,5,1,0,69,5.8,899,13:37
20,Nolan Baumgartner,1996,2000,4,D,18,0,2,2,-3,2,0,0,0,0,0,2,0,11,0.0,128,9:48
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
21,Robin Bawa,1990,1990,1,RW,5,1,0,1,-3,6,1,0,0,0,0,0,0,1,100.0,,
22,Jay Beagle,2009,2015,7,RW,245,22,22,44,-13,95,22,0,0,4,21,0,1,274,8.0,2856,11:39
23,Yves Beaudoin,1986,1988,3,D,11,0,0,0,-9,5,0,0,0,0,0,0,0,11,0.0,,
24,Kris Beech,2001,2007,3,C,73,8,18,26,-13,52,5,3,0,0,10,8,0,83,9.6,875,11:58
25,Eric Belanger,2010,2010,1,C,17,2,4,6,3,4,2,0,0,0,4,0,0,31,6.5,249,14:39
26,Brian Bellows,1998,1999,2,LW,87,23,22,45,-15,32,10,13,0,5,19,3,0,192,12.0,1158,15:14
27,Jan Benda,1998,1998,1,C,9,0,3,3,1,6,0,0,0,0,3,0,0,8,0.0,,
28,Harvey Bennett,1976,1977,2,C,67,14,16,30,-36,73,13,1,0,1,16,0,0,94,14.9,,
29,Sergei Berezin,2003,2003,1,LW,9,5,4,9,10,4,5,0,0,2,4,0,0,28,17.9,141,15:41
30,Michel Bergeron,1979,1979,1,RW,30,7,6,13,-18,7,6,1,0,1,6,0,0,53,13.2,,
31,Tim Bergland,1990,1994,4,RW,104,8,18,26,-3,58,8,0,0,0,17,0,1,83,9.6,,
32,Rick Berry,2003,2004,2,D,108,2,7,9,-8,195,2,0,0,1,7,0,0,83,2.4,1349,12:29
33,Craig Berube,1994,2001,7,LW,419,26,38,64,-32,1220,25,1,0,2,37,1,0,274,9.5,570,6:28
34,Todd Bidner,1982,1982,1,LW,12,2,1,3,0,7,2,0,0,1,1,0,0,5,40.0,,
35,Mathieu Biron,2006,2006,1,D,52,4,9,13,-11,50,1,3,0,0,3,6,0,61,6.6,636,12:13
36,James Black,1999,2001,3,LW,166,25,28,53,1,24,22,2,1,4,22,4,2,240,10.4,2102,12:39
37,Timo Blomqvist,1982,1985,4,D,223,4,51,55,26,264,3,1,0,1,39,12,0,251,1.6,,
38,Mike Bloom,1975,1975,1,LW,67,7,19,26,-54,84,7,0,0,0,14,5,0,88,8.0,,
39,John Blum,1987,1987,1,D,66,2,8,10,1,133,2,0,0,0,8,0,0,32,6.3,,
40,Patrick Boileau,1997,2002,3,D,7,0,1,1,-5,4,0,0,0,0,0,1,0,7,0.0,87,14:34
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
41,Larry Bolonchuk,1976,1978,3,D,59,3,9,12,-32,91,3,0,0,0,9,0,0,45,6.7,,
42,Peter Bondra,1991,2004,14,RW,961,472,353,825,74,679,303,137,32,73,229,120,4,3290,14.3,8348,20:01
43,Pierre Bouchard,1979,1982,4,D,106,8,16,24,-26,54,8,0,0,0,16,0,0,96,8.3,,
44,Josef Boumedienne,2003,2004,2,D,43,3,12,15,-11,30,1,2,0,1,3,9,0,51,5.9,970,22:32
45,Chris Bourque,2008,2010,3,C,13,1,0,1,-2,2,1,0,0,0,0,0,0,16,6.3,123,9:25
46,Matt Bradley,2006,2011,6,RW,427,37,59,96,-10,367,34,1,2,9,57,0,2,529,7.0,4729,11:04
47,Rick Bragnalo,1976,1979,4,C,145,15,35,50,-27,46,12,1,2,1,27,8,0,177,8.5,,
48,Donald Brashear,2007,2009,3,LW,220,10,15,25,-12,396,10,0,0,1,14,1,0,149,6.7,1762,8:00
49,Gord Brooks,1975,1975,1,RW,38,1,10,11,-19,25,0,1,0,0,7,3,0,79,1.3,,
50,Willie Brossart,1975,1976,2,D,61,1,8,9,-63,54,1,0,0,0,8,0,0,48,2.1,,
51,Julien Brouillette,2014,2014,1,D,10,1,1,2,3,0,1,0,0,1,1,0,0,4,25.0,156,15:33
52,Troy Brouwer,2012,2015,4,RW,269,78,59,137,-20,211,47,30,1,16,36,22,1,505,15.4,4832,17:57
53,Chris Brown,2014,2015,2,C,11,2,1,3,1,2,2,0,0,0,1,0,0,8,25.0,91,8:13
54,Jeff Brown,1998,1998,1,D,9,0,6,6,4,6,0,0,0,0,2,4,0,15,0.0,,
55,Andrew Brunette,1996,1998,3,LW,62,18,22,40,4,24,12,6,0,3,15,7,0,81,22.2,,
56,Jan Bulis,1998,2001,4,C,181,26,62,88,5,80,22,4,0,4,48,14,0,227,11.5,1792,13:28
57,Ted Bulley,1983,1983,1,LW,39,4,9,13,-3,47,4,0,0,1,9,0,0,35,11.4,,
58,Andre Burakovsky,2015,2015,1,LW,43,9,12,21,10,10,7,2,0,2,11,1,0,53,17.0,555,12:54
59,Randy Burridge,1992,1995,4,LW,150,48,61,109,-4,125,30,17,1,8,31,28,2,290,16.6,,
60,Nelson Burton,1978,1979,2,LW,8,1,0,1,-5,21,1,0,0,0,0,0,0,3,33.3,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Eric Calder,1982,1983,2,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
62,Tony Camazzola,1982,1982,1,D,3,0,0,0,0,4,0,0,0,0,0,0,0,0,,,
63,John Carlson,2010,2015,6,D,374,41,132,173,39,138,29,11,1,4,94,36,2,754,5.4,8451,22:35
64,Kent Carlson,1989,1989,1,D,2,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,,
65,Bob Carpenter,1982,1993,7,C,490,188,207,395,-38,462,133,54,1,22,142,64,1,1341,14.0,,
66,Connor Carrick,2014,2014,1,D,34,1,5,6,-9,23,1,0,0,0,5,0,0,26,3.8,543,15:58
67,Greg Carroll,1979,1979,1,C,24,5,6,11,-2,12,5,0,0,0,6,0,0,29,17.2,,
68,Anson Carter,1997,2004,2,RW,38,8,7,15,2,13,5,3,0,3,5,2,0,61,13.1,372,19:33
69,Andrew Cassels,2006,2006,1,C,31,4,8,12,-3,14,2,2,0,0,4,4,0,29,13.8,410,13:13
70,Tony Cassolato,1980,1982,3,RW,23,1,6,7,3,4,1,0,0,0,5,1,0,22,4.5,,
71,Paul Cavallini,1987,1993,3,D,101,7,13,20,-1,120,7,0,0,1,13,0,0,101,6.9,,
72,Shawn Chambers,1992,1992,1,D,2,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,,
73,Eric Charron,1996,1997,2,D,29,1,2,3,4,24,1,0,0,0,2,0,0,13,7.7,,
74,Guy Charron,1977,1981,5,C,320,118,156,274,-73,54,90,26,2,12,103,51,2,888,13.3,,
75,Denis Chasse,1996,1996,1,RW,3,0,0,0,-1,5,0,0,0,0,0,0,0,3,0.0,,
76,Jason Chimera,2010,2015,6,LW,385,60,90,150,-2,301,54,4,2,7,84,5,1,756,7.9,5306,13:46
